task_id,graph_id,base_instance_id,size_stratum,tightness_level,target_n_edges,actual_n_edges,budget,generation_seed,duplicate_budget,duplicate_feasible_set,task_path
task-b9af4e74fe83,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T1,7,7,13.0,855259900,False,False,data/tasks/phase0/task-b9af4e74fe83.json
task-e9bc7d00dd7f,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T2,7,7,10.0,855259900,False,False,data/tasks/phase0/task-e9bc7d00dd7f.json
task-5044d9505a72,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T3,7,7,10.0,855259900,True,True,data/tasks/phase0/task-5044d9505a72.json
task-994084fbcff0,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T4,7,7,10.0,855259900,True,True,data/tasks/phase0/task-994084fbcff0.json
task-297320212e97,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T5,7,7,10.0,855259900,True,True,data/tasks/phase0/task-297320212e97.json
task-2a52c803293b,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T6,7,7,10.0,855259900,True,True,data/tasks/phase0/task-2a52c803293b.json
task-bb1ce826122e,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T7,7,7,10.0,855259900,True,True,data/tasks/phase0/task-bb1ce826122e.json
task-7b49bba79406,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T1,7,7,20.0,4286309960,False,False,data/tasks/phase0/task-7b49bba79406.json
task-a3d73fa49603,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T2,7,7,13.0,4286309960,False,False,data/tasks/phase0/task-a3d73fa49603.json
task-9d202796b122,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T3,7,7,13.0,4286309960,True,True,data/tasks/phase0/task-9d202796b122.json
task-b7456ec5dd73,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T4,7,7,13.0,4286309960,True,True,data/tasks/phase0/task-b7456ec5dd73.json
task-30f431210fe5,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T5,7,7,9.0,4286309960,False,False,data/tasks/phase0/task-30f431210fe5.json
task-76f1d884eb1e,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T6,7,7,9.0,4286309960,True,True,data/tasks/phase0/task-76f1d884eb1e.json
task-873e9cfcf181,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T7,7,7,9.0,4286309960,True,True,data/tasks/phase0/task-873e9cfcf181.json
task-88583c1e45fa,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T1,7,7,17.0,4110562342,False,False,data/tasks/phase0/task-88583c1e45fa.json
task-dcc158caa269,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T2,7,7,12.0,4110562342,False,False,data/tasks/phase0/task-dcc158caa269.json
task-862146077326,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T3,7,7,12.0,4110562342,True,True,data/tasks/phase0/task-862146077326.json
task-3a029ce260fe,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T4,7,7,12.0,4110562342,True,True,data/tasks/phase0/task-3a029ce260fe.json
task-b83a352bddbe,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T5,7,7,5.0,4110562342,False,False,data/tasks/phase0/task-b83a352bddbe.json
task-0bd69551397f,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T6,7,7,5.0,4110562342,True,True,data/tasks/phase0/task-0bd69551397f.json
task-9d7f6360fe6f,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T7,7,7,5.0,4110562342,True,True,data/tasks/phase0/task-9d7f6360fe6f.json
task-050dc4a3706b,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T1,7,7,20.0,3955322011,False,False,data/tasks/phase0/task-050dc4a3706b.json
task-5ff86e3ec5c3,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T2,7,7,13.0,3955322011,False,False,data/tasks/phase0/task-5ff86e3ec5c3.json
task-a0ada81b516c,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T3,7,7,13.0,3955322011,True,True,data/tasks/phase0/task-a0ada81b516c.json
task-5bf0f1402257,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T4,7,7,13.0,3955322011,True,True,data/tasks/phase0/task-5bf0f1402257.json
task-e1a31e22e9a4,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T5,7,7,10.0,3955322011,False,False,data/tasks/phase0/task-e1a31e22e9a4.json
task-1adca36e6b67,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T6,7,7,10.0,3955322011,True,True,data/tasks/phase0/task-1adca36e6b67.json
task-f8ef881c807b,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T7,7,7,10.0,3955322011,True,True,data/tasks/phase0/task-f8ef881c807b.json
task-c7ecf483369a,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T1,7,7,20.0,3998669866,False,False,data/tasks/phase0/task-c7ecf483369a.json
task-6be829250e7e,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T2,7,7,14.0,3998669866,False,False,data/tasks/phase0/task-6be829250e7e.json
task-4d62d76be924,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T3,7,7,14.0,3998669866,True,True,data/tasks/phase0/task-4d62d76be924.json
task-63cff6b637db,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T4,7,7,14.0,3998669866,True,True,data/tasks/phase0/task-63cff6b637db.json
task-53f01218dac9,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T5,7,7,10.0,3998669866,False,False,data/tasks/phase0/task-53f01218dac9.json
task-01aa93a292dc,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T6,7,7,10.0,3998669866,True,True,data/tasks/phase0/task-01aa93a292dc.json
task-6b0021056900,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T7,7,7,10.0,3998669866,True,True,data/tasks/phase0/task-6b0021056900.json
task-ee5e2ea8e960,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T1,10,10,27.0,2869898689,False,False,data/tasks/phase0/task-ee5e2ea8e960.json
task-ebbfbcdd78dd,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T2,10,10,18.0,2869898689,False,False,data/tasks/phase0/task-ebbfbcdd78dd.json
task-f1a71f28abbe,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T3,10,10,18.0,2869898689,True,True,data/tasks/phase0/task-f1a71f28abbe.json
task-3055188b40aa,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T4,10,10,18.0,2869898689,True,True,data/tasks/phase0/task-3055188b40aa.json
task-6f5b63878384,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T5,10,10,18.0,2869898689,True,True,data/tasks/phase0/task-6f5b63878384.json
task-6582de85d802,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T6,10,10,17.0,2869898689,False,False,data/tasks/phase0/task-6582de85d802.json
task-f81feb5c73a8,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T7,10,10,17.0,2869898689,True,True,data/tasks/phase0/task-f81feb5c73a8.json
task-da525fcc95dc,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T1,10,10,26.0,2964847996,False,False,data/tasks/phase0/task-da525fcc95dc.json
task-52f024109520,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T2,10,10,23.0,2964847996,False,False,data/tasks/phase0/task-52f024109520.json
task-9b88e16215ea,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T3,10,10,23.0,2964847996,True,True,data/tasks/phase0/task-9b88e16215ea.json
task-8c3c093f9a2e,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T4,10,10,15.0,2964847996,False,False,data/tasks/phase0/task-8c3c093f9a2e.json
task-9841f59546c6,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T5,10,10,15.0,2964847996,True,True,data/tasks/phase0/task-9841f59546c6.json
task-e84a7c9189f6,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T6,10,10,13.0,2964847996,False,False,data/tasks/phase0/task-e84a7c9189f6.json
task-52c1f8aedc9f,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T7,10,10,13.0,2964847996,True,True,data/tasks/phase0/task-52c1f8aedc9f.json
task-914163536124,g-dcee0d154a6a56e8,S2-b002-g-dcee0d154a6a56e8,S2,T1,10,10,28.0,591840880,False,False,data/tasks/phase0/task-914163536124.json
task-71553fba9095,g-dcee0d154a6a56e8,S2-b002-g-dcee0d154a6a56e8,S2,T2,10,10,27.0,591840880,False,False,data/tasks/phase0/task-71553fba9095.json
task-63edffcea6a6,g-dcee0d154a6a56e8,S2-b002-g-dcee0d154a6a56e8,S2,T3,10,10,27.0,591840880,True,True,data/tasks/phase0/task-63edffcea6a6.json
