evidence_stage,phase,split,size_m,depth,objective_id,execution_status,failure_reason,resource_censored,count,planned_denominator
pilot,PENALTY_X_OPTIMIZATION,,,,,SUCCESS,,,504,504
pilot,PENALTY_X_OPTIMIZATION,,,,,TIMEOUT,,,0,504
pilot,PENALTY_X_OPTIMIZATION,,,,,OOM,,,0,504
pilot,PENALTY_X_OPTIMIZATION,,,,,OPTIMIZER_FAILURE,,,0,504
pilot,PENALTY_X_OPTIMIZATION,,,,,NUMERICAL_FAILURE,,,0,504
pilot,PENALTY_X_OPTIMIZATION,,,,,ZERO_P_FEAS,,,0,504
pilot,PENALTY_X_OPTIMIZATION,,,,,ZERO_P_OPT,,,0,504
pilot,PENALTY_X_OPTIMIZATION,,,,,RESOURCE_CENSORED,,,0,504
heldout,P2_PREPARATION,,,,,SUCCESS,,,252,252
heldout,P2_PREPARATION,,,,,TIMEOUT,,,0,252
heldout,P2_PREPARATION,,,,,OOM,,,0,252
heldout,P2_PREPARATION,,,,,OPTIMIZER_FAILURE,,,0,252
heldout,P2_PREPARATION,,,,,NUMERICAL_FAILURE,,,0,252
heldout,P2_PREPARATION,,,,,ZERO_P_FEAS,,,0,252
heldout,P2_PREPARATION,,,,,ZERO_P_OPT,,,0,252
heldout,P2_PREPARATION,,,,,RESOURCE_CENSORED,,,0,252
heldout,P3_COMPARISON,,,,,SUCCESS,,,252,252
heldout,P3_COMPARISON,,,,,TIMEOUT,,,0,252
heldout,P3_COMPARISON,,,,,OOM,,,0,252
heldout,P3_COMPARISON,,,,,OPTIMIZER_FAILURE,,,0,252
heldout,P3_COMPARISON,,,,,NUMERICAL_FAILURE,,,0,252
heldout,P3_COMPARISON,,,,,ZERO_P_FEAS,,,0,252
heldout,P3_COMPARISON,,,,,ZERO_P_OPT,,,0,252
heldout,P3_COMPARISON,,,,,RESOURCE_CENSORED,,,0,252
scaling,SCALING_EXECUTION,development,12,2,P2_O0,SUCCESS,,False,72,72
scaling,SCALING_EXECUTION,development,12,3,O0,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,12,3,O2,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,12,3,O3,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,14,2,P2_O0,SUCCESS,,False,72,72
scaling,SCALING_EXECUTION,development,14,3,O0,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,14,3,O2,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,14,3,O3,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,16,2,P2_O0,SUCCESS,,False,72,72
scaling,SCALING_EXECUTION,development,16,3,O0,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,16,3,O2,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,16,3,O3,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,18,2,P2_O0,SUCCESS,,False,72,72
scaling,SCALING_EXECUTION,development,18,3,O0,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,18,3,O2,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,development,18,3,O3,SUCCESS,,False,24,24
scaling,SCALING_EXECUTION,extrapolation_holdout,20,2,P2_O0,SUCCESS,,False,90,90
scaling,SCALING_EXECUTION,extrapolation_holdout,20,3,O0,SUCCESS,,False,30,30
scaling,SCALING_EXECUTION,extrapolation_holdout,20,3,O2,SUCCESS,,False,30,30
scaling,SCALING_EXECUTION,extrapolation_holdout,20,3,O3,SUCCESS,,False,30,30
scaling,SCALING_EXECUTION,extrapolation_holdout,22,2,P2_O0,RESOURCE_CENSORED,ALL_TASKS_AT_SIZE_CENSORED_BY_PROSPECTIVE_RESOURCE_GUARD,True,90,90
scaling,SCALING_EXECUTION,extrapolation_holdout,22,3,O0,RESOURCE_CENSORED,ALL_TASKS_AT_SIZE_CENSORED_BY_PROSPECTIVE_RESOURCE_GUARD,True,30,30
scaling,SCALING_EXECUTION,extrapolation_holdout,22,3,O2,RESOURCE_CENSORED,ALL_TASKS_AT_SIZE_CENSORED_BY_PROSPECTIVE_RESOURCE_GUARD,True,30,30
scaling,SCALING_EXECUTION,extrapolation_holdout,22,3,O3,RESOURCE_CENSORED,ALL_TASKS_AT_SIZE_CENSORED_BY_PROSPECTIVE_RESOURCE_GUARD,True,30,30
scaling,SCALING_EXECUTION,interpolation_holdout,12,2,P2_O0,SUCCESS,,False,18,18
scaling,SCALING_EXECUTION,interpolation_holdout,12,3,O0,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,12,3,O2,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,12,3,O3,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,14,2,P2_O0,SUCCESS,,False,18,18
scaling,SCALING_EXECUTION,interpolation_holdout,14,3,O0,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,14,3,O2,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,14,3,O3,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,16,2,P2_O0,SUCCESS,,False,18,18
scaling,SCALING_EXECUTION,interpolation_holdout,16,3,O0,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,16,3,O2,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,16,3,O3,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,18,2,P2_O0,SUCCESS,,False,18,18
scaling,SCALING_EXECUTION,interpolation_holdout,18,3,O0,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,18,3,O2,SUCCESS,,False,6,6
scaling,SCALING_EXECUTION,interpolation_holdout,18,3,O3,SUCCESS,,False,6,6
