statement_id,section,manuscript_value,canonical_value,source,difference,status,notes
NV001,Abstract,0.1,0.1,configs/phase2_confirmatory_v1.yaml :: frozen CVaR alpha,0,SUPPORTED_EXACT,
NV002,Abstract,84,84,results/phase2_confirmatory_v1/summary.json :: heldout_task_count,0,SUPPORTED_EXACT,
NV003,Abstract,15,15,results/phase2_confirmatory_v1/summary.json :: heldout_base_graph_count,0,SUPPORTED_EXACT,
NV004,Abstract,20,20,results/phase3_scaling_v1/summary.json :: task_universe.completed_size_ceiling,0,SUPPORTED_EXACT,
NV005,Abstract,22,22,results/phase3_scaling_v1/summary.json :: resource_preflight.resource_censored_sizes[0],0,SUPPORTED_EXACT,
NV006,Introduction,53,53,results/phase0/summary.json :: duplicate_feasible_set_count,0,SUPPORTED_EXACT,
NV007,Introduction,175,175,results/phase0/summary.json :: task_count,0,SUPPORTED_EXACT,
NV008,Introduction,140,140,results/phase0_v2_dilution_stress/summary.json :: task_count,0,SUPPORTED_EXACT,
NV009,Introduction,1.90735e-06,1.9073486328125e-06,results/phase0_v2_dilution_stress/summary.json :: feasible_state_fraction_min,1.36718750004e-12,SUPPORTED_ROUNDED,
NV010,Introduction,0.0234375,0.0234375,results/phase0_v2_dilution_stress/summary.json :: feasible_state_fraction_max,0,SUPPORTED_EXACT,
NV011,Introduction,168,168,results/phase1_1_optimization_diagnostic/summary.json :: validation.nested_identity_rows,0,SUPPORTED_EXACT,
NV012,Introduction,29,29,results/phase1_1_optimization_diagnostic/summary.json :: original_p3_optimizer_adequacy.worse_than_embedded_count,0,SUPPORTED_EXACT,
NV013,Introduction,27,27,results/phase1_1_optimization_diagnostic/summary.json :: original_p3_optimizer_adequacy.failed_original_runs_with_higher_G_under_continuation,0,SUPPORTED_EXACT,
NV014,Introduction,82,82,results/phase1_1_optimization_diagnostic/summary.json :: continuation.random_lower_objective_but_lower_G_count,0,SUPPORTED_EXACT,
NV015,Introduction,0.1,0.1,configs/phase2_confirmatory_v1.yaml :: frozen CVaR alpha,0,SUPPORTED_EXACT,
NV016,Introduction,97.9,97.9,"results/phase1_2_objective_alignment/summary.json :: median stable gap closure, percent",0,SUPPORTED_EXACT,
NV017,Introduction,84,84,results/phase2_confirmatory_v1/summary.json :: heldout_task_count,0,SUPPORTED_EXACT,
NV018,Introduction,15,15,results/phase2_confirmatory_v1/summary.json :: heldout_base_graph_count,0,SUPPORTED_EXACT,
NV019,Introduction,0.354714949,0.3547149490180106,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H1.effect_mean,1.8010593017e-11,SUPPORTED_ROUNDED,
NV020,Introduction,0.2374,0.23737853648218638,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H1.one_sided_95_lower_bound,2.14635178136e-05,SUPPORTED_ROUNDED,
NV021,Introduction,0.000244,0.000244140625,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H1.holm_adjusted_p_value,1.40625e-07,SUPPORTED_ROUNDED,
NV022,Introduction,-0.0086,-0.008595149938274194,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H2.effect_mean,4.85006172581e-06,SUPPORTED_ROUNDED,
NV023,Introduction,-0.036,-0.03604874990402986,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H2.one_sided_95_lower_bound,4.87499040299e-05,SUPPORTED_ROUNDED,
NV024,Introduction,-0.1,-0.1,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H2.null_margin,0,SUPPORTED_EXACT,
NV025,Introduction,80,80,results/phase2_confirmatory_v1/summary.json :: routing_quality.O3_vs_O0_P_opt_wins,0,SUPPORTED_EXACT,
NV026,Introduction,79,79,results/phase2_confirmatory_v1/summary.json :: routing_quality.O3_vs_O0_both_Pfeas_Popt_greater,0,SUPPORTED_EXACT,
NV027,Introduction,84,84,results/phase2_confirmatory_v1/summary.json :: cvar_tail_mechanism.tail_condition_pass_count,0,SUPPORTED_EXACT,
NV028,Introduction,20,20,results/phase3_scaling_v1/summary.json :: task_universe.completed_size_ceiling,0,SUPPORTED_EXACT,
NV029,Introduction,1.2821,1.2821385529164686,results/phase3_scaling_v1/summary.json :: exponent_summaries.extrapolation_holdout.O3.mean,3.85529164686e-05,SUPPORTED_ROUNDED,
NV030,Introduction,0.615,0.6149865941678273,results/phase3_scaling_v1/summary.json :: exponent_summaries.extrapolation_holdout.O0.mean,1.34058321727e-05,SUPPORTED_ROUNDED,
NV031,Introduction,22,22,results/phase3_scaling_v1/summary.json :: resource_preflight.resource_censored_sizes[0],0,SUPPORTED_EXACT,
NV032,Controlled Experimental Design,53,53,results/phase0/summary.json :: duplicate_feasible_set_count,0,SUPPORTED_EXACT,
NV033,Controlled Experimental Design,175,175,results/phase0/summary.json :: task_count,0,SUPPORTED_EXACT,
NV034,Controlled Experimental Design,30.29,30.285714285714285,results/phase0/summary.json :: duplicate_feasible_set_count/task_count,0.00428571428571,SUPPORTED_ROUNDED,
NV035,Controlled Experimental Design,35,35,results/phase0_v2_dilution_stress/summary.json :: v1_duplicate_cause_counts.repeated_quantile_indices_due_to_too_few_routes,0,SUPPORTED_EXACT,
NV036,Controlled Experimental Design,18,18,results/phase0_v2_dilution_stress/summary.json :: v1_duplicate_cause_counts.integer_resource_ties_at_distinct_indices,0,SUPPORTED_EXACT,
NV037,Controlled Experimental Design,140,140,results/phase0_v2_dilution_stress/summary.json :: task_count,0,SUPPORTED_EXACT,
NV038,Controlled Experimental Design,0,0,results/phase0_v2_dilution_stress/summary.json :: duplicate_feasible_set_count,0,SUPPORTED_EXACT,
NV039,Controlled Experimental Design,1.9073486328125e-06,1.9073486328125e-06,results/phase0_v2_dilution_stress/summary.json :: feasible_state_fraction_min,0,SUPPORTED_EXACT,
NV040,Controlled Experimental Design,0.0234375,0.0234375,results/phase0_v2_dilution_stress/summary.json :: feasible_state_fraction_max,0,SUPPORTED_EXACT,
NV041,Controlled Experimental Design,1.6300887149,1.630088714928206,results/phase0_v2_dilution_stress/summary.json :: dilution_score_min,2.82058820744e-11,SUPPORTED_ROUNDED,
NV042,Controlled Experimental Design,5.7195699176,5.719569917615643,results/phase0_v2_dilution_stress/summary.json :: dilution_score_max,1.56425983278e-11,SUPPORTED_ROUNDED,
NV043,Controlled Experimental Design,3.42698e7,34269838,results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md :: current span minimum,38,SUPPORTED_ROUNDED,
NV044,Controlled Experimental Design,1.82405e9,1824051800.0,results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md :: current span maximum,1800,SUPPORTED_ROUNDED,
NV045,Controlled Experimental Design,4.65752e8,465752390.0,results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md :: current span median,390,SUPPORTED_ROUNDED,
NV046,Controlled Experimental Design,11683.8,11683.8,results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md :: V2/v1 median span factor,0,SUPPORTED_EXACT,
NV047,Controlled Experimental Design,1.7253,1.72526,results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md :: within-base current median span variation,4e-05,SUPPORTED_ROUNDED,
NV048,Controlled Experimental Design,140,140,results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md :: controlled exact ground states,0,SUPPORTED_EXACT,
NV049,Controlled Experimental Design,490.51,490.51,results/phase0_v2_dilution_stress/penalty_contract_comparison.csv :: controlled span minimum,0,SUPPORTED_EXACT,
NV050,Controlled Experimental Design,744.17,744.17,results/phase0_v2_dilution_stress/penalty_contract_comparison.csv :: controlled span maximum,0,SUPPORTED_EXACT,
NV051,Controlled Experimental Design,1.07495,1.07495,results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md :: controlled within-base median variation,0,SUPPORTED_EXACT,
NV052,Controlled Experimental Design,56,56,results/phase1_pilot_v1/pilot_summary.json :: frozen_execution_identity.task_count,0,SUPPORTED_EXACT,
NV053,Controlled Experimental Design,504,504,results/phase1_pilot_v1/pilot_summary.json :: frozen_execution_identity.completed_optimized_row_count,0,SUPPORTED_EXACT,
NV054,Controlled Experimental Design,84,84,results/phase2_confirmatory_v1/summary.json :: heldout_task_count,0,SUPPORTED_EXACT,
NV055,Controlled Experimental Design,15,15,results/phase2_confirmatory_v1/summary.json :: heldout_base_graph_count,0,SUPPORTED_EXACT,
NV056,Controlled Experimental Design,180,180,results/phase3_scaling_v1/summary.json :: execution.resource_censored_rows,0,SUPPORTED_EXACT,
NV057,Optimizer and Objective Attribution,56,56,results/phase1_pilot_v1/pilot_summary.json :: frozen_execution_identity.task_count,0,SUPPORTED_EXACT,
NV058,Optimizer and Objective Attribution,504,504,results/phase1_pilot_v1/pilot_summary.json :: frozen_execution_identity.completed_optimized_row_count,0,SUPPORTED_EXACT,
NV059,Optimizer and Objective Attribution,0.00509,0.00508920038083065,results/phase1_pilot_v1/pilot_summary.json :: main_numerical_ranges[p=1].p_feas_median,7.9961916935e-07,SUPPORTED_ROUNDED,
NV060,Optimizer and Objective Attribution,0.00598,0.0059838760619011,results/phase1_pilot_v1/pilot_summary.json :: main_numerical_ranges[p=2].p_feas_median,3.8760619011e-06,SUPPORTED_ROUNDED,
NV061,Optimizer and Objective Attribution,0.00319,0.0031900559852279502,results/phase1_pilot_v1/pilot_summary.json :: main_numerical_ranges[p=3].p_feas_median,5.59852279501e-08,SUPPORTED_ROUNDED,
NV062,Optimizer and Objective Attribution,0.542,0.5417732690726111,results/phase1_pilot_v1/pilot_summary.json :: dilution_response[p=1].kappa_median,0.000226730927389,SUPPORTED_ROUNDED,
NV063,Optimizer and Objective Attribution,0.412,0.41246396151511944,results/phase1_pilot_v1/pilot_summary.json :: dilution_response[p=2].kappa_median,0.000463961515119,SUPPORTED_ROUNDED,
NV064,Optimizer and Objective Attribution,-0.54,-0.5399946195590973,results/phase1_pilot_v1/pilot_summary.json :: dilution_response[p=3].kappa_median,5.3804409027e-06,SUPPORTED_ROUNDED,
