citation_key,key_exists,author_present,title_present,year_present,doi_or_arxiv_or_url,primary_source_verified,status
akshay2021reachability,YES,YES,YES,YES,10.22331/q-2021-08-30-532,YES,VERIFIED
anderson2024easier,YES,YES,YES,YES,10.22331/q-2024-04-08-1309,YES,VERIFIED
barkoutsos2020cvar,YES,YES,YES,YES,10.22331/q-2020-04-20-256,YES,VERIFIED
bartschi2020grover,YES,YES,YES,YES,10.1109/QCE49297.2020.00020,YES,VERIFIED
beasley1989rcsp,YES,YES,YES,YES,10.1002/net.3230190402,YES,VERIFIED
bennett1997strengths,YES,YES,YES,YES,10.1137/S0097539796300933,YES,VERIFIED
bittel2021training,YES,YES,YES,YES,10.1103/PhysRevLett.127.120502,YES,VERIFIED
boyer1998tight,YES,YES,YES,YES,10.1002/(SICI)1521-3978(199806)46:4/5<493::AID-PROP493>3.0.CO;2-P,YES,VERIFIED
brassard2002amplitude,YES,YES,YES,YES,10.1090/conm/305/05215,YES,VERIFIED
bucher2025penaltyfree,YES,YES,YES,YES,10.1103/fb5m-cl9m,YES,VERIFIED
chung2020advice,YES,YES,YES,YES,10.4230/LIPIcs.TQC.2020.8,YES,VERIFIED
durr2006graph,YES,YES,YES,YES,10.1137/050644719,YES,VERIFIED
egger2021warm,YES,YES,YES,YES,10.22331/q-2021-06-17-479,YES,VERIFIED
fuchs2022mixers,YES,YES,YES,YES,10.3390/a15060202,YES,VERIFIED
galperin1983succinct,YES,YES,YES,YES,10.1016/S0019-9958(83)80004-7,YES,VERIFIED
gupta2026rostering,YES,YES,YES,YES,2607.09145,YES,VERIFIED
hadfield2019alternating,YES,YES,YES,YES,10.3390/a12020034,YES,VERIFIED
he2021prior,YES,YES,YES,YES,10.1007/s11128-021-03160-3,YES,VERIFIED
he2023alignment,YES,YES,YES,YES,10.1038/s41534-023-00787-5,YES,VERIFIED
herman2023zeno,YES,YES,YES,YES,10.1038/s42005-023-01331-9,YES,VERIFIED
hoyer2000arbitrary,YES,YES,YES,YES,10.1103/PhysRevA.62.052304,YES,VERIFIED
konig2009entropy,YES,YES,YES,YES,10.1109/TIT.2009.2025545,YES,VERIFIED
lee2026cvarpenalty,YES,YES,YES,YES,2604.20088,YES,VERIFIED
lei2026routing,YES,YES,YES,YES,2604.07218,YES,VERIFIED
li2026feasibilityloss,YES,YES,YES,YES,10.1103/ykxd-h19w,YES,VERIFIED
montanaro2010advice,YES,YES,YES,YES,10.1007/978-3-642-18073-6_7,YES,VERIFIED
nayebi2015inverting,YES,YES,YES,YES,10.4086/toc.2015.v011a007,YES,VERIFIED
onah2025limitations,YES,YES,YES,YES,2511.17259,YES,VERIFIED
ruan2023constraints,YES,YES,YES,YES,10.1016/j.ins.2022.11.020,YES,VERIFIED
zalka1999optimal,YES,YES,YES,YES,10.1103/PhysRevA.60.2746,YES,VERIFIED
zhou2020qaoa,YES,YES,YES,YES,10.1103/PhysRevX.10.021067,YES,VERIFIED
