base_graph_id,base_instance_id,size_stratum,n_levels,bar_G_O0,bar_G_O2,bar_G_O3,Delta1_CVAR_MEAN,Delta2_CVAR_CAPACITY
g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,3,1.084026579531,1.164300566304,1.070180518434,-0.013846061098,-0.094120047871
g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,3,0.974404624142,1.058898753938,1.034307625172,0.059903001030,-0.024591128766
g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,3,1.030133447498,1.014170291484,0.996121050254,-0.034012397244,-0.018049241230
g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,4,1.083971237713,1.639872777408,1.544801694080,0.460830456367,-0.095071083328
g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,4,1.331540561558,1.558446352041,1.665955815851,0.334415254292,0.107509463810
g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,4,1.394349871209,1.692596219757,1.693505321944,0.299155450735,0.000909102187
g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,7,2.033179561267,2.245924263219,2.241952284871,0.208772723603,-0.003971978349
g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,7,2.183837275843,2.347402652018,2.362214970880,0.178377695037,0.014812318862
g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,7,1.902409330223,2.100253197066,2.107963722258,0.205554392035,0.007710525192
g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,7,2.223162764633,2.584564223389,2.629930334518,0.406767569885,0.045366111129
g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,7,1.596403666077,2.708164517628,2.659336337629,1.062932671553,-0.048828179998
g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,7,2.373636673289,2.684546635079,2.649659599659,0.276022926370,-0.034887035421
g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,7,2.832512573309,3.575661589527,3.457672292010,0.625159718701,-0.117989297516
g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,7,2.780353222661,3.213395297553,3.239731222838,0.459378000177,0.026335925285
g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,7,2.461443226695,3.146818763582,3.252756060521,0.791312833826,0.105937296939
