task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,log_feasibility_gain_O0,log_feasibility_gain_O2,log_feasibility_gain_O3,p_feas_O0,p_feas_O2,p_feas_O3,p_opt_O0,p_opt_O2,p_opt_O3,p_opt_given_feasible_O0,p_opt_given_feasible_O2,p_opt_given_feasible_O3,Delta1_CVAR_MEAN,Delta2_CVAR_CAPACITY,O3_popt_win,O3_both_pfeas_popt_win
task-v2-004cf44adcd0,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D3,5.242448662896,0.000005722046,2.789575745935,3.607505510358,3.365675299611,0.003524739967,0.023176980078,0.013280873397,0.002789892753,0.011047886349,0.006523553687,0.791517325899,0.476674972819,0.491199147198,0.576099553676,-0.241830210747,True,True
task-v2-00b7b12999ba,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D1,4.816479930624,0.000015258789,2.165482293872,2.819876542830,2.804602678191,0.002233584377,0.010078516525,0.009730221967,0.002233584377,0.010078516525,0.009730221967,1.000000000000,1.000000000000,1.000000000000,0.639120384319,-0.015273864639,True,True
task-v2-01f33dead804,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D5,4.941418667232,0.000011444092,2.982834727961,3.102936953381,3.246382553534,0.011000592083,0.014505018470,0.020181985337,0.005292409623,0.007406512659,0.011000282909,0.481102251878,0.510617251136,0.545054548654,0.263547825573,0.143445600152,True,True
task-v2-05a98ad7eaff,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D7,3.913389943632,0.000122070312,1.901444384477,2.589982893408,2.585590430066,0.009728691698,0.047488991827,0.047011107922,0.002101644912,0.008516374982,0.008553989894,0.216025440715,0.179333665632,0.181956781526,0.684146045589,-0.004392463343,True,True
task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,1.630088714928,0.023437500000,1.087345865000,1.122579205647,1.033339940467,0.286587438028,0.310806784796,0.253076153812,0.108489719312,0.105876938908,0.102408730131,0.378557134458,0.340651955128,0.404655786760,-0.054005924533,-0.089239265181,False,False
task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D1,5.719569917616,0.000001907349,2.798289701916,3.326808635326,3.493949755103,0.001198725611,0.004047983352,0.005948121587,0.001198725611,0.004047983352,0.005948121587,1.000000000000,1.000000000000,1.000000000000,0.695660053187,0.167141119777,True,True
task-v2-0ae6410749b4,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D3,3.436268688912,0.000366210938,2.155302317874,2.357230048164,2.348879983730,0.052364098239,0.083360701229,0.081773256798,0.028890585021,0.034025909458,0.036384995428,0.551725055768,0.408176862192,0.444949814313,0.193577665857,-0.008350064434,True,True
task-v2-0b36d078e255,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D1,5.719569917616,0.000001907349,2.570099013868,3.258319654884,3.023040332908,0.000708808793,0.003457400873,0.002011270183,0.000708808793,0.003457400873,0.002011270183,1.000000000000,1.000000000000,1.000000000000,0.452941319040,-0.235279321976,True,True
task-v2-0da346e5ae20,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D3,2.533178701920,0.002929687500,1.528913762269,1.637614501375,1.637630505672,0.099022767607,0.127184972218,0.127189659230,0.042085324648,0.052083315721,0.052241180414,0.425006548138,0.409508409777,0.410734494690,0.108716743403,0.000016004297,True,True
task-v2-0ec069828687,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D6,4.816479930624,0.000015258789,2.819270761439,2.872742056092,2.996663513270,0.010064468173,0.011383141265,0.015142011882,0.002965989351,0.003276404978,0.004705800659,0.294699064100,0.287829598315,0.310777768198,0.177392751830,0.123921457177,True,True
