base_graph_id,split,size_m,objective,n_levels,eta,intercept
g-275f626d73d8e8bd,development,12,O0,6,0.837768052585,1.007795070802
g-275f626d73d8e8bd,development,12,O2,6,0.650938461741,0.779090616143
g-275f626d73d8e8bd,development,12,O3,6,0.514196612851,0.362957379479
g-2fd196f1ec0acd82,development,12,O0,6,0.725634632524,1.145315533201
g-2fd196f1ec0acd82,development,12,O2,6,0.654414699534,1.051133078855
g-2fd196f1ec0acd82,development,12,O3,6,0.616118304615,0.927112565877
g-4baa18b9cb3958b8,development,12,O0,6,3.311676896457,8.483019767182
g-4baa18b9cb3958b8,development,12,O2,6,1.351277028705,3.037874410503
g-4baa18b9cb3958b8,development,12,O3,6,0.979371737820,1.892901078779
g-63a93cc8703f978f,development,12,O0,6,1.138410026309,2.337634267756
g-63a93cc8703f978f,development,12,O2,6,0.726410605789,1.156845124450
g-63a93cc8703f978f,development,12,O3,6,0.674147035402,1.001610613034
g-22d56a3beb2cd856,development,14,O0,6,1.287460708690,2.974676808137
g-22d56a3beb2cd856,development,14,O2,6,1.023110390282,2.250703930345
g-22d56a3beb2cd856,development,14,O3,6,1.032355780108,2.280882802795
g-3cf4bd3967c31b19,development,14,O0,6,1.341997692874,3.600270756859
g-3cf4bd3967c31b19,development,14,O2,6,0.577144554340,1.031911473756
g-3cf4bd3967c31b19,development,14,O3,6,0.575829294089,1.029707390895
g-8e75832e853cc6ea,development,14,O0,6,-0.615186987333,-3.862033372372
g-8e75832e853cc6ea,development,14,O2,6,-0.143244160527,-1.970660955384
g-8e75832e853cc6ea,development,14,O3,6,-0.399104200260,-2.874049891082
g-f9e9faf277cb53e1,development,14,O0,6,0.307554460835,-0.214096562541
g-f9e9faf277cb53e1,development,14,O2,6,0.240300607587,-0.295439125610
g-f9e9faf277cb53e1,development,14,O3,6,0.244660528639,-0.295177015259
g-5017fd274a1c10ec,development,16,O0,6,0.032920376543,-2.276015352326
g-5017fd274a1c10ec,development,16,O2,6,0.434972988849,0.127545536598
g-5017fd274a1c10ec,development,16,O3,6,0.600612684226,0.786956941164
g-c0fc2d5e7eacaffa,development,16,O0,6,0.456114391486,0.116500450178
g-c0fc2d5e7eacaffa,development,16,O2,6,0.598026961338,1.037152401845
g-c0fc2d5e7eacaffa,development,16,O3,6,0.445916326308,0.421061699963
g-cd9098863d67a067,development,16,O0,6,1.639779180277,5.127647463056
g-cd9098863d67a067,development,16,O2,6,0.616047750496,1.387690337451
