task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,log_feasibility_gain_O0,log_feasibility_gain_O2,log_feasibility_gain_O3,p_feas_O0,p_feas_O2,p_feas_O3,p_opt_O0,p_opt_O2,p_opt_O3,p_opt_given_feasible_O0,p_opt_given_feasible_O2,p_opt_given_feasible_O3,Delta1_CVAR_MEAN,Delta2_CVAR_CAPACITY,O3_popt_win,O3_both_pfeas_popt_win
task-v2-004cf44adcd0,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D3,5.24244866289598,5.7220458984375e-06,2.7895757459350805,3.6075055103577776,3.365675299610692,0.0035247399672216,0.0231769800778603,0.0132808733972798,0.0027898927533444,0.0110478863486371,0.0065235536867852,0.7915173258989758,0.4766749728188526,0.4911991471977591,0.5760995536756113,-0.24183021074708577,True,True
task-v2-00b7b12999ba,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D1,4.816479930623699,1.52587890625e-05,2.1654822938716976,2.819876542829634,2.8046026781907383,0.0022335843770246,0.0100785165245199,0.0097302219671669,0.0022335843770246,0.0100785165245199,0.0097302219671669,1.0,1.0,1.0,0.6391203843190407,-0.015273864638895684,True,True
task-v2-01f33dead804,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D5,4.941418667231999,1.1444091796875e-05,2.98283472796062,3.1029369533812647,3.2463825535335697,0.0110005920825733,0.0145050184700104,0.0201819853367981,0.0052924096229212,0.0074065126588281,0.0110002829086958,0.4811022518783588,0.5106172511356224,0.5450545486542824,0.26354782557294953,0.143445600152305,True,True
task-v2-05a98ad7eaff,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D7,3.9133899436317554,0.0001220703125,1.9014443844767992,2.5899828934084344,2.585590430065812,0.0097286916983531,0.0474889918271444,0.047011107922378,0.0021016449117212,0.0085163749815306,0.0085539898935465,0.2160254407154231,0.1793336656320157,0.1819567815264084,0.6841460455890129,-0.0043924633426222215,True,True
task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,1.630088714928206,0.0234375,1.087345865000073,1.1225792056474662,1.033339940466956,0.2865874380282492,0.3108067847964361,0.2530761538121439,0.1084897193116616,0.1058769389080273,0.1024087301309312,0.3785571344580974,0.3406519551282375,0.4046557867595393,-0.05400592453311681,-0.08923926518051006,False,False
task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D1,5.719569917615643,1.9073486328125e-06,2.798289701915776,3.326808635325608,3.4939497551027414,0.001198725611245,0.0040479833518352,0.0059481215873741,0.001198725611245,0.0040479833518352,0.0059481215873741,1.0,1.0,1.0,0.6956600531869652,0.16714111977713353,True,True
task-v2-0ae6410749b4,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D3,3.436268688912093,0.0003662109375,2.15530231787356,2.357230048163932,2.348879983730151,0.0523640982393693,0.0833607012294205,0.0817732567976526,0.0288905850213373,0.0340259094579828,0.0363849954278491,0.5517250557676239,0.408176862192398,0.444949814312564,0.19357766585659064,-0.008350064433781057,True,True
task-v2-0b36d078e255,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D1,5.719569917615643,1.9073486328125e-06,2.5700990138678765,3.2583196548835898,3.023040332907978,0.0007088087926372,0.0034574008725824,0.0020112701831808,0.0007088087926372,0.0034574008725824,0.0020112701831808,1.0,1.0,1.0,0.4529413190401015,-0.23527932197561174,True,True
task-v2-0da346e5ae20,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D3,2.533178701920149,0.0029296875,1.5289137622690911,1.6376145013752994,1.6376305056720613,0.0990227676072534,0.127184972218266,0.1271896592304888,0.0420853246478756,0.0520833157205765,0.0522411804138629,0.4250065481384596,0.4095084097765479,0.4107344946902734,0.1087167434029701,1.6004296761851222e-05,True,True
task-v2-0ec069828687,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D6,4.816479930623699,1.52587890625e-05,2.8192707614392445,2.8727420560923456,2.996663513269725,0.0100644681727603,0.0113831412645352,0.0151420118821732,0.0029659893511751,0.003276404977737,0.0047058006587662,0.2946990640998495,0.2878295983152612,0.3107777681977922,0.1773927518304803,0.12392145717737924,True,True
task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,1.806179973983887,0.015625,0.8555421173062188,0.8717557265714359,0.8681102453643023,0.1120371733749584,0.1162989389805676,0.115326807875375,0.0516727161435485,0.0556040277363647,0.0561138367958477,0.4612104588770173,0.4781129408726216,0.4865636865323259,0.012568128058083494,-0.003645481207133594,True,True
task-v2-110f51ef504a,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D7,4.640388671568018,2.288818359375e-05,2.127488829426765,2.987592860212458,3.233216608089772,0.0030697298539786,0.0222435545164547,0.0391586703321318,0.0002492061436387,0.0022096351656326,0.0044707039310519,0.0811817832490224,0.0993382224049693,0.1141689412110484,1.1057277786630069,0.245623747877314,True,True
task-v2-147f90045792,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D7,3.0682919036174985,0.0008544921875,2.098685904312765,2.1932218653965645,2.160454230496159,0.1072491850207857,0.133330639388417,0.1236409481654899,0.0183874485130372,0.0223272717061057,0.020870572013541,0.1714460441771524,0.1674579212139098,0.1687998379437075,0.06176832618339434,-0.03276763490040535,True,True
task-v2-26d674ac9727,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D2,4.515449934959718,3.0517578125e-05,2.295391837288331,2.455277048628515,2.451854123312842,0.0060247898415829,0.00870616940992,0.0086378207683745,0.0039661232750266,0.0054182471167747,0.0053913434998882,0.658300684225134,0.6223457024166155,0.6241555184413503,0.15646228602451107,-0.003422925315673009,True,True
task-v2-2bbd08239dbd,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D6,4.816479930623699,1.52587890625e-05,2.1661229207177524,3.01292546528896,3.0060598037688666,0.0022368815637217,0.0157197463708258,0.0154731905252085,0.0001673163540097,0.0015089511401006,0.0015087135018275,0.0747989329088159,0.0959908070082554,0.0975050038561591,0.8399368830511142,-0.006865661520093269,True,True
task-v2-30409dd5a775,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D1,3.010299956639812,0.0009765625,0.7721995990598289,1.3135942548116748,1.7636317253850196,0.0057796247532504,0.0201045472888581,0.056667201908723,0.0057796247532504,0.0201045472888581,0.056667201908723,1.0,1.0,1.0,0.9914321263251906,0.45003747057334476,True,True
task-v2-356d367a6a2c,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D5,3.2144199392957367,0.0006103515625,2.221629598980991,2.282924887805314,2.276292521719084,0.1016739414784351,0.1170859943449073,0.1153114896024333,0.0345086766444702,0.0339272147987432,0.0348440317605954,0.3394053200129897,0.289763220516382,0.3021731128505004,0.054662922738093034,-0.006632366086229968,True,True
task-v2-36c69f7819b3,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D6,4.038328680240055,9.1552734375e-05,2.347648275057846,2.554885209674306,2.582598016403097,0.0203854167699026,0.0328516002422179,0.0350162259634674,0.0045675672092678,0.0065731116389175,0.0070164178999025,0.2240605262489147,0.2000849757836275,0.2003761886624446,0.23494974134525126,0.027712806728791062,True,True
task-v2-404bfd76cc2e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D4,3.311329952303793,0.00048828125,1.9414845882217369,2.112637527873925,2.1196248709472663,0.0426731434755742,0.063285989605447,0.0643124298872628,0.0120993762132247,0.0167950225029199,0.0171042013961553,0.2835360891599261,0.2653829482264166,0.2659548306002179,0.1781402827255294,0.006987343073341368,True,True
task-v2-41f38ee1e3c2,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D4,4.214419939295737,6.103515625e-05,2.2987335733891463,2.6366200875811003,2.6138009539836764,0.0121426543899053,0.0264362681440235,0.0250830887438937,0.0052311692815754,0.0102581920684186,0.0098062856562824,0.4308093694838519,0.3880348017553959,0.3909520775693833,0.3150673805945301,-0.022819133597423935,True,True
task-v2-41fa72c23442,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D3,4.339358675904037,4.57763671875e-05,0.917716093223374,2.723276147285516,2.504242151701862,0.0003787541650255,0.0242056902431396,0.0146178491487042,6.834656123880974e-05,0.0079602424077246,0.0054613193284896,0.1804509825897405,0.3288583109081439,0.3736062175038749,1.586526058478488,-0.21903399558365422,True,True
task-v2-4507b50770a7,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D3,2.533178701920149,0.0029296875,1.471774420516321,1.5793065048073631,1.577362240654769,0.0868151897070884,0.1112058932526735,0.1107091557024963,0.0259695124123756,0.0354280820939532,0.0365573811733263,0.2991355833005251,0.3185809767604339,0.3302110014420609,0.10558782013844792,-0.0019442641525941884,True,True
task-v2-45bf90adfb6d,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D4,4.214419939295737,6.103515625e-05,2.299856976866577,2.394614243944779,2.5803083991793976,0.0121741048432134,0.015142385717688,0.0232214032305037,0.0026528981917863,0.0036323091171867,0.0082332827752246,0.2179132039646597,0.2398769378159333,0.3545557817285286,0.2804514223128205,0.18569415523461874,True,True
task-v2-51e0b98b7ef5,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D3,4.339358675904037,4.57763671875e-05,2.486605201747888,2.6539007402227384,2.652340439426609,0.0140361023323054,0.0206320349265975,0.0205580426881017,0.0067374394176178,0.0100910410280943,0.0101660535096689,0.4800078581723482,0.4890957709210544,0.4945049323957605,0.1657352376787209,-0.0015603007961293436,True,True
task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D4,2.4082399653118496,0.00390625,1.5545199438984143,1.592303592719997,1.587042642812699,0.1400489891758109,0.1527789874550189,0.1509394202303467,0.0494380719018163,0.0517623294600455,0.0530322723740314,0.3530055603596971,0.3388052920254194,0.3513480593280372,0.03252269891428461,-0.005260949907298196,True,True
task-v2-59fd840ba77c,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D1,3.9133899436317554,0.0001220703125,1.8109605425527355,2.0749802436901748,2.053689282495032,0.0078989724467791,0.0145074238648161,0.0138133602684538,0.0078989724467791,0.0145074238648161,0.0138133602684538,1.0,1.0,1.0,0.2427287399422966,-0.02129096119514262,True,True
task-v2-5ae92cb9d249,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D1,5.719569917615643,1.9073486328125e-06,3.2010139857438524,3.866906778905666,3.865658359517811,0.0030300100440459,0.0140390222161618,0.0139987237056397,0.0030300100440459,0.0140390222161618,0.0139987237056397,1.0,1.0,1.0,0.6646443737739585,-0.0012484193878550265,True,True
task-v2-5da0eece9ed4,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D4,3.311329952303793,0.00048828125,2.0351931347941665,2.1564733871017348,2.1597064321397244,0.0529496608201287,0.0700073171570624,0.0705304215936957,0.0109909848761866,0.0188910019968759,0.0194174135873188,0.2075742262735789,0.2698432501633177,0.2753055085814826,0.12451329734555783,0.0032330450379896014,True,True
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,1.806179973983887,0.015625,0.8245684068836241,0.8831428196376244,0.9086988717663008,0.1043250094924206,0.1193885961904862,0.1266248365529619,0.0363442874559176,0.0515087062276845,0.0612576175762859,0.3483755969229802,0.4314374058431985,0.4837725302860657,0.08413046488267673,0.0255560521286764,True,True
