table,row,metric,value,denominator,unit,source
optimizer_attribution,nested_zero_layer_identity,count,168.0,168,seed_level_comparison,Phase 1.1 row-level CSVs
optimizer_attribution,certified_optimizer_failure,count,29.0,168,seed_level_comparison,Phase 1.1 row-level CSVs
optimizer_attribution,continuation_objective_repair,count,29.0,29,seed_level_comparison,Phase 1.1 row-level CSVs
optimizer_attribution,continuation_feasibility_improvement,count,27.0,29,seed_level_comparison,Phase 1.1 row-level CSVs
optimizer_attribution,lower_energy_lower_feasibility_gain,count,82.0,168,seed_level_comparison,Phase 1.1 row-level CSVs
objective_discovery,O2_minus_O0_capacity_gap,median,0.21929835458021296,56,decades_G_feas,Phase 1.2 objective_results.csv
objective_discovery,O3_closure_of_O2_minus_O0_gap,median,97.87827559814971,53,percent,Phase 1.2 objective_results.csv
heldout_primary,H1,effect_mean,0.3547149490180106,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H1,one_sided_95_lower_bound,0.23737853648218638,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H1,bootstrap_standard_error,0.07472582111285479,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H1,raw_p_value,0.0001220703125,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H1,holm_adjusted_p_value,0.000244140625,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H1,null_margin,0.0,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H2,effect_mean,-0.008595149938274194,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H2,one_sided_95_lower_bound,-0.03604874990402986,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H2,bootstrap_standard_error,0.016676047763212343,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H2,raw_p_value,0.000152587890625,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H2,holm_adjusted_p_value,0.000244140625,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_primary,H2,null_margin,-0.1,15,decades_or_probability,Phase 2 p3_objective_results.csv
heldout_secondary,O3_vs_O0_P_opt_wins,count,80.0,84,task,Phase 2 p3_objective_results.csv
heldout_secondary,O3_vs_O0_both_Pfeas_Popt_wins,count,79.0,84,task,Phase 2 p3_objective_results.csv
scaling_response,m20,mean_eta_O0,0.6149865941678266,5,graph_level_eta,Phase 3 canonical_results.csv
scaling_response,m20,mean_eta_O2,0.7884817736749641,5,graph_level_eta,Phase 3 canonical_results.csv
scaling_response,m20,mean_eta_O3,1.282138552916467,5,graph_level_eta,Phase 3 canonical_results.csv
scaling_response,m20,O3_vs_O0_ordering_reversed,1.0,1,boolean,Phase 3 canonical_results.csv
scaling_response,m22,resource_censored,1.0,1,boolean,Phase 3 resource_preflight.csv and canonical_results.csv
heldout_graph_contrasts,v2-S1-b002-g-a529fbde22ed09f4,Delta1_CVAR_MEAN,-0.013846061097811724,3,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S1-b002-g-a529fbde22ed09f4,Delta2_CVAR_CAPACITY,-0.09412004787058192,3,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S1-b003-g-c45ecbe0242c6377,Delta1_CVAR_MEAN,0.059903001030442105,3,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S1-b003-g-c45ecbe0242c6377,Delta2_CVAR_CAPACITY,-0.024591128765779402,3,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S1-b004-g-e23fad4558949e26,Delta1_CVAR_MEAN,-0.03401239724444527,3,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S1-b004-g-e23fad4558949e26,Delta2_CVAR_CAPACITY,-0.018049241230143176,3,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S2-b002-g-0780828b282bb310,Delta1_CVAR_MEAN,0.4608304563670542,4,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S2-b002-g-0780828b282bb310,Delta2_CVAR_CAPACITY,-0.09507108332758274,4,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S2-b003-g-686fdbb6f8f550f1,Delta1_CVAR_MEAN,0.3344152542921739,4,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S2-b003-g-686fdbb6f8f550f1,Delta2_CVAR_CAPACITY,0.1075094638096834,4,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S2-b004-g-8c950d2bd101a5de,Delta1_CVAR_MEAN,0.2991554507352425,4,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S2-b004-g-8c950d2bd101a5de,Delta2_CVAR_CAPACITY,0.0009091021871872051,4,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S3-b002-g-fc8e50acd167f0aa,Delta1_CVAR_MEAN,0.20877272360343246,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S3-b002-g-fc8e50acd167f0aa,Delta2_CVAR_CAPACITY,-0.003971978348811689,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S3-b003-g-f0c91af33253395a,Delta1_CVAR_MEAN,0.1783776950369047,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S3-b003-g-f0c91af33253395a,Delta2_CVAR_CAPACITY,0.014812318862346352,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S3-b004-g-64377640089a831f,Delta1_CVAR_MEAN,0.20555439203481285,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S3-b004-g-64377640089a831f,Delta2_CVAR_CAPACITY,0.007710525191954254,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S4-b002-g-28cd30a80498cca2,Delta1_CVAR_MEAN,0.4067675698851545,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S4-b002-g-28cd30a80498cca2,Delta2_CVAR_CAPACITY,0.04536611112897182,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S4-b003-g-f6afb3a3727100d3,Delta1_CVAR_MEAN,1.062932671552672,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S4-b003-g-f6afb3a3727100d3,Delta2_CVAR_CAPACITY,-0.04882817999846223,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S4-b004-g-2fa0de1665fa7816,Delta1_CVAR_MEAN,0.2760229263702163,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S4-b004-g-2fa0de1665fa7816,Delta2_CVAR_CAPACITY,-0.034887035420517964,7,decades_G_feas,Phase 2 p3_objective_results.csv
