base_graph_id,split,size_m,objective,n_levels,eta,intercept
g-275f626d73d8e8bd,development,12,O0,6,0.8377680525848413,1.007795070802173
g-275f626d73d8e8bd,development,12,O2,6,0.6509384617407612,0.7790906161430291
g-275f626d73d8e8bd,development,12,O3,6,0.514196612850573,0.36295737947868023
g-2fd196f1ec0acd82,development,12,O0,6,0.7256346325243693,1.1453155332014096
g-2fd196f1ec0acd82,development,12,O2,6,0.6544146995340135,1.051133078855111
g-2fd196f1ec0acd82,development,12,O3,6,0.6161183046154302,0.9271125658766751
g-4baa18b9cb3958b8,development,12,O0,6,3.3116768964570262,8.48301976718226
g-4baa18b9cb3958b8,development,12,O2,6,1.3512770287049582,3.0378744105025564
g-4baa18b9cb3958b8,development,12,O3,6,0.9793717378202351,1.89290107877854
g-63a93cc8703f978f,development,12,O0,6,1.1384100263092058,2.3376342677563113
g-63a93cc8703f978f,development,12,O2,6,0.7264106057889511,1.1568451244502382
g-63a93cc8703f978f,development,12,O3,6,0.6741470354018756,1.0016106130336453
g-22d56a3beb2cd856,development,14,O0,6,1.2874607086904626,2.9746768081370565
g-22d56a3beb2cd856,development,14,O2,6,1.0231103902819545,2.250703930345481
g-22d56a3beb2cd856,development,14,O3,6,1.0323557801083922,2.2808828027945482
g-3cf4bd3967c31b19,development,14,O0,6,1.3419976928740762,3.6002707568592145
g-3cf4bd3967c31b19,development,14,O2,6,0.5771445543397518,1.0319114737562052
g-3cf4bd3967c31b19,development,14,O3,6,0.5758292940886344,1.0297073908946222
g-8e75832e853cc6ea,development,14,O0,6,-0.615186987333143,-3.8620333723722697
g-8e75832e853cc6ea,development,14,O2,6,-0.14324416052678896,-1.9706609553843122
g-8e75832e853cc6ea,development,14,O3,6,-0.39910420025970744,-2.8740498910822425
g-f9e9faf277cb53e1,development,14,O0,6,0.3075544608352483,-0.2140965625405535
g-f9e9faf277cb53e1,development,14,O2,6,0.2403006075867038,-0.29543912560976654
g-f9e9faf277cb53e1,development,14,O3,6,0.24466052863850832,-0.29517701525879403
g-5017fd274a1c10ec,development,16,O0,6,0.03292037654335627,-2.2760153523260214
g-5017fd274a1c10ec,development,16,O2,6,0.43497298884862495,0.12754553659846016
g-5017fd274a1c10ec,development,16,O3,6,0.6006126842259515,0.7869569411635984
g-c0fc2d5e7eacaffa,development,16,O0,6,0.45611439148606,0.11650045017763676
g-c0fc2d5e7eacaffa,development,16,O2,6,0.5980269613382729,1.0371524018452243
g-c0fc2d5e7eacaffa,development,16,O3,6,0.44591632630843203,0.42106169996334614
g-cd9098863d67a067,development,16,O0,6,1.6397791802774506,5.127647463055501
g-cd9098863d67a067,development,16,O2,6,0.6160477504955194,1.387690337451247
g-cd9098863d67a067,development,16,O3,6,0.7201426431205779,1.7774675471928125
g-e7e26759e1ed20ef,development,16,O0,6,1.7351246246016212,5.5569463304026065
g-e7e26759e1ed20ef,development,16,O2,6,1.3238378504423534,4.1149222074441365
g-e7e26759e1ed20ef,development,16,O3,6,0.6001968862176743,1.1997269614942228
g-0510569b7dbe24ff,development,18,O0,6,0.6772548130916358,1.3997376049049703
g-0510569b7dbe24ff,development,18,O2,6,0.6624380591160854,1.7428037495320818
g-0510569b7dbe24ff,development,18,O3,6,0.878333357465948,2.792994054398009
g-3973175f1911b646,development,18,O0,6,0.3364103926196558,-0.36838561088052624
g-3973175f1911b646,development,18,O2,6,0.10017260205300395,-1.1868646156705047
g-3973175f1911b646,development,18,O3,6,0.40007546962123547,0.2325041978811242
g-595b062626366822,development,18,O0,6,1.3761715729978015,4.060984069148937
g-595b062626366822,development,18,O2,6,0.8702161313804283,2.4641995039137843
g-595b062626366822,development,18,O3,6,1.4819993963802234,5.356359454170672
g-6561c85f253791c6,development,18,O0,6,1.4183885312443627,4.823202304919638
g-6561c85f253791c6,development,18,O2,6,0.6616380043645924,1.7612636030469677
g-6561c85f253791c6,development,18,O3,6,0.7294607569477869,2.0692801979138133
