claim,stage,value,paper_display
task_universe_count,PHASE0_V2,140,140
duplicate_primary_feasible_sets,PHASE0_V2,0,0
nested_identity,PHASE1_1,168,168
certified_optimizer_failures,PHASE1_1,29,29
continuation_objective_repairs,PHASE1_1,29,29
continuation_feasibility_improvements,PHASE1_1,27,27
energy_feasibility_mismatch,PHASE1_1,82,82
discovery_cvar_gap_closure_percent,PHASE1_2_DISCOVERY,97.87827559814973,97.9
heldout_H1_effect_mean,PHASE2_HELDOUT,0.3547149490180106,0.3547
heldout_H1_one_sided_95_lower_bound,PHASE2_HELDOUT,0.23737853648218638,0.2374
heldout_H1_holm_adjusted_p_value,PHASE2_HELDOUT,0.000244140625,0.000244
heldout_H2_effect_mean,PHASE2_HELDOUT,-0.008595149938274194,-0.0086
heldout_H2_one_sided_95_lower_bound,PHASE2_HELDOUT,-0.03604874990402986,-0.036
heldout_H2_margin,PHASE2_HELDOUT,-0.1,-0.1
heldout_Popt_wins,PHASE2_SECONDARY,80,80
heldout_both_wins,PHASE2_SECONDARY,79,79
m20_mean_eta_O0,PHASE3_SCALING,0.6149865941678273,0.615
m20_mean_eta_O2,PHASE3_SCALING,0.7884817736749649,0.7885
m20_mean_eta_O3,PHASE3_SCALING,1.2821385529164686,1.2821
m20_ordering_reversal,PHASE3_SCALING,True,True
m22_resource_censor,PHASE3_SCALING,True,True
