task_id,graph_id,base_instance_id,size_stratum,tightness_level,target_n_edges,actual_n_edges,n_nodes,n_edges,n_qubits,resource_count,budget,budget_quantile,duplicate_budget,duplicate_feasible_set,n_candidate_routes,n_feasible_routes,route_feasible_fraction,state_space_size,n_feasible_states,feasible_state_fraction,n_optimal_states,optimal_cost,zero_feasible,task_build_time_s,exact_reference_time_s,representation_enumeration_time_s,structural_path_state_count
task-b9af4e74fe83,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T1,7,7,6,7,7,1,13.0,1.0,False,False,3,3,1.0,128,3,0.0234375,1,4.0,False,0.000426609069108963,0.0006697569042444229,0.0005031004548072815,3
task-e9bc7d00dd7f,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T2,7,7,6,7,7,1,10.0,0.85,False,False,3,2,0.6666666666666666,128,2,0.015625,1,4.0,False,0.000426609069108963,0.0005541844293475151,0.0005031004548072815,3
task-5044d9505a72,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T3,7,7,6,7,7,1,10.0,0.7,True,True,3,2,0.6666666666666666,128,2,0.015625,1,4.0,False,0.000426609069108963,0.0005425382405519485,0.0005031004548072815,3
task-994084fbcff0,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T4,7,7,6,7,7,1,10.0,0.55,True,True,3,2,0.6666666666666666,128,2,0.015625,1,4.0,False,0.000426609069108963,0.0005392907187342644,0.0005031004548072815,3
task-297320212e97,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T5,7,7,6,7,7,1,10.0,0.4,True,True,3,2,0.6666666666666666,128,2,0.015625,1,4.0,False,0.000426609069108963,0.0005372399464249611,0.0005031004548072815,3
task-2a52c803293b,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T6,7,7,6,7,7,1,10.0,0.2,True,True,3,2,0.6666666666666666,128,2,0.015625,1,4.0,False,0.000426609069108963,0.0005362257361412048,0.0005031004548072815,3
task-bb1ce826122e,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T7,7,7,6,7,7,1,10.0,0.0,True,True,3,2,0.6666666666666666,128,2,0.015625,1,4.0,False,0.000426609069108963,0.0005382141098380089,0.0005031004548072815,3
task-7b49bba79406,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T1,7,7,6,7,7,1,20.0,1.0,False,False,3,3,1.0,128,3,0.0234375,1,8.0,False,0.0002631070092320442,0.0006048092618584633,0.00048620905727148056,3
task-a3d73fa49603,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T2,7,7,6,7,7,1,13.0,0.85,False,False,3,2,0.6666666666666666,128,2,0.015625,1,8.0,False,0.0002631070092320442,0.0005298694595694542,0.00048620905727148056,3
task-9d202796b122,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T3,7,7,6,7,7,1,13.0,0.7,True,True,3,2,0.6666666666666666,128,2,0.015625,1,8.0,False,0.0002631070092320442,0.0005225799977779388,0.00048620905727148056,3
