task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,state_space_size,budget,edge_resource_min,edge_resource_max,edge_resource_mean,feasible_state_fraction,dilution_score,routing_cost_min,routing_cost_max,routing_cost_mean,routing_cost_p95,flow_penalty_min,flow_penalty_max,flow_penalty_mean,flow_penalty_p95,minimum_positive_flow_penalty,resource_excess_max,resource_penalty_max,resource_penalty_mean,resource_penalty_p95,minimum_positive_resource_penalty,weighted_flow_penalty_p95,weighted_resource_penalty_p95,weighted_total_penalty_p95,total_energy_min,total_energy_max,total_energy_mean,total_energy_p95,total_energy_dynamic_range,energy_span,resource_penalty_raw_to_cost_ratio,flow_penalty_raw_to_cost_ratio,resource_penalty_to_cost_ratio,flow_penalty_to_cost_ratio,total_penalty_to_cost_ratio,flow_penalty_strength,resource_penalty_strength,gamma_initial_min,gamma_initial_median,gamma_initial_max,initial_phase_span_min,initial_phase_span_median,initial_phase_span_max,initial_phase_wraps_at_median_gamma,n_penalty_ground_states,penalty_ground_state_valid,penalty_ground_state_resource_feasible,penalty_ground_state_original_optimal,penalty_ground_state_cost,penalty_ground_state_cost_max,exact_rcsp_cost,ground_state_gap_to_exact
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,128,926.0,96.0,707.0,383.0,0.0078125,2.1072099696478683,0.0,34.0,17.0,30.0,0.0,10.0,4.0,8.0,2.0,1755.0,3080025.0,450238.2890625,1701517.5999999996,676.0,400.0,34030351.99999999,34030646.99999999,4.0,61600834.0,9004982.78125,34030673.14999999,61600830.0,61600830.0,56717.25333333332,0.26666666666666666,1134345.0666666664,13.333333333333334,1134354.8999999997,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,88465687.06214,198943171.0717543,288083282.94326705,31662789.070446257,1,True,True,True,4.0,4.0,4.0,0.0
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,128,989.0,96.0,707.0,383.0,0.015625,1.806179973983887,0.0,34.0,17.0,30.0,0.0,10.0,4.0,8.0,2.0,1692.0,2862864.0,391242.125,1541132.1999999997,49.0,400.0,30822643.999999993,30822938.999999993,4.0,57257614.0,7825059.5,30822965.149999995,57257610.0,57257610.0,51371.07333333333,0.26666666666666666,1027421.4666666664,13.333333333333334,1027431.2999999997,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,82228336.99133693,184916510.07607836,267771720.97007844,29430376.637910143,1,True,True,True,4.0,4.0,4.0,0.0
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,128,1231.0,96.0,707.0,383.0,0.0234375,1.630088714928206,0.0,34.0,17.0,30.0,0.0,10.0,4.0,8.0,2.0,1450.0,2102500.0,215166.609375,998858.5999999997,121.0,400.0,19977171.999999996,19977466.999999996,4.0,42050334.0,4303549.1875,19977493.149999995,42050330.0,42050330.0,33295.28666666666,0.26666666666666666,665905.7333333332,13.333333333333334,665915.5666666665,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,60388980.710807264,135803786.975171,196653147.61583164,21613843.987697218,1,True,True,True,4.0,4.0,4.0,0.0
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,128,901.0,26.0,899.0,519.1428571428571,0.0078125,2.1072099696478683,0.0,35.0,17.5,29.64999999999999,0.0,10.0,4.0,8.0,2.0,2733.0,7469289.0,1455619.0546875,4730343.799999999,9.0,400.0,94606875.99999999,94607040.99999999,12.0,149386115.0,29112598.59375,94607067.94999999,149386103.0,149386103.0,159539.41989881956,0.26981450252951106,3190788.3979763915,13.490725126475551,3190793.9629005063,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,214535165.18252453,482450399.52987176,698621089.6564386,76784365.88183892,1,True,True,True,12.0,12.0,12.0,0.0
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,7,128,1393.0,26.0,899.0,519.1428571428571,0.015625,1.806179973983887,0.0,35.0,17.5,29.64999999999999,0.0,10.0,4.0,8.0,2.0,2241.0,5022081.0,701325.359375,2832306.1999999993,9.0,400.0,56646123.999999985,56646288.999999985,8.0,100441955.0,14026724.6875,56646315.94999999,100441947.0,100441947.0,95524.6610455312,0.26981450252951106,1910493.220910624,13.490725126475551,1910498.7858347388,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,144245878.68725228,324382633.2340178,469728181.2107667,51627099.53235926,1,True,True,True,8.0,8.0,8.0,0.0
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,7,128,2104.0,26.0,899.0,519.1428571428571,0.0234375,1.630088714928206,0.0,35.0,17.5,29.64999999999999,0.0,10.0,4.0,8.0,2.0,1530.0,2340900.0,172314.6484375,944743.3999999996,4.0,400.0,18894867.999999993,18895032.999999993,8.0,46818335.0,3446510.46875,18895059.94999999,46818327.0,46818327.0,31863.183811129842,0.26981450252951106,637263.6762225969,13.490725126475551,637269.2411467115,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,67236358.1002876,151202287.98304072,218951227.50897023,24064591.539305218,1,True,True,True,8.0,8.0,8.0,0.0
task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,128,428.0,186.0,765.0,459.85714285714283,0.0078125,2.1072099696478683,0.0,37.0,18.5,31.0,0.0,10.0,4.0,8.0,2.0,2791.0,7789681.0,1880022.4140625,5562324.85,169.0,400.0,111246496.99999999,111246666.99999999,9.0,155793957.0,37600666.78125,111246694.99999999,155793948.0,155793948.0,179429.83387096773,0.25806451612903225,3588596.677419354,12.903225806451612,3588602.161290322,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,223737547.8535486,503144877.25097203,728588105.1039838,80077994.30585712,1,True,True,True,9.0,9.0,9.0,0.0
task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,128,1203.0,186.0,765.0,459.85714285714283,0.015625,1.806179973983887,0.0,37.0,18.5,31.0,0.0,10.0,4.0,8.0,2.0,2016.0,4064256.0,569576.9140625,2507352.3499999996,9.0,400.0,50147046.99999999,50147216.99999999,9.0,81285457.0,11391756.78125,50147244.99999999,81285448.0,81285448.0,80882.33387096773,0.25806451612903225,1617646.6774193547,12.903225806451612,1617652.1612903224,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,116735001.8737386,262515696.41363907,380140636.3413321,41780670.723442,1,True,True,True,9.0,9.0,9.0,0.0
task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,7,128,1830.0,186.0,765.0,459.85714285714283,0.0234375,1.630088714928206,0.0,37.0,18.5,31.0,0.0,10.0,4.0,8.0,2.0,1389.0,1929321.0,139633.65625,914835.0499999998,784.0,400.0,18296700.999999996,18296870.999999996,9.0,38586757.0,2792891.625,18296898.999999996,38586748.0,38586748.0,29510.808064516124,0.25806451612903225,590216.1612903224,12.903225806451612,590221.6451612902,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,55414889.26875915,124617963.88890658,180455312.72784057,19833564.950966798,1,True,True,True,9.0,9.0,9.0,0.0
task-v2-6dd269836f23,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D1,7,128,939.0,209.0,940.0,501.42857142857144,0.0078125,2.1072099696478683,0.0,49.0,24.5,40.0,0.0,10.0,4.0,8.0,2.0,2571.0,6610041.0,1196504.6171875,4250634.999999998,1.0,400.0,85012699.99999997,85012834.99999997,18.0,132201169.0,23930316.84375,85012873.84999996,132201151.0,132201151.0,106265.87499999996,0.2,2125317.499999999,10.0,2125320.874999999,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,189855650.54270723,426950679.0618864,618253708.4152693,67951311.0291406,1,True,True,True,18.0,18.0,18.0,0.0
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,7,128,1302.0,209.0,940.0,501.42857142857144,0.015625,1.806179973983887,0.0,49.0,24.5,40.0,0.0,10.0,4.0,8.0,2.0,2208.0,4875264.0,673404.625,2885682.3999999985,196.0,400.0,57713647.99999998,57713782.99999998,15.0,97505629.0,13468317.0,57713821.84999997,97505614.0,97505614.0,72142.05999999997,0.2,1442841.1999999995,10.0,1442844.5749999995,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,140028975.82590717,314899588.95778584,455996086.1975233,50117826.16023764,1,True,True,True,15.0,15.0,15.0,0.0
task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,7,128,2077.0,209.0,940.0,501.42857142857144,0.0234375,1.630088714928206,0.0,49.0,24.5,40.0,0.0,10.0,4.0,8.0,2.0,1433.0,2053489.0,128739.796875,853477.3999999993,2209.0,400.0,17069547.999999985,17069682.999999985,15.0,41070129.0,2575020.4375,17069721.849999987,41070114.0,41070114.0,21336.934999999983,0.2,426738.6999999996,10.0,426742.0749999996,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,58981280.81602821,132638127.04209428,192069056.08210528,21110013.561200097,1,True,True,True,15.0,15.0,15.0,0.0
task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,7,128,1021.0,99.0,798.0,475.7142857142857,0.0078125,2.1072099696478683,0.0,28.0,14.0,23.0,0.0,12.0,4.0,8.0,2.0,2309.0,5331481.0,873552.5625,3297725.349999997,961.0,400.0,65954506.99999994,65954706.99999994,17.0,106629848.0,17471265.25,65954732.59999994,106629831.0,106629831.0,143379.36304347814,0.34782608695652173,2867587.2608695626,17.391304347826086,2867595.9565217365,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,153132372.74132302,344366735.15576416,498666524.04140896,54807668.13645744,1,True,True,True,17.0,17.0,17.0,0.0
