task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,current_energy_span,current_total_energy_p95,current_resource_penalty_to_cost_ratio,current_flow_penalty_to_cost_ratio,current_ground_state_original_optimal,controlled_flow_scale,controlled_resource_scale,controlled_flow_penalty_strength,controlled_resource_penalty_strength,controlled_flow_classification_unchanged,controlled_resource_classification_unchanged,controlled_flow_penalty_max,controlled_resource_penalty_max,controlled_flow_penalty_p95,controlled_resource_penalty_p95,controlled_total_energy_min,controlled_total_energy_max,controlled_total_energy_mean,controlled_total_energy_p95,controlled_energy_span,controlled_resource_penalty_to_cost_ratio,controlled_flow_penalty_to_cost_ratio,controlled_total_penalty_to_cost_ratio,controlled_initial_phase_span_min,controlled_initial_phase_span_median,controlled_initial_phase_span_max,controlled_n_ground_states,controlled_ground_state_valid,controlled_ground_state_resource_feasible,controlled_ground_state_original_optimal,controlled_ground_state_cost,controlled_ground_state_gap_to_exact
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,61600830.0,34030673.14999999,1134345.0666666664,13.333333333333334,True,10.0,2681.0,172.0,172.0,True,True,2.0,1.4285096569015026,1.8,1.2367242872989237,4.0,580.1148505076894,393.542756776067,536.4554187750538,576.1148505076894,7.09055258051383,10.32,17.104252917517236,827.365411746316,1860.5936845579747,2694.266578658513,1,True,True,True,4.0,0.0
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,57257610.0,30822965.149999995,1027421.4666666664,13.333333333333334,True,10.0,2681.0,172.0,172.0,True,True,2.0,1.3982970496653966,1.8,1.2144106071417788,4.0,576.6097673531438,386.7560041845785,534.4566675770102,572.6097673531438,6.962620814279532,10.32,16.96304454957067,822.3317200009806,1849.2738312762006,2677.8746589043367,1,True,True,True,4.0,0.0
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,0.0234375,1.630088714928206,42050330.0,19977493.149999995,665905.7333333332,13.333333333333334,True,10.0,2681.0,172.0,172.0,True,True,2.0,1.2925111171615193,1.8,1.1389665850047044,4.0,564.9120383941536,355.66759354286404,523.5760423586704,560.9120383941536,6.530075087360306,10.32,16.479499812899544,805.532471850854,1811.4953907350684,2623.1688998831282,1,True,True,True,4.0,0.0
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,0.0078125,2.1072099696478683,149386103.0,94607067.94999999,3190788.3979763915,13.490725126475551,True,10.0,3634.0,172.0,172.0,True,True,2.0,1.5656000216871842,1.8,1.3581977556187526,12.0,579.4832037301957,418.352353027774,545.7120795253292,567.4832037301957,7.878921213032901,10.441821247892078,17.73762869335645,814.9694008054133,1832.7173202056454,2653.8997014448933,1,True,True,True,12.0,0.0
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,7,0.015625,1.806179973983887,100441947.0,56646315.94999999,1910493.220910624,13.490725126475551,True,10.0,3634.0,172.0,172.0,True,True,2.0,1.3802890907708614,1.8,1.2144718792035956,8.0,547.6097236125881,382.9968604213508,524.0831828911136,539.6097236125881,7.045165707353069,10.441821247892078,16.9134294398352,774.939963386842,1742.698427223159,2523.546203621337,1,True,True,True,8.0,0.0
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,7,0.0234375,1.630088714928206,46818327.0,18895059.94999999,637263.6762225969,13.490725126475551,True,10.0,3634.0,172.0,172.0,True,True,2.0,1.1772609268121141,1.8,1.0715391903471432,8.0,520.2421602495117,319.66929943059404,478.6471094103297,512.2421602495117,6.216011492064374,10.441821247892078,15.270486691436796,735.6370790566924,1654.3134194244394,2395.558683002005,1,True,True,True,8.0,0.0
task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,0.0078125,2.1072099696478683,155793948.0,111246694.99999999,3588596.677419354,12.903225806451612,True,10.0,3219.0,172.0,172.0,True,True,2.0,1.7517574134857292,1.8,1.5368023340369648,9.0,620.4514937471779,449.06932033243993,567.6085927470679,611.4514937471779,8.526774240463158,9.98709677419355,17.361845657867143,878.1127867841374,1974.71526150905,2859.5224070722998,1,True,True,True,9.0,0.0
task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,0.015625,1.806179973983887,81285448.0,50147244.99999999,1617646.6774193547,12.903225806451612,True,10.0,3219.0,172.0,172.0,True,True,2.0,1.392228459458591,1.8,1.2419766248878952,9.0,564.8388640528564,384.31700665359097,534.2409255921731,555.8388640528564,6.89096708002316,9.98709677419355,16.170675019102358,798.2468256397741,1795.1113032015478,2599.4436234674627,1,True,True,True,9.0,0.0
task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,7,0.0234375,1.630088714928206,38586748.0,18296898.999999996,590216.1612903224,12.903225806451612,True,10.0,3219.0,172.0,172.0,True,True,2.0,1.18619265214374,1.8,1.0882878298808496,9.0,546.4222179566203,324.7740534423214,506.5273898734033,537.4222179566203,6.038242152887295,9.98709677419355,15.5483997690548,771.798460410218,1735.6337608552603,2513.3160847929353,1,True,True,True,9.0,0.0
task-v2-6dd269836f23,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D1,7,0.0078125,2.1072099696478683,132201151.0,85012873.84999996,2125317.499999999,10.0,True,10.0,3510.0,172.0,172.0,True,True,2.0,1.5365249470377673,1.8,1.3450162742185532,18.0,588.8844496392076,425.78556199066975,554.0714121638621,570.8844496392076,5.783569979139779,7.74,12.928741898604716,819.8539706433202,1843.701825556201,2669.8060145183613,1,True,True,True,18.0,0.0
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,7,0.015625,1.806179973983887,97505614.0,57713821.84999997,1442841.1999999995,10.0,True,10.0,3510.0,172.0,172.0,True,True,2.0,1.3957162685367814,1.8,1.2342255663509223,15.0,569.662223520913,391.6076018964944,538.0282329526545,554.662223520913,5.307169935308966,7.74,12.473512656147271,796.5570381306849,1791.3112797499746,2593.940930284816,1,True,True,True,15.0,0.0
task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,7,0.0234375,1.630088714928206,41070114.0,17069721.849999987,426738.6999999996,10.0,True,10.0,3510.0,172.0,172.0,True,True,2.0,1.1666779490426213,1.8,1.0692752006883062,15.0,555.2432551683834,319.50357673131714,508.088151394875,540.2432551683834,4.597883362959716,7.74,11.820601767436951,775.8497856142207,1744.7444512245227,2526.50898594816,1,True,True,True,15.0,0.0
task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,7,0.0078125,2.1072099696478683,106629831.0,65954732.59999994,2867587.2608695626,17.391304347826086,True,12.0,3330.0,172.0,172.0,True,True,2.0,1.4807943980016052,1.6666666666666665,1.2973897636375111,17.0,526.8142293644996,392.6017628101074,502.55917816916013,509.8142293644996,9.702219101984866,12.463768115942027,21.02116342743056,732.1502985395796,1646.4722869363325,2384.204188263645,1,True,True,True,17.0,0.0
task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,7,0.015625,1.806179973983887,75117096.0,41767758.59999995,1815979.695652172,17.391304347826086,True,12.0,3330.0,172.0,172.0,True,True,2.0,1.338703027351676,1.6666666666666665,1.1883303709114517,12.0,508.712766820875,355.088975853669,485.75432221410597,496.712766820875,8.88664451290303,12.463768115942027,20.319730963238992,713.3351318374321,1604.1604137991283,2322.9337095878604,1,True,True,True,12.0,0.0
task-v2-a4fc95665697,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D3,7,0.0234375,1.630088714928206,34269838.0,13340732.599999974,580022.0434782597,17.391304347826086,True,12.0,3330.0,172.0,172.0,True,True,2.0,1.1545221798374952,1.6666666666666665,1.060152526400274,10.0,500.5076150023898,293.2611449202581,459.40688508328145,490.5076150023898,7.928097153949876,12.463768115942027,19.123734372837383,704.4238392631732,1584.1205445351732,2293.9146118414405,1,True,True,True,10.0,0.0
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,10,0.0009765625,3.010299956639812,360400931.0,171698598.6,4088047.619047619,11.904761904761905,True,12.0,5972.0,172.0,172.0,True,True,2.0,1.5052610160207336,1.8333333333333335,1.2407108367738888,23.0,604.1195838823343,449.66986989686205,558.8837977316783,581.1195838823343,5.081006283931164,7.507936507936509,12.494189265198207,834.5527690684622,1876.756738333719,2717.671783114742,1,True,True,True,23.0,0.0
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,10,0.001953125,2.709269960975831,331298445.0,151801098.6,3614297.619047619,11.904761904761905,True,12.0,5972.0,172.0,172.0,True,True,2.0,1.4644609651918823,1.8333333333333335,1.2128156727375665,9.0,597.8463564880509,441.20913438116577,555.9273047609092,588.8463564880509,4.966768945496701,7.507936507936509,12.39390723313267,845.6492794131709,1901.7107632118193,2753.8069134175475,1,True,True,True,9.0,0.0
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,10,0.0029296875,2.533178701920149,318881425.0,143434278.6,3415087.619047619,11.904761904761905,True,12.0,5972.0,172.0,172.0,True,True,2.0,1.44705300892892,1.8333333333333335,1.201085866663317,9.0,595.223812038228,437.6881421772604,555.0315422406595,586.223812038228,4.9187325968116795,7.507936507936509,12.358597533482978,841.8830120332575,1893.2411158203083,2741.542286223894,1,True,True,True,9.0,0.0
