task_id,graph_id,base_instance_id,size_stratum,tightness_level,target_n_edges,actual_n_edges,n_nodes,n_edges,n_qubits,resource_count,budget,budget_quantile,duplicate_budget,duplicate_feasible_set,n_candidate_routes,n_feasible_routes,route_feasible_fraction,state_space_size,n_feasible_states,feasible_state_fraction,n_optimal_states,optimal_cost,zero_feasible,task_build_time_s,exact_reference_time_s,representation_enumeration_time_s,structural_path_state_count,stress_level,base_index,stress_policy,target_feasible_route_count,actual_feasible_route_count,selection_reason,unique_resource_consumptions,achievable_distinct_feasible_sets,effective_distinct_stress_levels,stress_status,resource_support_min,resource_support_max,dilution_score,theoretical_min_positive_fraction
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,7,6,7,7,1,926.0,,False,False,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,False,0.00028741732239723206,0.0005098879337310791,0.0005057035014033318,3,D1,0,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.1072099696478683,0.0078125
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,7,6,7,7,1,989.0,,False,False,3,2,0.6666666666666666,128,2,0.015625,1,4.0,False,0.00028741732239723206,0.0005090115591883659,0.0005057035014033318,3,D2,0,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,1.806179973983887,0.0078125
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,7,6,7,7,1,1231.0,,False,False,3,3,1.0,128,3,0.0234375,1,4.0,False,0.00028741732239723206,0.0005089538171887398,0.0005057035014033318,3,D3,0,distinct_feasible_route_cardinality,3,3,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,1.630088714928206,0.0078125
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,7,6,7,7,1,901.0,,False,False,3,1,0.3333333333333333,128,1,0.0078125,1,12.0,False,0.00030021462589502335,0.0004659751430153847,0.0004617171362042427,3,D1,1,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.1072099696478683,0.0078125
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,7,7,6,7,7,1,1393.0,,False,False,3,2,0.6666666666666666,128,2,0.015625,1,8.0,False,0.00030021462589502335,0.00046436768025159836,0.0004617171362042427,3,D2,1,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,1.806179973983887,0.0078125
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,7,7,6,7,7,1,2104.0,,False,False,3,3,1.0,128,3,0.0234375,1,8.0,False,0.00030021462589502335,0.000463840551674366,0.0004617171362042427,3,D3,1,distinct_feasible_route_cardinality,3,3,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,1.630088714928206,0.0078125
task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,7,6,7,7,1,428.0,,False,False,3,1,0.3333333333333333,128,1,0.0078125,1,9.0,False,0.0005197823047637939,0.0005144625902175903,0.0005024420097470284,3,D1,2,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.1072099696478683,0.0078125
task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,7,6,7,7,1,1203.0,,False,False,3,2,0.6666666666666666,128,2,0.015625,1,9.0,False,0.0005197823047637939,0.0005146898329257965,0.0005024420097470284,3,D2,2,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,1.806179973983887,0.0078125
task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,7,7,6,7,7,1,1830.0,,False,False,3,3,1.0,128,3,0.0234375,1,9.0,False,0.0005197823047637939,0.0005100434646010399,0.0005024420097470284,3,D3,2,distinct_feasible_route_cardinality,3,3,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,1.630088714928206,0.0078125
task-v2-6dd269836f23,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D1,7,7,6,7,7,1,939.0,,False,False,3,1,0.3333333333333333,128,1,0.0078125,1,18.0,False,0.00018400698900222778,0.0004800036549568176,0.0004763677716255188,3,D1,3,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.1072099696478683,0.0078125
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,7,7,6,7,7,1,1302.0,,False,False,3,2,0.6666666666666666,128,2,0.015625,1,15.0,False,0.00018400698900222778,0.0004788180813193321,0.0004763677716255188,3,D2,3,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,1.806179973983887,0.0078125
task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,7,7,6,7,7,1,2077.0,,False,False,3,3,1.0,128,3,0.0234375,1,15.0,False,0.00018400698900222778,0.0004785051569342613,0.0004763677716255188,3,D3,3,distinct_feasible_route_cardinality,3,3,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,1.630088714928206,0.0078125
