task_id,base_instance_id,size_stratum,dilution_score,objective_final_B1,objective_final_B2,objective_final_B4,G_feas_final_B1,G_feas_final_B2,G_feas_final_B4,p_feas_final_B1,p_feas_final_B2,p_feas_final_B4,p_opt_final_B1,p_opt_final_B2,p_opt_final_B4,runtime_s_B1,runtime_s_B2,runtime_s_B4,optimizer_nfev_B1,optimizer_nfev_B2,optimizer_nfev_B4,objective_gain_B1_to_B2,objective_gain_B2_to_B4,G_change_B1_to_B2,G_change_B2_to_B4
task-v2-07b8f456a957,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,3.9133899436317554,1.3786348177288883,1.3413205483545072,1.301755984043548,2.2716427566600044,2.331909301482072,2.4276970383775445,0.0228166989917394,0.0262131587619962,0.0326818847944268,0.0093311101556837,0.0105272453331179,0.0128123529738336,5.926521045155823,11.977472154423594,25.36027079354972,120.0,240.0,480.0,0.03731426937438109,0.03956456431095923,0.060266544822067836,0.09578773689547226
task-v2-095187356858,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.515449934959718,1.5760613067653573,1.5282871092675427,1.505845150316924,2.0436956770386185,2.21921875766466,2.3457674797578765,0.0033747821400627,0.0050555548045714,0.006765774903966,0.0025510940878667,0.0037937119349008,0.005017913214266,5.913037495687604,11.074829326942565,25.399986977688968,120.0,240.0,480.0,0.04777419749781453,0.022441958950618845,0.1755230806260415,0.12654872209321644
task-v2-0b71cbcaebc2,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.339358675904037,1.3727250642647302,1.3525606042493827,1.3393289428797663,1.5701361188867544,1.6347416718005163,1.696664666205975,0.0017012864497189,0.0019741629447588,0.0022767009580603,0.0002500087447151,0.0002303378540125,0.00026367358732,6.064244531095028,12.616500194184482,25.733800838701427,120.0,240.0,480.0,0.02016446001534744,0.013231661369616399,0.06460555291376191,0.061922994405458676
task-v2-0c6c4504c3d3,v2-S3-b000-g-8a16a856f5377a40,S3,3.2144199392957367,1.3818848379630095,1.3385118277668702,1.3243448958021868,1.9884373281712988,2.051692311988335,2.078797991025438,0.0594315954172992,0.0687499477902451,0.0731775814429449,0.018221719642884,0.0199825441819598,0.0211924131687601,0.7198332641273737,1.8731596376746893,3.824076861143112,120.0,240.0,480.0,0.04337301019613937,0.014166931964683327,0.06325498381703598,0.027105679037103148
task-v2-11173062a501,v2-S5-b000-g-a87f1b9ac089cc45,S5,4.941418667231999,1.2440000007213836,1.2118252848788127,1.1847513916532588,2.977930601465551,2.923776316635875,2.8227376479306328,0.0108770702696158,0.0096019104079707,0.0076088492667084,0.0046191706900304,0.0043503903843717,0.0036638441783337,128.61953016091138,244.91423666477203,516.9405903210863,120.0,240.0,480.0,0.03217471584257092,0.02707389322555387,-0.05415428482967588,-0.10103866870524225
task-v2-2d64318cb7be,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2.709269960975831,1.4122457098897476,1.363327692999374,1.35542916938307,1.3660010476402722,1.4943086564577848,1.5188725257324935,0.0453660624894026,0.0609591209177778,0.0645063642742375,0.0291564009038673,0.0387947143303191,0.0414115128773114,0.3473872514441609,0.8212465532124043,1.6260936725884676,120.0,240.0,480.0,0.04891801689037356,0.007898523616304054,0.12830760881751258,0.02456386927470877
task-v2-3cd2eda112d3,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2.533178701920149,1.3100103531321745,1.3089646458281547,1.3083472002100138,1.449013293892386,1.448216223065113,1.4495772091983057,0.0823824288543792,0.0822313691186839,0.0824894688669195,0.0557221796299239,0.0557645871031901,0.0560054182005776,0.3442851100116968,0.8306348249316216,1.606247273273766,120.0,240.0,480.0,0.0010457073040197606,0.0006174456181409216,-0.0007970708272730942,0.0013609861331926876
task-v2-3f11ce371857,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.816479930623699,1.601944742471454,1.5812563544968534,1.571016716657775,2.458451678626854,2.4769887395066537,2.4322868265784665,0.0043850217112904,0.0045762401687283,0.0041286388599451,0.0043850217112904,0.0045762401687283,0.0041286388599451,5.912970184348524,11.506610513664782,25.516253497451544,120.0,240.0,480.0,0.020688387974600486,0.01023963783907833,0.01853706087979967,-0.04470191292818715
task-v2-3f363bac5736,v2-S2-b000-g-60667963f6db3f1b,S2,3.010299956639812,1.7528666243413893,1.73431049241351,1.7309714994763414,1.4154432270493689,1.4660977974880067,1.4693763120437118,0.0254181109118392,0.0285626067695536,0.0287790434847905,0.0254181109118392,0.0285626067695536,0.0287790434847905,0.3407156737521291,0.8133666617795825,1.6521018808707597,120.0,240.0,480.0,0.018556131927879305,0.00333899293716855,0.05065457043863786,0.0032785145557050477
task-v2-420d9636beee,v2-S5-b001-g-e0c69f84d376b633,S5,5.719569917615643,1.430296780991104,1.3891161659128797,1.3759652496355217,3.068869596315217,3.1576276598502298,3.159283039468264,0.0022351139992961,0.0027419387060167,0.0027524099670792,0.0022351139992961,0.0027419387060167,0.0027524099670792,129.3224922819063,244.25675628706813,514.0396018223837,120.0,240.0,480.0,0.04118061507822435,0.013150916277357982,0.0887580635350127,0.0016553796180343028
