scope,view,base_graph_id,base_instance_id,size_stratum,n_levels,kappa,R2,absolute_feasibility_log_slope,absolute_R2,slope_identity_residual,min_D,max_D,n_base_graphs,kappa_median,kappa_q1,kappa_q3,kappa_iqr,kappa_min,kappa_max,number_negative,number_0_to_1,number_at_least_1,spearman_D_vs_p_feas,spearman_D_vs_G_feas,spearman_n_p_feas,spearman_n_G_feas,max_abs_slope_identity_residual
base_graph,P1_RANDOM_ORIGINAL,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,3,-0.45988826654432546,0.9665824299221252,-1.4598882665443258,0.9965808831329,-2.220446049250313e-16,1.630088714928206,2.1072099696478683,,,,,,,,,,,,,,,
base_graph,P1_RANDOM_ORIGINAL,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,3,-0.7119085608862042,0.8516031298371044,-1.711908560886204,0.9707463172331924,4.440892098500626e-16,1.630088714928206,2.1072099696478683,,,,,,,,,,,,,,,
base_graph,P1_RANDOM_ORIGINAL,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,4,0.2622222945433266,0.1881216118380511,-0.737777705456678,0.6471735048296543,-4.551914400963142e-15,2.4082399653118496,3.010299956639812,,,,,,,,,,,,,,,
base_graph,P1_RANDOM_ORIGINAL,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,4,0.35066818904815733,0.7990333848636383,-0.6493318109518426,0.9316598754106535,1.1102230246251565e-16,2.4082399653118496,3.010299956639812,,,,,,,,,,,,,,,
base_graph,P1_RANDOM_ORIGINAL,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,7,0.7328783490970633,0.29586216116781916,-0.26712165090293677,0.05286843439941091,-5.551115123125783e-17,3.0682919036174985,3.9133899436317554,,,,,,,,,,,,,,,
base_graph,P1_RANDOM_ORIGINAL,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,7,1.4177933917835281,0.6790201198387877,0.4177933917835341,0.15518920983077655,5.9396931817445875e-15,3.0682919036174985,3.9133899436317554,,,,,,,,,,,,,,,
base_graph,P1_RANDOM_ORIGINAL,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,7,1.0187909612801989,0.5657950382877137,0.018790961280196986,0.00044309791243068997,-1.8735013540549517e-15,3.8622374211843744,4.816479930623699,,,,,,,,,,,,,,,
base_graph,P1_RANDOM_ORIGINAL,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,7,0.818012266560112,0.41788895400696424,-0.18198773343989144,0.03431279749100946,-3.3861802251067274e-15,3.9133899436317554,4.816479930623699,,,,,,,,,,,,,,,
base_graph,P1_RANDOM_ORIGINAL,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,7,1.5323489550850178,0.678109072859026,0.532348955085051,0.20271350616143813,3.319566843629218e-14,4.719569917615643,5.719569917615643,,,,,,,,,,,,,,,
base_graph,P1_RANDOM_ORIGINAL,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,7,0.019531814969563664,0.025036943123437294,-0.9804681850304683,0.9847817387684725,-3.197442310920451e-14,4.640388671568018,5.719569917615643,,,,,,,,,,,,,,,
aggregate,P1_RANDOM_ORIGINAL,,,ALL,56,,,,,,,,10.0,0.5417732690726103,0.0802044348630044,0.9685962876001771,0.8883918527371727,-0.7119085608862042,1.5323489550850178,2.0,5.0,3.0,-0.6353160091353228,0.9235954364071594,56.0,56.0,3.319566843629218e-14
base_graph,P2_RANDOM_ORIGINAL,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,3,0.39281521096767824,0.5688057412229544,-0.60718478903232,0.7591395711148764,1.7763568394002505e-15,1.630088714928206,2.1072099696478683,,,,,,,,,,,,,,,
base_graph,P2_RANDOM_ORIGINAL,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,3,1.9975894011461126,0.8525392134418779,0.9975894011461154,0.590479412385476,2.7755575615628914e-15,1.630088714928206,2.1072099696478683,,,,,,,,,,,,,,,
base_graph,P2_RANDOM_ORIGINAL,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,4,-0.6422046708575607,0.937657475429047,-1.64220467085757,0.9899344168209284,-9.325873406851315e-15,2.4082399653118496,3.010299956639812,,,,,,,,,,,,,,,
base_graph,P2_RANDOM_ORIGINAL,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,4,0.6242582566751338,0.2034836685657242,-0.37574174332487226,0.08471164452398083,-6.050715484207103e-15,2.4082399653118496,3.010299956639812,,,,,,,,,,,,,,,
base_graph,P2_RANDOM_ORIGINAL,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,7,0.2045464538322847,0.5645773274840087,-0.7954535461677189,0.9514777950726347,-3.6637359812630166e-15,3.0682919036174985,3.9133899436317554,,,,,,,,,,,,,,,
base_graph,P2_RANDOM_ORIGINAL,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,7,0.29861387027611475,0.14834169522199192,-0.701386129723889,0.49003817423434604,-3.774758283725532e-15,3.0682919036174985,3.9133899436317554,,,,,,,,,,,,,,,
base_graph,P2_RANDOM_ORIGINAL,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,7,0.6023368299058868,0.8889825326766791,-0.39766317009411173,0.777294166367267,1.4988010832439613e-15,3.8622374211843744,4.816479930623699,,,,,,,,,,,,,,,
base_graph,P2_RANDOM_ORIGINAL,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,7,0.4321127120625599,0.37537049470292927,-0.5678872879374578,0.5093058859468291,-1.765254609153999e-14,3.9133899436317554,4.816479930623699,,,,,,,,,,,,,,,
base_graph,P2_RANDOM_ORIGINAL,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,7,1.096438618983917,0.817687243860061,0.09643861898393828,0.03353435101237079,2.1246893133763933e-14,4.719569917615643,5.719569917615643,,,,,,,,,,,,,,,
base_graph,P2_RANDOM_ORIGINAL,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,7,0.048836011761833546,0.023410226970312253,-0.9511639882381883,0.9009248590192189,-2.1760371282653068e-14,4.640388671568018,5.719569917615643,,,,,,,,,,,,,,,
aggregate,P2_RANDOM_ORIGINAL,,,ALL,56,,,,,,,,10.0,0.4124639615151191,0.2280633079432422,0.6187778999828221,0.39071459203957987,-0.6422046708575607,1.9975894011461126,1.0,7.0,2.0,-0.8671639433476588,0.9423375322838905,56.0,56.0,2.1760371282653068e-14
base_graph,P3_RANDOM_ORIGINAL,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,3,-0.31219990967205613,0.3877052050061147,-1.3121999096720556,0.9179387412063562,4.440892098500626e-16,1.630088714928206,2.1072099696478683,,,,,,,,,,,,,,,
base_graph,P3_RANDOM_ORIGINAL,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,3,-2.057801161161531,0.7561841757244325,-3.057801161161532,0.8725824855041612,-1.3322676295501878e-15,1.630088714928206,2.1072099696478683,,,,,,,,,,,,,,,
base_graph,P3_RANDOM_ORIGINAL,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,4,-2.784564871027429,0.8916052226877392,-3.784564871027546,0.9382499817131114,-1.1723955140041653e-13,2.4082399653118496,3.010299956639812,,,,,,,,,,,,,,,
base_graph,P3_RANDOM_ORIGINAL,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,4,-0.7677893294461412,0.2008157796336989,-1.7677893294461462,0.5711968334685502,-5.10702591327572e-15,2.4082399653118496,3.010299956639812,,,,,,,,,,,,,,,
