task_id,base_instance_id,size_stratum,dilution_score,p3_view,p2_reference,Delta_G_3_2,Delta_log10_P_feas_3_2,Delta_P_opt_3_2
task-v2-e442db508705,v2-S1-b000-g-548c8c6335dd2a2e,S1,2.1072099696478683,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.36085807921089774,-0.3608580792108982,-0.0415248541414543
task-v2-d7382a83ef13,v2-S1-b000-g-548c8c6335dd2a2e,S1,1.806179973983887,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.12964760926402663,-0.12964760926402696,-0.011269002083246701
task-v2-ce7fc44fc7b5,v2-S1-b000-g-548c8c6335dd2a2e,S1,1.630088714928206,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.028110605624991236,-0.028110605624991125,-0.0067792226401076
task-v2-4e78b3f98433,v2-S1-b001-g-553bb3c5ba0f2136,S1,2.1072099696478683,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.8844720145488794,-0.8844720145488807,-0.0473473235179576
task-v2-f83834022ee2,v2-S1-b001-g-553bb3c5ba0f2136,S1,1.806179973983887,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.46367814763097737,0.4636781476309779,0.08945556574060981
task-v2-73f419868dc6,v2-S1-b001-g-553bb3c5ba0f2136,S1,1.630088714928206,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,1.0260818827168683,1.0260818827168685,0.0576630114996998
task-v2-3f363bac5736,v2-S2-b000-g-60667963f6db3f1b,S2,3.010299956639812,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-1.5801649413580408,-1.5801649413581051,-0.0062370053190865
task-v2-f1a738d52e35,v2-S2-b000-g-60667963f6db3f1b,S2,2.709269960975831,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.3958940580744572,-0.39589405807445677,-0.0051178920811801
task-v2-a0f813383468,v2-S2-b000-g-60667963f6db3f1b,S2,2.533178701920149,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.6137246417877837,-0.6137246417877842,-0.005408228171209501
task-v2-6996479d6302,v2-S2-b000-g-60667963f6db3f1b,S2,2.4082399653118496,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.16931355022809358,-0.16931355022809358,-0.010954859541535699
task-v2-4d2b9f5eb099,v2-S2-b001-g-6aa6775bed3bc2cc,S2,3.010299956639812,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.8895441016534263,-0.8895441016534229,-0.0047707220178576995
task-v2-2d64318cb7be,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2.709269960975831,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.1338562322492829,0.1338562322492829,0.0014009158331726992
task-v2-3cd2eda112d3,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2.533178701920149,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.6639734304258884,-0.6639734304258893,-0.0117847828030366
task-v2-f4789f22d2c1,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2.4082399653118496,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.277457821477182,0.2774578214771868,0.0028794944314890995
task-v2-4968f3a685c2,v2-S3-b000-g-8a16a856f5377a40,S3,3.9133899436317554,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-1.1084962725639809,-1.1084962725640195,-0.0033672374746648998
task-v2-8f4071cbe937,v2-S3-b000-g-8a16a856f5377a40,S3,3.612359947967774,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-1.5424444992750246,-1.542444499275057,-0.0029508766578746227
task-v2-5de325b6f026,v2-S3-b000-g-8a16a856f5377a40,S3,3.436268688912093,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-1.5307374046961093,-1.5307374046961648,-0.0061607993696376
task-v2-eb1005d46905,v2-S3-b000-g-8a16a856f5377a40,S3,3.311329952303793,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.23211497981465934,0.23211497981466156,0.0135340372182393
task-v2-0c6c4504c3d3,v2-S3-b000-g-8a16a856f5377a40,S3,3.2144199392957367,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.09419654992853044,-0.09419654992852955,0.0087904170181211
task-v2-f0ef0f25a74e,v2-S3-b000-g-8a16a856f5377a40,S3,3.135238693248112,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.16160130796603478,0.16160130796603545,0.0074991275333173
task-v2-69173fedcdae,v2-S3-b000-g-8a16a856f5377a40,S3,3.0682919036174985,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.3869175980556405,0.38691759805564097,0.0101749252656778
task-v2-8792ce3c54d5,v2-S3-b001-g-a712031e7959d564,S3,3.9133899436317554,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-1.8452944672878089,-1.8452944672878044,-0.006274824555326877
task-v2-5acbf653f95a,v2-S3-b001-g-a712031e7959d564,S3,3.612359947967774,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.908529847025625,-0.9085298470256391,-0.006660915957969
task-v2-ef23e17da545,v2-S3-b001-g-a712031e7959d564,S3,3.436268688912093,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-1.1806528249630275,-1.1806528249630515,-0.007654549370888801
task-v2-ac528a9510be,v2-S3-b001-g-a712031e7959d564,S3,3.311329952303793,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-1.3772871794137542,-1.3772871794137818,-0.005850887645773
task-v2-5b0627539151,v2-S3-b001-g-a712031e7959d564,S3,3.2144199392957367,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.14810026343549199,-0.14810026343549287,0.001460186716774399
task-v2-c5ed7c8b71f4,v2-S3-b001-g-a712031e7959d564,S3,3.135238693248112,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.20080746965093965,0.20080746965093965,0.0122361258640829
task-v2-8c0a098a6f8b,v2-S3-b001-g-a712031e7959d564,S3,3.0682919036174985,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.44345248150683614,0.4434524815068366,0.0128299709978781
task-v2-3f11ce371857,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.816479930623699,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.5283899637009333,-0.5283899637009872,-0.0012380127296491
task-v2-095187356858,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.515449934959718,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.9393317866676076,-0.9393317866677178,-0.0019070131780060998
task-v2-0b71cbcaebc2,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.339358675904037,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.27041998166349646,-0.27041998166350645,0.0005361290235194999
task-v2-606c43f06406,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.214419939295737,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.5711664750019987,-0.5711664750020189,-0.0004983832945986
task-v2-9f1427c2fbd8,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.038328680240055,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.05105240156760238,-0.05105240156760171,0.00024170941120970008
