task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,optimizer_seed,feasible_state_fraction,dilution_score,p2_parameters,p2_embedded_p3_parameters,embedded_p2_objective,original_p3_objective,p3_optimization_gap_vs_embedded_p2,original_p3_worse_than_embedded_p2,comparison_tolerance,embedded_p2_p_feas,original_p3_p_feas,embedded_p2_p_opt,original_p3_p_opt,embedded_p2_G_feas,original_p3_G_feas
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,1103,0.0078125,2.1072099696478683,"[1.477800657813748, 4.34993797619227, 2.440640577618369, 0.14039436331164015]","[1.477800657813748, 4.34993797619227, 0.0, 2.440640577618369, 0.14039436331164015, 0.0]",1.6117171955819425,1.6109772782424756,-0.0007399173394668779,False,1e-10,0.03092824302363936,0.0155910675250959,0.03092824302363936,0.0155910675250959,0.597565218884431,0.3000858221289474
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,2207,0.0078125,2.1072099696478683,"[3.879273207878719, 6.298057187376657, 2.550077674081783, -0.3874335713792828]","[3.879273207878719, 6.298057187376657, 0.0, 2.550077674081783, -0.3874335713792828, 0.0]",1.6710622921516056,1.907990357995459,0.23692806584385329,True,1e-10,0.07358051621199466,0.0474608763650312,0.07358051621199466,0.0474608763650312,0.973972799993131,0.7835457228503703
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,3301,0.0078125,2.1072099696478683,"[2.7723638353221602, 3.568660695598161, 3.0688492111878953, -0.4992284504091515]","[2.7723638353221602, 3.568660695598161, 0.0, 3.0688492111878953, -0.4992284504091515, 0.0]",1.5859170053675018,1.5936407386978046,0.007723733330302851,True,1e-10,0.09553165645776852,0.0320556620705403,0.09553165645776852,0.0320556620705403,1.087357277847213,0.6131147207822333
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,1103,0.015625,1.806179973983887,"[1.3782086668752445, 4.601681502666781, 2.554680337050873, 0.14831440667307677]","[1.3782086668752445, 4.601681502666781, 0.0, 2.554680337050873, 0.14831440667307677, 0.0]",1.5767358274755168,1.6156165692792386,0.03888074180372181,True,1e-10,0.09988833319552405,0.0421490590487546,0.04492980700607253,0.0168402995746246,0.8056947402409731,0.4309678577015876
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,2207,0.015625,1.806179973983887,"[4.8842099188213615, 6.738175990251219, 2.4882356625947186, -0.32227751464685306]","[4.8842099188213615, 6.738175990251219, 0.0, 2.4882356625947186, -0.32227751464685306, 0.0]",1.4805575381283131,1.8041013009278049,0.3235437627994917,True,1e-10,0.150843954523465,0.111912938734673,0.09357045734344246,0.0823014552601957,0.9847078833261091,0.8550602740620825
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,3301,0.015625,1.806179973983887,"[3.032761243412031, 3.331088620118533, 3.069783442292192, -0.4785774234800611]","[3.032761243412031, 3.331088620118533, 0.0, 3.069783442292192, -0.4785774234800611, 0.0]",1.5136882839514054,1.481547803454795,-0.032140480496610335,False,1e-10,0.1643406008826411,0.1825729760713611,0.10020753855826221,0.1085732820625467,1.0219248445461497,1.0676164689147287
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,1103,0.0234375,1.630088714928206,"[1.2230132147294046, 4.782995288064548, 2.701315695909157, 0.11815955664767501]","[1.2230132147294046, 4.782995288064548, 0.0, 2.701315695909157, 0.11815955664767501, 0.0]",1.4606063228435135,1.4671321646577955,0.006525841814281952,True,1e-10,0.13545437082420464,0.1269645324561242,0.050656774255849905,0.0438775516157423,0.7618817382819428,0.7337711326569516
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,2207,0.0234375,1.630088714928206,"[6.057428853187273, 4.377771129103387, 2.7001753060835285, 0.12927775915703282]","[6.057428853187273, 4.377771129103387, 0.0, 2.7001753060835285, 0.12927775915703282, 0.0]",1.261482475324296,1.2835095463474888,0.0220270710231929,True,1e-10,0.297342946902572,0.2934359991382947,0.1153029515555255,0.1198432230583082,1.1033463562413153,1.0976021075576956
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,3301,0.0234375,1.630088714928206,"[1.9479617096463702, 0.6266568289030283, 1.576806729659442, 1.1946472781263702]","[1.9479617096463702, 0.6266568289030283, 0.0, 1.576806729659442, 1.1946472781263702, 0.0]",1.5752417685566071,1.5277552278697757,-0.04748654068683145,False,1e-10,0.10538072110989258,0.1164617461164536,0.04117066564232041,0.0341752428959285,0.6528498810094969,0.696272012146681
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,1103,0.0078125,2.1072099696478683,"[1.6943290289611375, 4.238012900972635, 2.425342072178163, 0.1685275075675178]","[1.6943290289611375, 4.238012900972635, 0.0, 2.425342072178163, 0.1685275075675178, 0.0]",1.7075527106223567,1.6231261882965546,-0.08442652232580206,False,1e-10,0.05445195323979102,0.002835945218821,0.05445195323979102,0.002835945218821,0.8432234325467988,-0.4400921929079322
