scope,objective_id,objective_name,base_graph_id,base_instance_id,size_stratum,kappa,R2,D_min,D_max,D_range,number_of_levels,number_of_base_graphs,median_kappa,kappa_q1,kappa_q3,kappa_IQR,kappa_min,kappa_max,negative_count,zero_to_one_count,at_least_one_count,spearman_D_vs_P_feas,spearman_D_vs_G_feas,spearman_D_vs_P_opt,spearman_n_P_feas,spearman_n_G_feas,spearman_n_P_opt
base_graph,O0,MEAN_ENERGY,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,-0.00021150181743677051,4.097966743599191e-05,1.630088714928206,2.1072099696478683,0.4771212547196624,3,,,,,,,,,,,,,,,,
base_graph,O0,MEAN_ENERGY,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,0.46615824768613623,0.29873888137572113,1.630088714928206,2.1072099696478683,0.4771212547196624,3,,,,,,,,,,,,,,,,
base_graph,O0,MEAN_ENERGY,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,-0.2599518591036684,0.6282491412912652,2.4082399653118496,3.010299956639812,0.6020599913279625,4,,,,,,,,,,,,,,,,
base_graph,O0,MEAN_ENERGY,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,0.9275753494273687,0.2934935709706451,2.4082399653118496,3.010299956639812,0.6020599913279625,4,,,,,,,,,,,,,,,,
base_graph,O0,MEAN_ENERGY,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,-1.0748877216906918,0.8930638783167768,3.0682919036174985,3.9133899436317554,0.8450980400142569,7,,,,,,,,,,,,,,,,
base_graph,O0,MEAN_ENERGY,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,-0.2406846868360875,0.8042429010836785,3.0682919036174985,3.9133899436317554,0.8450980400142569,7,,,,,,,,,,,,,,,,
base_graph,O0,MEAN_ENERGY,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,-0.08952570543719846,0.011323432915100073,3.8622374211843744,4.816479930623699,0.9542425094393248,7,,,,,,,,,,,,,,,,
base_graph,O0,MEAN_ENERGY,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,0.15564072125752917,0.10056703310919646,3.9133899436317554,4.816479930623699,0.9030899869919438,7,,,,,,,,,,,,,,,,
base_graph,O0,MEAN_ENERGY,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,0.26397707413794047,0.4802823907739606,4.719569917615643,5.719569917615643,1.0,7,,,,,,,,,,,,,,,,
base_graph,O0,MEAN_ENERGY,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,0.20999808577963824,0.12160472645949227,4.640388671568018,5.719569917615643,1.079181246047625,7,,,,,,,,,,,,,,,,
aggregate,O0,MEAN_ENERGY,,,ALL,,,,,,56,10.0,0.07771460972004621,-0.20289494148636525,0.25048232704836493,0.45337726853473015,-1.0748877216906918,0.9275753494273687,5.0,5.0,0.0,-0.8719520700314951,0.9009202364687054,-0.8963715161190609,56.0,56.0,56.0
