task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,Delta_G_2_1,Delta_G_3_2,Delta_G_3_1,Delta_log10_P_feas_2_1,Delta_log10_P_feas_3_2,Delta_log10_P_feas_3_1,Delta_P_opt_2_1,Delta_P_opt_3_2,Delta_P_opt_3_1
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,2.1072099696478683,0.5500673831231911,-0.36085807921089774,0.1892093039122934,0.5500673831231926,-0.3608580792108982,0.1892093039122944,0.052845926448080005,-0.0415248541414543,0.011321072306625702
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,1.806179973983887,0.39011345719586066,-0.12964760926402663,0.260465847931834,0.3901134571958613,-0.12964760926402696,0.26046584793183436,0.0676829432434917,-0.011269002083246701,0.05641394116024499
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,1.630088714928206,0.12472203121853742,-0.028110605624991236,0.09661142559354619,0.1247220312185372,-0.028110605624991125,0.09661142559354607,0.011423663894633701,-0.0067792226401076,0.004644441254526101
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,2.1072099696478683,0.4440106324008651,-0.8844720145488794,-0.4404613821480143,0.44401063240086547,-0.8844720145488807,-0.4404613821480152,0.034863378837345096,-0.0473473235179576,-0.0124839446806125
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,1.806179973983887,-0.17039032470955073,0.46367814763097737,0.29328782292142663,-0.17039032470955107,0.4636781476309779,0.29328782292142686,0.011177981138335798,0.08945556574060981,0.1006335468789456
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,1.630088714928206,-0.8872390810649128,1.0260818827168683,0.1388428016519554,-0.8872390810649133,1.0260818827168685,0.13884280165195528,-0.0323856771819159,0.0576630114996998,0.025277334317783902
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,3.010299956639812,0.16717425529812224,-1.5801649413580408,-1.4129906860599184,0.16717425529812058,-1.5801649413581051,-1.4129906860599846,0.0020465559723914003,-0.0062370053190865,-0.0041904493466950994
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,2.709269960975831,0.19303604094842952,-0.3958940580744572,-0.2028580171260277,0.19303604094842863,-0.39589405807445677,-0.20285801712602813,0.0047842016432252,-0.0051178920811801,-0.0003336904379549
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,2.533178701920149,0.4799975494381179,-0.6137246417877837,-0.13372709234966584,0.4799975494381188,-0.6137246417877842,-0.1337270923496654,0.006185885507188101,-0.005408228171209501,0.0007776573359786002
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,2.4082399653118496,0.7304834391368018,-0.16931355022809358,0.5611698889087082,0.7304834391368031,-0.16931355022809358,0.5611698889087096,0.0134452209709412,-0.010954859541535699,0.0024903614294055003
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D1,3.010299956639812,0.28171206810220234,-0.8895441016534263,-0.607832033551224,0.2817120681021992,-0.8895441016534229,-0.6078320335512237,0.0026139589970988,-0.0047707220178576995,-0.0021567630207588997
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,2.709269960975831,0.5343774422618026,0.1338562322492829,0.6682336745110855,0.5343774422618108,0.1338562322492829,0.6682336745110937,0.0054190313576627,0.0014009158331726992,0.006819947190835399
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,2.533178701920149,0.6486718913314137,-0.6639734304258884,-0.015301539094474736,0.6486718913314162,-0.6639734304258893,-0.015301539094473071,0.0123447795587438,-0.0117847828030366,0.0005599967557072
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D4,2.4082399653118496,-0.0812675103324636,0.277457821477182,0.19619031114471838,-0.08126751033246382,0.2774578214771868,0.19619031114472296,-0.0005823220273021,0.0028794944314890995,0.0022971724041869995
task-v2-4968f3a685c2,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D1,3.9133899436317554,-0.046655729853241734,-1.1084962725639809,-1.1551520024172226,-0.04665572985324129,-1.1084962725640195,-1.1551520024172608,-0.00041414291517660046,-0.0033672374746648998,-0.0037813803898415
task-v2-8f4071cbe937,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D2,3.612359947967774,-0.11568176696819332,-1.5424444992750246,-1.658126266243218,-0.11568176696819865,-1.542444499275057,-1.6581262662432557,-0.0010005705343697,-0.0029508766578746227,-0.003951447192244322
task-v2-5de325b6f026,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D3,3.436268688912093,-0.12083026874663094,-1.5307374046961093,-1.6515676734427402,-0.12083026874663205,-1.5307374046961648,-1.6515676734427969,-0.002104277207034601,-0.0061607993696376,-0.008265076576672201
task-v2-eb1005d46905,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D4,3.311329952303793,-0.4188016204990175,0.23211497981465934,-0.18668664068435814,-0.41880162049901837,0.23211497981466134,-0.18668664068435703,-0.0084810835796655,0.0135340372182393,0.0050529536385738
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D5,3.2144199392957367,-0.3122803130851175,-0.09419654992853044,-0.40647686301364794,-0.31228031308511883,-0.09419654992852955,-0.4064768630136484,-0.0083389081017703,0.0087904170181211,0.00045150891635080057
task-v2-f0ef0f25a74e,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D6,3.135238693248112,0.5658924442323012,0.16160130796603478,0.727493752198336,0.5658924442323019,0.16160130796603545,0.7274937521983373,0.0027772531633458,0.0074991275333173,0.0102763806966631
task-v2-69173fedcdae,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D7,3.0682919036174985,0.5243761445157229,0.3869175980556405,0.9112937425713634,0.5243761445157265,0.38691759805564097,0.9112937425713674,0.0029410986725201,0.0101749252656778,0.0131160239381979
task-v2-8792ce3c54d5,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D1,3.9133899436317554,-0.11787188000647686,-1.8452944672878089,-1.9631663472942857,-0.11787188000647975,-1.8452944672878044,-1.9631663472942842,-0.0019849140056462993,-0.006274824555326877,-0.008259738560973177
task-v2-5acbf653f95a,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D2,3.612359947967774,-0.1154181436824393,-0.908529847025625,-1.0239479907080642,-0.11541814368243886,-0.9085298470256391,-1.023947990708078,-0.0017915478343901994,-0.006660915957969,-0.0084524637923592
