task_id,base_graph_id,size_stratum,stress_level,raw_normalized_argmin_identical,normalized_ground_state_exact_original_optimal,flow_classification_unchanged,resource_classification_unchanged,feasible_state_fraction,dilution_score,raw_energy_span,normalized_energy_span
task-v2-e442db508705,g-548c8c6335dd2a2e,S1,D1,True,True,True,True,0.0078125,2.1072099696478683,576.1148505076894,3.3495049448121477
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,S1,D2,True,True,True,True,0.015625,1.806179973983887,572.6097673531438,3.3291265543787425
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,S1,D3,True,True,True,True,0.0234375,1.630088714928206,560.9120383941536,3.2611165022915904
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,S1,D1,True,True,True,True,0.0078125,2.1072099696478683,567.4832037301957,3.299320951919742
task-v2-f83834022ee2,g-553bb3c5ba0f2136,S1,D2,True,True,True,True,0.015625,1.806179973983887,539.6097236125881,3.137265834956908
task-v2-73f419868dc6,g-553bb3c5ba0f2136,S1,D3,True,True,True,True,0.0234375,1.630088714928206,512.2421602495117,2.9781520944739053
task-v2-b9e5059853ca,g-a529fbde22ed09f4,S1,D1,True,True,True,True,0.0078125,2.1072099696478683,611.4514937471779,3.554950545041732
task-v2-9065c1a0a08c,g-a529fbde22ed09f4,S1,D2,True,True,True,True,0.015625,1.806179973983887,555.8388640528564,3.231621302632886
task-v2-07632e755d52,g-a529fbde22ed09f4,S1,D3,True,True,True,True,0.0234375,1.630088714928206,537.4222179566203,3.12454777881756
task-v2-6dd269836f23,g-c45ecbe0242c6377,S1,D1,True,True,True,True,0.0078125,2.1072099696478683,570.8844496392076,3.319095637437253
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,S1,D2,True,True,True,True,0.015625,1.806179973983887,554.662223520913,3.224780369307634
task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,S1,D3,True,True,True,True,0.0234375,1.630088714928206,540.2432551683834,3.140949157955717
task-v2-628efc62dabb,g-e23fad4558949e26,S1,D1,True,True,True,True,0.0078125,2.1072099696478683,509.8142293644996,2.9640362172354626
task-v2-10d8be977e09,g-e23fad4558949e26,S1,D2,True,True,True,True,0.015625,1.806179973983887,496.712766820875,2.88786492337718
task-v2-a4fc95665697,g-e23fad4558949e26,S1,D3,True,True,True,True,0.0234375,1.630088714928206,490.5076150023898,2.8517884593162197
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,D1,True,True,True,True,0.0009765625,3.010299956639812,581.1195838823343,3.3786022318740367
task-v2-f1a738d52e35,g-60667963f6db3f1b,S2,D2,True,True,True,True,0.001953125,2.709269960975831,588.8463564880509,3.4235253284189007
task-v2-a0f813383468,g-60667963f6db3f1b,S2,D3,True,True,True,True,0.0029296875,2.533178701920149,586.223812038228,3.4082779769664415
task-v2-6996479d6302,g-60667963f6db3f1b,S2,D4,True,True,True,True,0.00390625,2.4082399653118496,564.2177030428672,3.2803354828073674
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,D1,True,True,True,True,0.0009765625,3.010299956639812,600.6102809101112,3.4919202378494836
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,S2,D2,True,True,True,True,0.001953125,2.709269960975831,592.072594714825,3.442282527411773
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,D3,True,True,True,True,0.0029296875,2.533178701920149,564.3824896235078,3.2812935443227196
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,S2,D4,True,True,True,True,0.00390625,2.4082399653118496,556.4171329456178,3.234983331079173
task-v2-ff6e67bbbcba,g-0780828b282bb310,S2,D1,True,True,True,True,0.0009765625,3.010299956639812,578.97262095769,3.366119889288895
task-v2-a9de39f81405,g-0780828b282bb310,S2,D2,True,True,True,True,0.001953125,2.709269960975831,577.0573818200812,3.354984778023728
task-v2-b0f919379fb8,g-0780828b282bb310,S2,D3,True,True,True,True,0.0029296875,2.533178701920149,558.903633467157,3.2494397294602146
task-v2-d80673ba7cf0,g-0780828b282bb310,S2,D4,True,True,True,True,0.00390625,2.4082399653118496,556.1582553697641,3.2334782288939774
task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,D1,True,True,True,True,0.0009765625,3.010299956639812,637.3465751267054,3.705503343759915
task-v2-eed472030dc4,g-686fdbb6f8f550f1,S2,D2,True,True,True,True,0.001953125,2.709269960975831,614.7336673399402,3.574032949650815
task-v2-4507b50770a7,g-686fdbb6f8f550f1,S2,D3,True,True,True,True,0.0029296875,2.533178701920149,572.8305112401406,3.3304099490705847
task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,S2,D4,True,True,True,True,0.00390625,2.4082399653118496,553.4275848226193,3.21760223734081
task-v2-de1e481a2b9a,g-8c950d2bd101a5de,S2,D1,True,True,True,True,0.0009765625,3.010299956639812,627.0383552758024,3.6455718329988507
task-v2-df25fe0d6e36,g-8c950d2bd101a5de,S2,D2,True,True,True,True,0.001953125,2.709269960975831,613.3488372093024,3.5659816116819902
task-v2-0da346e5ae20,g-8c950d2bd101a5de,S2,D3,True,True,True,True,0.0029296875,2.533178701920149,580.5058740149914,3.3750341512499498
task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,D4,True,True,True,True,0.00390625,2.4082399653118496,576.6617816644243,3.352684777118746
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,D1,True,True,True,True,0.0001220703125,3.9133899436317554,635.0755922121598,3.692299954721859
task-v2-8f4071cbe937,g-8a16a856f5377a40,S3,D2,True,True,True,True,0.000244140625,3.612359947967774,628.2184532269753,3.6524328675986935
task-v2-5de325b6f026,g-8a16a856f5377a40,S3,D3,True,True,True,True,0.0003662109375,3.436268688912093,627.7759249372859,3.6498600287051506
task-v2-eb1005d46905,g-8a16a856f5377a40,S3,D4,True,True,True,True,0.00048828125,3.311329952303793,622.5323295048958,3.6193740087493937
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,S3,D5,True,True,True,True,0.0006103515625,3.2144199392957367,621.7542354655588,3.6148502061951095
task-v2-f0ef0f25a74e,g-8a16a856f5377a40,S3,D6,True,True,True,True,0.000732421875,3.135238693248112,611.7151341068267,3.5564833378303877
task-v2-69173fedcdae,g-8a16a856f5377a40,S3,D7,True,True,True,True,0.0008544921875,3.0682919036174985,595.649648294534,3.4630793505496165
task-v2-8792ce3c54d5,g-a712031e7959d564,S3,D1,True,True,True,True,0.0001220703125,3.9133899436317554,684.1287743341442,3.977492874035722
task-v2-5acbf653f95a,g-a712031e7959d564,S3,D2,True,True,True,True,0.000244140625,3.612359947967774,673.6335884281966,3.9164743513267246
task-v2-ef23e17da545,g-a712031e7959d564,S3,D3,True,True,True,True,0.0003662109375,3.436268688912093,667.470846476573,3.8806444562591453
task-v2-ac528a9510be,g-a712031e7959d564,S3,D4,True,True,True,True,0.00048828125,3.311329952303793,664.5498108360064,3.863661690907014
task-v2-5b0627539151,g-a712031e7959d564,S3,D5,True,True,True,True,0.0006103515625,3.2144199392957367,652.7373228647818,3.7949844352603597
task-v2-c5ed7c8b71f4,g-a712031e7959d564,S3,D6,True,True,True,True,0.000732421875,3.135238693248112,641.8471006207749,3.7316691896556677
task-v2-8c0a098a6f8b,g-a712031e7959d564,S3,D7,True,True,True,True,0.0008544921875,3.0682919036174985,637.7472543855213,3.707832874334426
task-v2-eb747215294a,g-fc8e50acd167f0aa,S3,D1,True,True,True,True,0.0001220703125,3.9133899436317554,737.4334919829721,4.287404023156815
task-v2-607a9c50d675,g-fc8e50acd167f0aa,S3,D2,True,True,True,True,0.000244140625,3.612359947967774,711.4409390515572,4.136284529369518
task-v2-cfa564be8207,g-fc8e50acd167f0aa,S3,D3,True,True,True,True,0.0003662109375,3.436268688912093,698.1654351920763,4.059101367395793
task-v2-5da0eece9ed4,g-fc8e50acd167f0aa,S3,D4,True,True,True,True,0.00048828125,3.311329952303793,697.6805414271445,4.056282217599677
task-v2-cd3aef86a98f,g-fc8e50acd167f0aa,S3,D5,True,True,True,True,0.0006103515625,3.2144199392957367,696.0022554001397,4.046524740698486
task-v2-8029d558b1a1,g-fc8e50acd167f0aa,S3,D6,True,True,True,True,0.000732421875,3.135238693248112,693.7332761918998,4.033333001115697
task-v2-147f90045792,g-fc8e50acd167f0aa,S3,D7,True,True,True,True,0.0008544921875,3.0682919036174985,676.0725034701397,3.9306540899426725
task-v2-8b88de51ba21,g-f0c91af33253395a,S3,D1,True,True,True,True,0.0001220703125,3.9133899436317554,733.0887070330338,4.2621436455408945
task-v2-df7a823d7a2b,g-f0c91af33253395a,S3,D2,True,True,True,True,0.000244140625,3.612359947967774,697.0075472376291,4.052369460683891
task-v2-0ae6410749b4,g-f0c91af33253395a,S3,D3,True,True,True,True,0.0003662109375,3.436268688912093,696.7747220669328,4.0510158259705396
task-v2-f12c027474e2,g-f0c91af33253395a,S3,D4,True,True,True,True,0.00048828125,3.311329952303793,676.0136898916744,3.9303121505329908
task-v2-356d367a6a2c,g-f0c91af33253395a,S3,D5,True,True,True,True,0.0006103515625,3.2144199392957367,675.3318179534049,3.9263477787988657
task-v2-747868754e4a,g-f0c91af33253395a,S3,D6,True,True,True,True,0.000732421875,3.135238693248112,668.9552653214769,3.8892747983806792
task-v2-ba2b70f61e3b,g-f0c91af33253395a,S3,D7,True,True,True,True,0.0008544921875,3.0682919036174985,650.1809599185934,3.780121859991822
task-v2-59fd840ba77c,g-64377640089a831f,S3,D1,True,True,True,True,0.0001220703125,3.9133899436317554,637.2544939612314,3.704967988146694
task-v2-87f0030ee4db,g-64377640089a831f,S3,D2,True,True,True,True,0.000244140625,3.612359947967774,636.7300570107254,3.7019189361088687
task-v2-835da0eb601e,g-64377640089a831f,S3,D3,True,True,True,True,0.0003662109375,3.436268688912093,631.0445237861261,3.668863510384454
task-v2-404bfd76cc2e,g-64377640089a831f,S3,D4,True,True,True,True,0.00048828125,3.311329952303793,630.7309613241712,3.6670404728149486
task-v2-e1d0a1367c62,g-64377640089a831f,S3,D5,True,True,True,True,0.0006103515625,3.2144199392957367,629.9101331893886,3.6622682162173756
task-v2-7eefc621bd20,g-64377640089a831f,S3,D6,True,True,True,True,0.000732421875,3.135238693248112,625.5498194498316,3.636917554940881
task-v2-8d35df6592f7,g-64377640089a831f,S3,D7,True,True,True,True,0.0008544921875,3.0682919036174985,617.9195009113452,3.592555237856658
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,D1,True,True,True,True,1.52587890625e-05,4.816479930623699,662.8594505588612,3.8538340148771
task-v2-095187356858,g-3ff7063ef9ea5cfb,S4,D2,True,True,True,True,3.0517578125e-05,4.515449934959718,645.5922851690771,3.7534435184248665
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,S4,D3,True,True,True,True,4.57763671875e-05,4.339358675904037,650.3682494359821,3.7812107525347796
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,S4,D4,True,True,True,True,6.103515625e-05,4.214419939295737,649.3264150968276,3.775153576144347
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,D5,True,True,True,True,9.1552734375e-05,4.038328680240055,631.6487403601338,3.6723763974426387
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,S4,D6,True,True,True,True,0.0001220703125,3.9133899436317554,625.3495254717899,3.635753055068546
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,S4,D7,True,True,True,True,0.0001373291015625,3.8622374211843744,622.7821691689151,3.6208265649355527
task-v2-59a464f36e13,g-bd62d2d752385cc7,S4,D1,True,True,True,True,1.52587890625e-05,4.816479930623699,661.8026456014086,3.8476898000081894
task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,D2,True,True,True,True,3.0517578125e-05,4.515449934959718,646.7846833737137,3.7603760661262426
task-v2-f6d986d24578,g-bd62d2d752385cc7,S4,D3,True,True,True,True,4.57763671875e-05,4.339358675904037,645.7527937552998,3.7543767078796497
