view,depth,predictor,response,spearman_rho,n_rows
seed_level,all,objective_final,p_feas,-0.10316394888565826,504
seed_level,all,objective_improvement,p_feas,-0.22151925786159993,504
seed_level,all,objective_final,p_opt,-0.12534570980528897,504
seed_level,all,objective_improvement,p_opt,-0.20564983507723117,504
seed_level,all,objective_final,log_feasibility_gain,-0.0749010885183946,504
seed_level,all,objective_improvement,log_feasibility_gain,0.41480977407595926,504
seed_level,1,objective_final,p_feas,-0.6181761582498572,168
seed_level,1,objective_improvement,p_feas,-0.02475691052383821,168
seed_level,1,objective_final,p_opt,-0.5267487004013952,168
seed_level,1,objective_improvement,p_opt,-0.033857897054580616,168
seed_level,1,objective_final,log_feasibility_gain,-0.20334985143828999,168
seed_level,1,objective_improvement,log_feasibility_gain,0.7390274396262421,168
seed_level,2,objective_final,p_feas,-0.38662235967625197,168
seed_level,2,objective_improvement,p_feas,-0.36200464666609306,168
seed_level,2,objective_final,p_opt,-0.4044573574744004,168
seed_level,2,objective_improvement,p_opt,-0.25357484523767343,168
seed_level,2,objective_final,log_feasibility_gain,-0.1478201669357819,168
seed_level,2,objective_improvement,log_feasibility_gain,0.7057086165791833,168
seed_level,3,objective_final,p_feas,0.17818294096506906,168
seed_level,3,objective_improvement,p_feas,-0.43159074918632734,168
seed_level,3,objective_final,p_opt,0.23280657619671902,168
seed_level,3,objective_improvement,p_opt,-0.4056114314059962,168
seed_level,3,objective_final,log_feasibility_gain,-0.13907856307672062,168
seed_level,3,objective_improvement,log_feasibility_gain,-0.02092012087405916,168
task_metricwise_median,all,objective_final_median,p_feas_median,-0.08730468057966907,168
task_metricwise_median,all,objective_final_median,p_opt_median,-0.12530813267800833,168
task_metricwise_median,all,objective_final_median,log_feasibility_gain_median,-0.08875233472193401,168
task_metricwise_median,1,objective_final_median,p_feas_median,-0.5990430622009569,56
task_metricwise_median,1,objective_final_median,p_opt_median,-0.49897470950102535,56
task_metricwise_median,1,objective_final_median,log_feasibility_gain_median,-0.20307587149692413,56
task_metricwise_median,2,objective_final_median,p_feas_median,-0.35809979494190025,56
task_metricwise_median,2,objective_final_median,p_opt_median,-0.3885850991114149,56
task_metricwise_median,2,objective_final_median,log_feasibility_gain_median,-0.04552289815447711,56
task_metricwise_median,3,objective_final_median,p_feas_median,0.032946001367054,56
task_metricwise_median,3,objective_final_median,p_opt_median,0.11872863978127136,56
task_metricwise_median,3,objective_final_median,log_feasibility_gain_median,-0.30314422419685577,56
