run_id,task_id,graph_id,base_instance_id,size_stratum,tightness_level,seed,algorithm,depth,n_nodes,n_edges,n_qubits,resource_count,budget,n_candidate_routes,n_feasible_routes,route_feasible_fraction,state_space_size,n_feasible_states,feasible_state_fraction,n_optimal_states,optimal_cost,flow_penalty_strength,resource_penalty_strength,optimizer,eval_budget,initial_parameters,optimized_parameters,nfev,status,optimizer_message,objective_initial,objective_final,expected_energy,p_feas,p_opt,p_opt_given_feasible,feasibility_amplification,uniform_p_feas,uniform_p_opt,uniform_feasibility_amplification,task_build_time_s,exact_reference_time_s,energy_build_time_s,optimization_time_s,optimizer_runtime_s,total_time_s,peak_memory_mb,execution_status,failure_reason,zero_feasible,zero_optimal_probability,resource_censored,base_graph_id,stress_level,optimizer_seed,dilution_score,log_feasibility_gain,uniform_log_feasibility_gain,expected_energy_normalized,expected_energy_raw,objective_initial_raw,objective_final_raw,objective_improvement,optimizer_status,hamiltonian_normalization_mode,hamiltonian_normalization_factor,raw_energy_span,normalized_energy_span,penalty_contract,state_norm,row_type
pilot-run-e17c04b71b3a50207152,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,0,Uniform,0,6,7,7,1,926.0,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,172.0,172.0,analytic,0,,,0,0,analytic uniform baseline,,,,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,1.0,0.0002874173223972,0.000509887933731,0.0,0.0,0.0,0.0,168.38671875,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D1,0,2.1072099696478683,0.0,0.0,,,,,,0,global_fixed,172.0,,,penalty_contract_v2_scale_controlled,,analytic_uniform
pilot-run-4cfd98dc7794a34c3e68,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,1103,Penalty-X,1,6,7,7,1,926.0,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,172.0,172.0,COBYLA,120,"[1.4361119332668082, 2.3383068291715148]","[1.6631119806980255, 2.4471037872544223]",47,0,Return from COBYLA because the trust region radius reaches its lower bound.,1.7038922331540018,1.6785339395471968,1.6785339395471968,0.0207345897639146,0.0207345897639146,1.0,2.65402748978108,0.0078125,0.0078125,1.0,0.0002874173223972,0.000509887933731,0.0142380809411406,0.09734155703336,0.09734155703336,0.0983106428757309,132.4140625,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D1,1103,2.1072099696478683,0.4239054168699399,0.0,1.6785339395471968,288.7078376021178,293.0694641024883,288.7078376021178,0.025358293606805,0,global_fixed,172.0,576.1148505076894,3.349504944812148,penalty_contract_v2_scale_controlled,1.0000000000000002,optimized_seed
pilot-run-f22cd5cc96dbaff30a54,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,2207,Penalty-X,1,6,7,7,1,926.0,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,172.0,172.0,COBYLA,120,"[4.119365739193051, 2.0232897611184613]","[6.194650165336967, 2.617467027587562]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.185630291492463,1.6035682262498991,1.6035682262498991,0.0883392132826028,0.0883392132826028,1.0,11.30741930017317,0.0078125,0.0078125,1.0,0.0002874173223972,0.000509887933731,0.0142380809411406,0.2091322792693972,0.2091322792693972,0.2096356162801385,132.828125,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D1,2207,2.1072099696478683,1.053363496916338,0.0,1.6035682262498991,275.81373491498266,375.9284101367036,275.81373491498266,0.5820620652425637,3,global_fixed,172.0,576.1148505076894,3.349504944812148,penalty_contract_v2_scale_controlled,0.9999999999999994,optimized_seed
pilot-run-b43f38e097e08beaa710,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,3301,Penalty-X,1,6,7,7,1,926.0,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,172.0,172.0,COBYLA,120,"[2.8746040698350956, 1.6147767089481937]","[1.6630030583920272, 2.4471022598120933]",44,0,Return from COBYLA because the trust region radius reaches its lower bound.,2.260089000527504,1.678533938032506,1.678533938032506,0.0207345779749315,0.0207345779749315,1.0,2.654025980791241,0.0078125,0.0078125,1.0,0.0002874173223972,0.000509887933731,0.0142380809411406,0.0745508912950754,0.0745508912950754,0.0750222820788621,132.828125,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D1,3301,2.1072099696478683,0.4239051699447859,0.0,1.678533938032506,288.707837341591,388.7353080907307,288.707837341591,0.5815550624949981,0,global_fixed,172.0,576.1148505076894,3.349504944812148,penalty_contract_v2_scale_controlled,0.9999999999999992,optimized_seed
pilot-run-ef9b25196a6e0feed43a,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,1103,Penalty-X,2,6,7,7,1,926.0,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,172.0,172.0,COBYLA,120,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[1.477800657813748, 4.34993797619227, 2.440640577618369, 0.14039436331164015]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.0373448781393364,1.6117171955819425,1.6117171955819425,0.0309282430236393,0.0309282430236393,1.0,3.958815107025838,0.0078125,0.0078125,1.0,0.0002874173223972,0.000509887933731,0.0142380809411406,0.229210247285664,0.229210247285664,0.2298391964286565,132.85546875,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D1,1103,2.1072099696478683,0.597565218884431,0.0,1.6117171955819425,277.2153576400941,350.42331903996586,277.2153576400941,0.4256276825573939,3,global_fixed,172.0,576.1148505076894,3.349504944812148,penalty_contract_v2_scale_controlled,0.9999999999999998,optimized_seed
pilot-run-ceb7b8b159925446f6c8,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,2207,Penalty-X,2,6,7,7,1,926.0,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,172.0,172.0,COBYLA,120,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[3.879273207878719, 6.298057187376657, 2.550077674081783, -0.3874335713792828]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.295951089456552,1.6710622921516056,1.6710622921516056,0.0735805162119946,0.0735805162119946,1.0,9.418306075135316,0.0078125,0.0078125,1.0,0.0002874173223972,0.000509887933731,0.0142380809411406,0.2427193755283951,0.2427193755283951,0.243336989544332,132.85546875,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D1,2207,2.1072099696478683,0.973972799993131,0.0,1.6710622921516056,287.4227142500762,394.9035873865269,287.4227142500762,0.624888797304946,3,global_fixed,172.0,576.1148505076894,3.349504944812148,penalty_contract_v2_scale_controlled,0.9999999999999996,optimized_seed
pilot-run-899c00c682e2c0f6dca3,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,3301,Penalty-X,2,6,7,7,1,926.0,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,172.0,172.0,COBYLA,120,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[2.7723638353221602, 3.568660695598161, 3.0688492111878953, -0.4992284504091515]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.3843635270681505,1.5859170053675018,1.5859170053675018,0.0955316564577685,0.0955316564577685,1.0,12.228052026594373,0.0078125,0.0078125,1.0,0.0002874173223972,0.000509887933731,0.0142380809411406,0.2360614547505974,0.2360614547505974,0.2366663496941328,132.85546875,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D1,3301,2.1072099696478683,1.087357277847213,0.0,1.5859170053675018,272.77772492321026,410.11052665572186,272.7777249232103,0.7984465217006487,3,global_fixed,172.0,576.1148505076894,3.349504944812148,penalty_contract_v2_scale_controlled,1.0,optimized_seed
pilot-run-3fdcfb93d75b7792d0bf,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,1103,Penalty-X,3,6,7,7,1,926.0,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,172.0,172.0,COBYLA,120,"[1.4361119332668082, 4.6766136583430296, 3.6575967546865438, 0.554097077555417, 2.658092015317178, 1.6434959053105886]","[1.4301522428476536, 5.4665092560399104, 3.5140789898446387, 0.7873635908747999, 3.4359087218109883, 1.6873507252307582]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.4600648665487768,1.6109772782424756,1.6109772782424756,0.0155910675250959,0.0155910675250959,1.0,1.9956566432122784,0.0078125,0.0078125,1.0,0.0002874173223972,0.000509887933731,0.0142380809411406,0.2664619237184524,0.2664619237184524,0.2671938724815845,132.91796875,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D1,1103,2.1072099696478683,0.3000858221289474,0.0,1.6109772782424756,277.08809185770576,423.1311570463896,277.0880918577058,0.8490875883063012,3,global_fixed,172.0,576.1148505076894,3.349504944812148,penalty_contract_v2_scale_controlled,1.0,optimized_seed
pilot-run-c05fb782ab4ba0eb86df,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,2207,Penalty-X,3,6,7,7,1,926.0,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,172.0,172.0,COBYLA,120,"[4.119365739193051, 4.0465795222369225, 3.073929981122659, 0.28561357469155796, 1.0467419303334264, 1.2456798648809793]","[5.069818734753354, 5.2042880037268615, 2.942267069497085, 0.7312740400591933, 0.8686944031520314, 1.3919830340066335]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.25239221228236,1.907990357995459,1.907990357995459,0.0474608763650312,0.0474608763650312,1.0,6.074992174723999,0.0078125,0.0078125,1.0,0.0002874173223972,0.000509887933731,0.0142380809411406,0.2705094842240214,0.2705094842240214,0.271266408264637,132.91796875,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D1,2207,2.1072099696478683,0.7835457228503703,0.0,1.907990357995459,328.1743415752189,387.4114605125658,328.1743415752189,0.3444018542869009,3,global_fixed,172.0,576.1148505076894,3.349504944812148,penalty_contract_v2_scale_controlled,0.9999999999999994,optimized_seed
pilot-run-2c133921093dbcfa11c3,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,3301,Penalty-X,3,6,7,7,1,926.0,3,1,0.3333333333333333,128,1,0.0078125,1,4.0,172.0,172.0,COBYLA,120,"[2.8746040698350956, 3.2295534178963874, 2.6762166453631315, 0.4324890662459698, 2.8286472419409745, 2.8565676468058108]","[1.3548263689342672, 3.6133128942461954, 2.346828868940657, 0.8271851659346426, 3.2594200420267914, 1.9654861064107754]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.2769865868107404,1.5936407386978046,1.5936407386978046,0.0320556620705403,0.0320556620705403,1.0,4.103124745029166,0.0078125,0.0078125,1.0,0.0002874173223972,0.000509887933731,0.0142380809411406,0.2650181520730257,0.2650181520730257,0.2657701624557376,132.91796875,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D1,3301,2.1072099696478683,0.6131147207822333,0.0,1.5936407386978046,274.1062070560224,391.6416929314473,274.1062070560224,0.6833458481129357,3,global_fixed,172.0,576.1148505076894,3.349504944812148,penalty_contract_v2_scale_controlled,0.9999999999999998,optimized_seed
