task_id,base_graph_id,base_instance_id,size_stratum,stress_level,depth,n_edges,feasible_state_fraction,dilution_score,raw_energy_span,normalized_energy_span,hamiltonian_normalization_factor,n_seed_rows,n_finite_objective_seeds,n_successful_seed_rows,seed_statuses,p_feas_median,p_feas_mean,p_feas_min,p_feas_max,p_opt_median,p_opt_mean,p_opt_min,p_opt_max,log_feasibility_gain_median,log_feasibility_gain_mean,log_feasibility_gain_min,log_feasibility_gain_max,objective_final_median,objective_final_mean,objective_final_min,objective_final_max,optimizer_runtime_s_median,optimizer_runtime_s_mean,optimizer_runtime_s_min,optimizer_runtime_s_max,objective_selected_multistart_optimizer_seed,objective_selected_multistart_objective_final,objective_selected_multistart_p_feas,objective_selected_multistart_p_opt,objective_selected_multistart_log_feasibility_gain,objective_selected_multistart_runtime_s,objective_selected_multistart_execution_status,p_opt_given_feasible_median,p_opt_given_feasible_mean,p_opt_given_feasible_min,p_opt_given_feasible_max
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,1,7,0.0078125,2.1072099696478683,576.1148505076894,3.349504944812148,172.0,3,3,3,"{""SUCCESS"": 3}",0.0207345897639146,0.043269460340482964,0.0207345779749315,0.0883392132826028,0.0207345897639146,0.043269460340482964,0.0207345779749315,0.0883392132826028,0.4239054168699399,0.6337246945770212,0.4239051699447859,1.053363496916338,1.678533938032506,1.6535453679432006,1.6035682262498991,1.6785339395471968,0.09734155703336,0.12700824253261087,0.0745508912950754,0.2091322792693972,2207,1.6035682262498991,0.0883392132826028,0.0883392132826028,1.053363496916338,0.2091322792693972,SUCCESS,1.0,1.0,1.0,1.0
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,2,7,0.0078125,2.1072099696478683,576.1148505076894,3.349504944812148,172.0,3,3,3,"{""SUCCESS"": 3}",0.0735805162119946,0.06668013856446747,0.0309282430236393,0.0955316564577685,0.0735805162119946,0.06668013856446747,0.0309282430236393,0.0955316564577685,0.973972799993131,0.8862984322415915,0.597565218884431,1.087357277847213,1.6117171955819425,1.6228988310336832,1.5859170053675018,1.6710622921516056,0.2360614547505974,0.2359970258548855,0.229210247285664,0.2427193755283951,3301,1.5859170053675018,0.0955316564577685,0.0955316564577685,1.087357277847213,0.2360614547505974,SUCCESS,1.0,1.0,1.0,1.0
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,3,7,0.0078125,2.1072099696478683,576.1148505076894,3.349504944812148,172.0,3,3,3,"{""SUCCESS"": 3}",0.0320556620705403,0.031702535320222464,0.0155910675250959,0.0474608763650312,0.0320556620705403,0.031702535320222464,0.0155910675250959,0.0474608763650312,0.6131147207822333,0.5655820885871837,0.3000858221289474,0.7835457228503703,1.6109772782424756,1.7042027916452465,1.5936407386978046,1.907990357995459,0.2664619237184524,0.26732985333849985,0.2650181520730257,0.2705094842240214,3301,1.5936407386978046,0.0320556620705403,0.0320556620705403,0.6131147207822333,0.2650181520730257,SUCCESS,1.0,1.0,1.0,1.0
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,1,7,0.015625,1.806179973983887,572.6097673531438,3.3291265543787425,172.0,3,3,3,"{""SUCCESS"": 3}",0.0614348004771243,0.09146116618676957,0.0614236235409096,0.1515250745422748,0.0258875140999507,0.048095747678995104,0.0258840869742764,0.0925156419627582,0.5945944261302485,0.725258104488347,0.5945154070190264,0.986664480315766,1.6534095699503704,1.6137467403458412,1.534421078345882,1.6534095727412712,0.0752982096746563,0.11781792653103662,0.0702149309217929,0.2079406389966607,2207,1.534421078345882,0.1515250745422748,0.0925156419627582,0.986664480315766,0.2079406389966607,SUCCESS,0.4214028004557079,0.48444932303784,0.4213819186991605,0.6105632499586517
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,2,7,0.015625,1.806179973983887,572.6097673531438,3.3291265543787425,172.0,3,3,3,"{""SUCCESS"": 3}",0.150843954523465,0.13835762953387667,0.099888333195524,0.1643406008826411,0.0935704573434424,0.0795692676359257,0.0449298070060725,0.1002075385582622,0.9847078833261091,0.9374424893710772,0.8056947402409731,1.0219248445461495,1.5136882839514054,1.523660549851745,1.4805575381283131,1.5767358274755168,0.2306149695068597,0.23041104028622303,0.22860614862293,0.2320120027288794,2207,1.4805575381283131,0.150843954523465,0.0935704573434424,0.9847078833261091,0.22860614862293,SUCCESS,0.6097552158143952,0.559956168804097,0.4498003477355632,0.6203129428623327
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,3,7,0.015625,1.806179973983887,572.6097673531438,3.3291265543787425,172.0,3,3,3,"{""SUCCESS"": 3}",0.111912938734673,0.11221165795159622,0.0421490590487546,0.1825729760713611,0.0823014552601957,0.06923834563245566,0.0168402995746246,0.1085732820625467,0.8550602740620825,0.7845482002261329,0.4309678577015876,1.0676164689147287,1.6156165692792386,1.6337552245539462,1.481547803454795,1.8041013009278049,0.27041179779917,0.2739721108227968,0.2654471416026354,0.286057393066585,3301,1.481547803454795,0.1825729760713611,0.1085732820625467,1.0676164689147287,0.27041179779917,SUCCESS,0.5946842977468328,0.5765439685785503,0.3995415308119975,0.7354060771768205
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,1,7,0.0234375,1.630088714928206,560.9120383941536,3.2611165022915904,172.0,3,3,3,"{""SUCCESS"": 3}",0.1016414827980833,0.14761780638994718,0.1016336603990423,0.2395782759727159,0.0392331103612162,0.058770145812441256,0.0392330352065311,0.0978442918695765,0.6371597070634054,0.7612740465101226,0.6371262821725215,1.009536150294441,1.498719680667378,1.4429533978934403,1.3314207906026403,1.498719722410303,0.117526046000421,0.14451003943880394,0.1027204673737287,0.2132836049422621,2207,1.3314207906026403,0.2395782759727159,0.0978442918695765,1.009536150294441,0.2132836049422621,SUCCESS,0.3860247698171649,0.3934737595033175,0.3859943216734628,0.4084021870193246
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,2,7,0.0234375,1.630088714928206,560.9120383941536,3.2611165022915904,172.0,3,3,3,"{""SUCCESS"": 3}",0.1354543708242046,0.17939267961222305,0.1053807211098925,0.297342946902572,0.0506567742558499,0.06904346381789861,0.0411706656423204,0.1153029515555255,0.7618817382819428,0.8393593251775849,0.6528498810094969,1.1033463562413153,1.4606063228435135,1.4324435222414722,1.261482475324296,1.5752417685566071,0.2396873524412512,0.2401321828365325,0.2386181438341736,0.2420910522341728,2207,1.261482475324296,0.297342946902572,0.1153029515555255,1.1033463562413153,0.2396873524412512,SUCCESS,0.3877776579422477,0.3841464375742718,0.3739766679186252,0.3906849868619425
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,3,7,0.0234375,1.630088714928206,560.9120383941536,3.2611165022915904,172.0,3,3,3,"{""SUCCESS"": 3}",0.1269645324561242,0.17895409257029082,0.1164617461164536,0.2934359991382947,0.0438775516157423,0.06596533918999299,0.0341752428959285,0.1198432230583082,0.7337711326569516,0.842548417453776,0.696272012146681,1.0976021075576956,1.4671321646577955,1.4261323129583534,1.2835095463474888,1.5277552278697757,0.2683910587802529,0.26555062116434175,0.2570557165890932,0.2712050881236791,2207,1.2835095463474888,0.2934359991382947,0.1198432230583082,1.0976021075576956,0.2683910587802529,SUCCESS,0.345589045751067,0.34914954157059896,0.2934460802412807,0.4084134987194491
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,1,7,0.0078125,2.1072099696478683,567.4832037301957,3.299320951919742,172.0,3,3,3,"{""SUCCESS"": 3}",0.0195885744024459,0.03904854768315507,0.0195849820880522,0.0779720865589671,0.0195885744024459,0.03904854768315507,0.0195849820880522,0.0779720865589671,0.3992128001459337,0.5991650247905086,0.3991331483367764,0.9991491258888155,1.8105297867632328,1.7622722123126369,1.6657570617638051,1.8105297884108724,0.0749414935708046,0.12098709680140013,0.0743466727435588,0.213673124089837,2207,1.6657570617638051,0.0779720865589671,0.0779720865589671,0.9991491258888155,0.213673124089837,SUCCESS,1.0,1.0,1.0,1.0
