run_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,p_feas,p_opt,p_opt_given_feasible,Delta_CVAR_MEAN,cvar_alpha,cvar_value,cvar_cutoff_energy,cvar_tail_feasible_mass,cvar_tail_fully_feasible,p_feas_at_least_alpha,cvar_tail_condition_pass
phase2-p3-273f7fe69aaf0923b97b,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,2.1072099696478683,0.1053821309455321,0.1053821309455321,1.0,0.05650523002809438,0.1,0.0523255813953488,0.0523255813953488,0.1,True,True,True
phase2-p3-4ae00a9124fbfaa5b476,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,1.806179973983887,0.1741986138807083,0.142461176844699,0.8178089002605774,-0.04403748878841274,0.1,0.0523255813953488,0.0523255813953488,0.1,True,True,True
phase2-p3-6f22e12b8980a4c400ed,task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,1.630088714928206,0.2530761538121439,0.1024087301309312,0.4046557867595393,-0.05400592453311681,0.1,0.0523255813953488,0.0523255813953488,0.1,True,True,True
phase2-p3-e2ed1924e36f4b4da3e1,task-v2-6dd269836f23,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D1,2.1072099696478683,0.1010483540964656,0.1010483540964656,1.0,0.11553439776768193,0.1,0.1046511627906976,0.1046511627906976,0.1,True,True,True
phase2-p3-43a18b671103a57bcf9f,task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,1.806179973983887,0.1266248365529619,0.0612576175762859,0.4837725302860657,0.08413046488267673,0.1,0.0939666946087873,0.1046511627906976,0.1,True,True,True
phase2-p3-c31331b9ca8d2f87b22d,task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,1.630088714928206,0.2833975394058762,0.1028343749889047,0.3628626247231719,-0.019955859559033007,0.1,0.0872093023255813,0.0872093023255814,0.1,True,True,True
phase2-p3-a175d637d6bcf82e44df,task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,2.1072099696478683,0.092032687903113,0.092032687903113,1.0,-0.04914433749468183,0.1,0.1771831939938552,1.082179944453148,0.0920326879031131,False,False,True
phase2-p3-d32010bc44ee1f1ebcb9,task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,1.806179973983887,0.115326807875375,0.0561138367958477,0.4865636865323259,0.012568128058083494,0.1,0.0825250474430675,0.0988372093023255,0.1,True,True,True
phase2-p3-508a8e49e584b2f99349,task-v2-a4fc95665697,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D3,1.630088714928206,0.262429174684395,0.1011885757880961,0.3855843235028592,-0.06546098229673802,0.1,0.0581395348837209,0.0581395348837209,0.1,True,True,True
phase2-p3-b9ca921f4edcc2a6872c,task-v2-ff6e67bbbcba,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D1,3.010299956639812,0.0358974939462173,0.0358974939462173,1.0,0.9452826889833053,0.1,0.7323567968689937,1.1361440676585777,0.0358974939462174,False,False,True
phase2-p3-44adaf4a7b725d411cab,task-v2-a9de39f81405,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D2,2.709269960975831,0.0817442406852282,0.042968269101207,0.5256427699495623,0.11311379526566068,0.1,0.2618425950655997,1.0972038583136827,0.0817442406852282,False,False,True
phase2-p3-311e9efe2a4e1490ea9c,task-v2-b0f919379fb8,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D3,2.533178701920149,0.0808557670592756,0.028143719710661,0.3480731274248971,0.7563707834803937,0.1,0.2753544964807643,1.125,0.0808557670592756,False,False,True
phase2-p3-4f6f93f3d0f6e7881297,task-v2-d80673ba7cf0,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D4,2.4082399653118496,0.1389907488969593,0.0485814216983192,0.3495298937797291,0.028554557738856845,0.1,0.0757463463141489,0.0813953488372093,0.1,True,True,True
phase2-p3-9959237141636c608109,task-v2-30409dd5a775,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D1,3.010299956639812,0.056667201908723,0.056667201908723,1.0,0.9914321263251906,0.1,0.5591948078446515,1.125,0.0566672019087229,False,False,True
phase2-p3-37f09a7d360a032e9544,task-v2-eed472030dc4,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D2,2.709269960975831,0.1062959440923043,0.0547466018363161,0.5150394241644419,0.20811837179077375,0.1,0.1039705916353424,0.1453488372093023,0.1,True,True,True
phase2-p3-07f38e488b8b821ef195,task-v2-4507b50770a7,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D3,2.533178701920149,0.1107091557024963,0.0365573811733263,0.3302110014420609,0.10558782013844792,0.1,0.1170865039030305,0.1453488372093023,0.1,True,True,True
phase2-p3-61f018283818bbc645df,task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D4,2.4082399653118496,0.1509394202303467,0.0530322723740314,0.3513480593280372,0.03252269891428461,0.1,0.0952019382783828,0.1395348837209302,0.1,True,True,True
phase2-p3-1d6155f4b5e52ed7c1af,task-v2-de1e481a2b9a,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D1,3.010299956639812,0.0523599828263589,0.0523599828263589,1.0,0.7236367758395499,0.1,0.6027368455386689,1.1666666666666667,0.0523599828263589,False,False,True
phase2-p3-eade9d6dcb96408979cb,task-v2-df25fe0d6e36,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D2,2.709269960975831,0.1181354190506084,0.0659052949742457,0.557879216105479,0.34905937713876023,0.1,0.1148280090280986,0.1569767441860465,0.1,True,True,True
phase2-p3-d934be8fa67dc28fc135,task-v2-0da346e5ae20,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D3,2.533178701920149,0.1271896592304888,0.0522411804138629,0.4107344946902734,0.1087167434029701,0.1,0.1110301742259417,0.1569767441860465,0.1,True,True,True
phase2-p3-ab177d5838bd3879129c,task-v2-693f08fcb4be,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D4,2.4082399653118496,0.1648926423838169,0.0458311644047467,0.2779454785985331,0.01520890655968854,0.1,0.1008850158900496,0.1220930232558139,0.1,True,True,True
