task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,max_feasible_energy,min_infeasible_energy,energy_class_gap,strict_energy_class_separation
task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,2.1072099696478683,0.05232558139534884,1.1626155770555264,1.1102899956601775,True
task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,1.806179973983887,0.10465116279069768,1.1309628890551904,1.0263117262644927,True
task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,1.630088714928206,0.10465116279069768,1.2,1.0953488372093023,True
task-v2-6dd269836f23,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D1,2.1072099696478683,0.10465116279069768,1.0979047512261586,0.993253588435461,True
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,1.806179973983887,0.10465116279069768,1.1882865172303985,1.0836353544397008,True
task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,1.630088714928206,0.13953488372093023,1.2,1.0604651162790697,True
task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,2.1072099696478683,0.09883720930232558,1.082179944453148,0.9833427351508224,True
task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,1.806179973983887,0.09883720930232558,1.0938185472294,0.9949813379270744,True
task-v2-a4fc95665697,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D3,1.630088714928206,0.09883720930232558,1.1666666666666667,1.0678294573643412,True
task-v2-ff6e67bbbcba,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D1,3.010299956639812,0.06976744186046512,1.0815253580252218,1.0117579161647567,True
task-v2-a9de39f81405,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D2,2.709269960975831,0.08139534883720931,1.0972038583136827,1.0158085094764735,True
task-v2-b0f919379fb8,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D3,2.533178701920149,0.08139534883720931,1.110999303045008,1.0296039542077988,True
task-v2-d80673ba7cf0,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D4,2.4082399653118496,0.11046511627906977,1.125,1.0145348837209303,True
task-v2-30409dd5a775,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D1,3.010299956639812,0.14534883720930233,1.086630902492436,0.9412820652831337,True
task-v2-eed472030dc4,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D2,2.709269960975831,0.14534883720930233,1.125,0.9796511627906976,True
task-v2-4507b50770a7,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D3,2.533178701920149,0.14534883720930233,1.1241309647857625,0.9787821275764601,True
task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D4,2.4082399653118496,0.14534883720930233,1.125,0.9796511627906976,True
task-v2-de1e481a2b9a,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D1,3.010299956639812,0.09302325581395349,1.160512341381761,1.0674890855678076,True
task-v2-df25fe0d6e36,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D2,2.709269960975831,0.1569767441860465,1.1435176597580108,0.9865409155719642,True
task-v2-0da346e5ae20,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D3,2.533178701920149,0.1569767441860465,1.1052551999293787,0.9482784557433321,True
task-v2-693f08fcb4be,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D4,2.4082399653118496,0.1569767441860465,1.1666666666666667,1.0096899224806202,True
task-v2-eb747215294a,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D1,3.9133899436317554,0.11046511627906977,1.0625,0.9520348837209303,True
task-v2-607a9c50d675,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D2,3.612359947967774,0.11046511627906977,1.0625,0.9520348837209303,True
task-v2-cfa564be8207,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D3,3.436268688912093,0.11046511627906977,1.0625,0.9520348837209303,True
task-v2-5da0eece9ed4,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D4,3.311329952303793,0.11046511627906977,1.0625,0.9520348837209303,True
task-v2-cd3aef86a98f,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D5,3.2144199392957367,0.11046511627906977,1.0625,0.9520348837209303,True
task-v2-8029d558b1a1,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D6,3.135238693248112,0.11046511627906977,1.0625,0.9520348837209303,True
task-v2-147f90045792,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D7,3.0682919036174985,0.13953488372093023,1.0625,0.9229651162790697,True
task-v2-8b88de51ba21,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D1,3.9133899436317554,0.040697674418604654,1.0588235294117647,1.01812585499316,True
task-v2-df7a823d7a2b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D2,3.612359947967774,0.11046511627906977,1.0588235294117647,0.948358413132695,True
task-v2-0ae6410749b4,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D3,3.436268688912093,0.11046511627906977,1.0588235294117647,0.948358413132695,True
task-v2-f12c027474e2,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D4,3.311329952303793,0.11046511627906977,1.0523329532781327,0.941867836999063,True
task-v2-356d367a6a2c,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D5,3.2144199392957367,0.11046511627906977,1.0588235294117647,0.948358413132695,True
task-v2-747868754e4a,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D6,3.135238693248112,0.11046511627906977,1.0588235294117647,0.948358413132695,True
task-v2-ba2b70f61e3b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D7,3.0682919036174985,0.11046511627906977,1.0588235294117647,0.948358413132695,True
task-v2-59fd840ba77c,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D1,3.9133899436317554,0.0872093023255814,1.0625,0.9752906976744186,True
task-v2-87f0030ee4db,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D2,3.612359947967774,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-835da0eb601e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D3,3.436268688912093,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-404bfd76cc2e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D4,3.311329952303793,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-e1d0a1367c62,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D5,3.2144199392957367,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-7eefc621bd20,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D6,3.135238693248112,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-8d35df6592f7,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D7,3.0682919036174985,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-00b7b12999ba,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D1,4.816479930623699,0.13372093023255813,1.0526315789473684,0.9189106487148102,True
task-v2-26d674ac9727,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D2,4.515449934959718,0.16279069767441862,1.0526315789473684,0.8898408812729497,True
task-v2-d4d85eef1fda,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D3,4.339358675904037,0.16279069767441862,1.0526315789473684,0.8898408812729497,True
task-v2-45bf90adfb6d,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D4,4.214419939295737,0.16279069767441862,1.0526315789473684,0.8898408812729497,True
task-v2-980575647e27,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D5,4.11750992628768,0.16279069767441862,1.0526315789473684,0.8898408812729497,True
task-v2-36c69f7819b3,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D6,4.038328680240055,0.16279069767441862,1.0526315789473684,0.8898408812729497,True
task-v2-05a98ad7eaff,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D7,3.9133899436317554,0.1686046511627907,1.0526315789473684,0.8840269277845777,True
task-v2-9e1a55247e55,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D1,4.816479930623699,0.046511627906976744,1.0555555555555556,1.0090439276485788,True
task-v2-eb5609efbad0,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D2,4.515449934959718,0.09883720930232558,1.0555555555555556,0.95671834625323,True
task-v2-41fa72c23442,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D3,4.339358675904037,0.09883720930232558,1.0555555555555556,0.95671834625323,True
task-v2-e6a20043db41,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D4,4.214419939295737,0.11046511627906977,1.0555555555555556,0.9450904392764858,True
task-v2-db534d0b262a,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D5,4.038328680240055,0.14534883720930233,1.0555555555555556,0.9102067183462532,True
task-v2-6372d6a2314d,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D6,3.9133899436317554,0.14534883720930233,1.0555555555555556,0.9102067183462532,True
task-v2-cb6317a18cf3,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D7,3.816479930623699,0.14534883720930233,1.0555555555555556,0.9102067183462532,True
task-v2-9bb6197d70f9,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D1,4.816479930623699,0.13953488372093023,1.0526315789473684,0.9130966952264381,True
task-v2-d50991f4f8ba,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D2,4.515449934959718,0.13953488372093023,1.0524097011539548,0.9128748174330246,True
task-v2-51e0b98b7ef5,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D3,4.339358675904037,0.13953488372093023,1.0526315789473684,0.9130966952264381,True
task-v2-41f38ee1e3c2,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D4,4.214419939295737,0.13953488372093023,1.0526315789473684,0.9130966952264381,True
task-v2-7a2c20a84cd2,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D5,4.11750992628768,0.13953488372093023,1.0526315789473684,0.9130966952264381,True
task-v2-c4754bf838d1,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D6,4.038328680240055,0.1511627906976744,1.0526315789473684,0.9014687882496939,True
task-v2-aefa943bb0f9,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D7,3.9133899436317554,0.1511627906976744,1.0526315789473684,0.9014687882496939,True
task-v2-5ae92cb9d249,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D1,5.719569917615643,0.05813953488372093,1.0313656787223382,0.9732261438386173,True
task-v2-dcffea5b9a3e,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D2,5.418539921951662,0.11627906976744186,1.029969479970809,0.9136904102033672,True
task-v2-004cf44adcd0,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D3,5.24244866289598,0.13372093023255813,1.0291616038930795,0.8954406736605214,True
task-v2-676c7042f456,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D4,5.11750992628768,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-d5cf4ef0cd21,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D5,4.941418667231999,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-6bb369c86974,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D6,4.816479930623699,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-8ea177161d6a,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D7,4.640388671568018,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D1,5.719569917615643,0.06976744186046512,1.0333333333333334,0.9635658914728683,True
task-v2-8ac52cd83f67,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D2,5.418539921951662,0.1569767441860465,1.0333333333333334,0.8763565891472869,True
task-v2-e0ae4ea7992e,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D3,5.24244866289598,0.1569767441860465,1.0333333333333334,0.8763565891472869,True
task-v2-f09582cc278a,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D4,5.11750992628768,0.1569767441860465,1.0333333333333334,0.8763565891472869,True
task-v2-d6122c14c280,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D5,4.941418667231999,0.1569767441860465,1.0333333333333334,0.8763565891472869,True
task-v2-0ec069828687,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D6,4.816479930623699,0.1569767441860465,1.0333333333333334,0.8763565891472869,True
task-v2-66ecfca58e61,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D7,4.719569917615643,0.1569767441860465,1.0333333333333334,0.8763565891472869,True
task-v2-0b36d078e255,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D1,5.719569917615643,0.09302325581395349,1.0434782608695652,0.9504550050556118,True
task-v2-f27d61c02d71,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D2,5.418539921951662,0.09302325581395349,1.0434782608695652,0.9504550050556118,True
task-v2-6ee4e9bb2f23,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D3,5.24244866289598,0.09302325581395349,1.0434782608695652,0.9504550050556118,True
task-v2-a11d89c8c060,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D4,5.11750992628768,0.09302325581395349,1.0434782608695652,0.9504550050556118,True
task-v2-01f33dead804,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D5,4.941418667231999,0.11627906976744186,1.0434782608695652,0.9271991911021233,True
task-v2-2bbd08239dbd,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D6,4.816479930623699,0.11627906976744186,1.0434782608695652,0.9271991911021233,True
task-v2-110f51ef504a,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D7,4.640388671568018,0.12790697674418605,1.0434782608695652,0.9155712841253791,True
