run_id,phase,evidence_identity,matrix_role,split,task_id,base_graph_id,base_instance_id,size_m,n_nodes,n_edges,state_space_size,n_candidate_routes,n_feasible_routes,n_feasible_states,route_feasible_fraction,feasible_state_fraction,dilution_score,objective_id,objective_name,objective_role,depth,p2_initialization_seed_set,optimizer_seed,selected_p2_seed,selected_p2_run_id,p3_initial_parameters,initial_parameters,terminal_parameters,best_evaluated_parameters,optimizer,eval_budget,nfev,tracked_optimizer_evaluations,total_objective_evaluations,optimizer_status,optimizer_message,objective_start,objective_final,objective_improvement,expected_mean_energy,expected_routing_component,expected_flow_penalty,expected_resource_penalty,expected_total_penalty,p_feas,p_opt,p_opt_given_feasible,feasibility_amplification,log_feasibility_gain,cvar_alpha,cvar_value,cvar_cutoff_energy,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_fractional_cutoff_mass,strict_energy_class_separation,penalty_bound_pass,state_norm,runtime_s,peak_memory_mb,execution_status,failure_reason,resource_censored,config_sha256,manifest_sha256,raw_statevector_persisted,failure_lineage
phase3-4f4fbc5192d54c88257d3ec1,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,5,5,0.8333333333333334,0.001220703125,2.9133899436317554,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",1103.0,2207.0,phase3-4af4112a590dbdb6cd56833a,,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[2.315187906851828, 4.333899099098093, 2.3075246179836992, 0.11402425894468904]","[2.315187906851828, 4.333899099098093, 2.3075246179836992, 0.11402425894468904]",COBYLA,120,120,120,121,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.4687803497345984,1.7545704191285785,0.7142099306060201,1.7545704191285785,0.0916186391550544,1.2600363917923452,0.4029153881811781,1.6629517799735232,0.0234331904774223,0.0018061461319817,0.077076407231956,19.196469639104368,1.283221366347722,0.1,0.8610387258303883,1.1285594639865997,False,0.0234331904774223,0.0037708884054624,True,True,0.9999999999999992,0.409592630341649,127.33984375,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-4af4112a590dbdb6cd56833a,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,5,5,0.8333333333333334,0.001220703125,2.9133899436317554,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",2207.0,2207.0,phase3-4af4112a590dbdb6cd56833a,,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[5.4461367754194105, 4.137314860210014, 2.512553869923639, 0.137065205191352]","[5.4461367754194105, 4.137314860210014, 2.512553869923639, 0.137065205191352]",COBYLA,120,120,120,121,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.541593457744026,1.405632494815385,1.135960962928641,1.405632494815385,0.0715887867574536,1.0826359878635452,0.2514077201943867,1.3340437080579317,0.0754986622743021,0.011606047377965,0.1537252055645425,61.84850413510835,1.7913292002670924,0.1,0.3055949546151447,1.098408710217755,False,0.0754986622743023,0.0035738276430811,True,True,0.9999999999999984,0.4034021319821477,127.484375,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-916428f7e29ed39565085d9b,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,5,5,0.8333333333333334,0.001220703125,2.9133899436317554,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",3301.0,2207.0,phase3-4af4112a590dbdb6cd56833a,,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[2.3928771549726697, 3.9186218573158182, 2.315691974515589, 0.11399145666891572]","[2.3928771549726697, 3.9186218573158182, 2.315691974515589, 0.11399145666891572]",COBYLA,120,120,120,121,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.7309869294324947,1.762240664439629,0.9687462649928658,1.762240664439629,0.0907917729993447,1.2564875820351855,0.4149613094050982,1.671448891440284,0.021918641690753,0.0011675186706593,0.0532660137946373,17.955751273064916,1.2542035808305527,0.1,0.8751951494237731,1.1285594639865997,False,0.021918641690753,0.0020573019058268,True,True,0.9999999999999992,0.4057754278182983,127.59375,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-eb8047350968acadd27e77b7,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,5,5,0.8333333333333334,0.001220703125,2.9133899436317554,O0,MEAN_ENERGY,STANDARD_BASELINE,3,"[1103, 2207, 3301]",,2207.0,phase3-4af4112a590dbdb6cd56833a,"[5.4461367754194105, 4.137314860210014, 0.0, 2.512553869923639, 0.137065205191352, 0.0]","[5.4461367754194105, 4.137314860210014, 0.0, 2.512553869923639, 0.137065205191352, 0.0]","[6.556268215665754, 4.592698475031078, 0.23730286944078305, 2.5101404233372686, 0.3174224119513921, -0.19516903050952086]","[6.556268215665754, 4.592698475031078, 0.23730286944078305, 2.5101404233372686, 0.3174224119513921, -0.19516903050952086]",COBYLA,240,240,240,241,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.405632494815385,1.1996583058972632,0.2059741889181221,1.1996583058972632,0.0589871096973759,0.9978212989861932,0.1428498972136937,1.1406711961998872,0.1266399693425777,0.0191064765430977,0.1508724034148511,103.74346288543968,2.015960740350625,0.1,0.0463103820320551,0.0804020100502512,True,0.1,0.0008771488204618,True,True,0.9999999999999976,1.0365098677575588,128.3671875,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-98aa4911c512171b5d43b1d0,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,5,5,0.8333333333333334,0.001220703125,2.9133899436317554,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,STATEVECTOR_MECHANISTIC_CAPACITY_CONTROL,3,"[1103, 2207, 3301]",,2207.0,phase3-4af4112a590dbdb6cd56833a,"[5.4461367754194105, 4.137314860210014, 0.0, 2.512553869923639, 0.137065205191352, 0.0]","[5.4461367754194105, 4.137314860210014, 0.0, 2.512553869923639, 0.137065205191352, 0.0]","[6.558100520103714, 4.602885743317672, -0.3572895156241497, 2.573560533114928, 0.10833188744119607, 0.08580784402579227]","[6.558100520103714, 4.602885743317672, -0.3572895156241497, 2.573560533114928, 0.10833188744119607, 0.08580784402579227]",COBYLA,240,240,240,241,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.924501337725698,0.8627764273684851,0.0617249103572127,1.3055023454253325,0.0699800318212716,0.99784609843975,0.2376762151643107,1.2355223136040605,0.1372235726315148,0.0248594864192565,0.1811604664018732,112.41355069973696,2.050818665676184,0.1,0.0428482024129748,0.0753768844221105,True,0.1,0.0146283144081019,True,True,0.9999999999999988,1.017087882384658,128.390625,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-69cb1eb95840dcc526138bba,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,5,5,0.8333333333333334,0.001220703125,2.9133899436317554,O3,CVAR_ENERGY,TAIL_FOCUSED_ROUTING_OBJECTIVE,3,"[1103, 2207, 3301]",,2207.0,phase3-4af4112a590dbdb6cd56833a,"[5.4461367754194105, 4.137314860210014, 0.0, 2.512553869923639, 0.137065205191352, 0.0]","[5.4461367754194105, 4.137314860210014, 0.0, 2.512553869923639, 0.137065205191352, 0.0]","[6.48879986401073, 4.800768984742128, 0.3090542334085521, 2.575391889736778, 0.27896792453596186, -0.12711280446345485]","[6.48879986401073, 4.800768984742128, 0.3090542334085521, 2.575391889736778, 0.27896792453596186, -0.12711280446345485]",COBYLA,240,240,240,241,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.3055949546151447,0.0420067836143625,0.2635881710007822,1.2575272697978126,0.067123641720869,0.990353434924244,0.2000501931526992,1.190403628076943,0.1374856995987859,0.0255859285231471,0.1860988349902032,112.62828511132544,2.051647471555723,0.1,0.0420067836143625,0.0753768844221105,True,0.1,0.0124438358531584,True,True,1.0000000000000002,1.057375442236662,128.390625,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-b65b1da197ab003e94c1c4e7,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,1,1,0.1666666666666666,0.000244140625,3.612359947967774,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",1103.0,1103.0,phase3-b65b1da197ab003e94c1c4e7,,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[2.855300918594794, 4.67335830831147, 3.787718308811903, -1.064089540930359]","[2.855300918594794, 4.67335830831147, 3.787718308811903, -1.064089540930359]",COBYLA,120,120,120,121,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,3.10996326527996,1.4106578895336557,1.6993053757463037,1.4106578895336557,0.0255277983454804,1.1147240011369175,0.2704060900512586,1.3851300911881748,0.0016991677701134,0.0016991677701134,1.0,6.95979118638463,0.8425962097310626,0.1,1.0657728608297652,1.0833333333333333,False,0.0016991677701134,0.0960502326538477,True,True,1.000000000000001,0.4242779053747654,128.03125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-3cd0a857d37686ee09f50e16,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,1,1,0.1666666666666666,0.000244140625,3.612359947967774,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",2207.0,1103.0,phase3-b65b1da197ab003e94c1c4e7,,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[5.12433258982033, 4.096739261021275, 2.3888272091103384, 0.16334995275824682]","[5.12433258982033, 4.096739261021275, 2.3888272091103384, 0.16334995275824682]",COBYLA,120,120,120,121,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.855583323237921,1.6290919942766422,1.226491328961279,1.6290919942766422,0.0548482222942029,1.0736985403427433,0.5005452316396959,1.5742437719824394,0.0174800922065723,0.0174800922065723,1.0,71.59845767812044,1.854903667152884,0.1,0.8948673817445059,1.0833333333333333,False,0.0174800922065723,0.0262672526503512,True,True,0.9999999999999992,0.407411859370768,128.21484375,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-4696c848f4fd5fa09d3b01f9,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,1,1,0.1666666666666666,0.000244140625,3.612359947967774,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",3301.0,1103.0,phase3-b65b1da197ab003e94c1c4e7,,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[4.667584443646077, 3.796433604588867, 2.386319787131551, 0.14671554735992262]","[4.667584443646077, 3.796433604588867, 2.386319787131551, 0.14671554735992262]",COBYLA,120,120,120,121,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,3.0740511887191597,1.7170612805480086,1.3569899081711507,1.7170612805480086,0.0580680284937941,1.1010222655902535,0.5579709864639598,1.658993252054214,0.0092584214693472,0.0092584214693472,1.0,37.92249433844644,1.5788968951690987,0.1,0.9793493142732044,1.0833333333333333,False,0.0092584214693472,0.0425354644808111,True,True,0.9999999999999992,0.4114343896508217,128.25390625,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-3306393c5d225c25a8acf161,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,1,1,0.1666666666666666,0.000244140625,3.612359947967774,O0,MEAN_ENERGY,STANDARD_BASELINE,3,"[1103, 2207, 3301]",,1103.0,phase3-b65b1da197ab003e94c1c4e7,"[2.855300918594794, 4.67335830831147, 0.0, 3.787718308811903, -1.064089540930359, 0.0]","[2.855300918594794, 4.67335830831147, 0.0, 3.787718308811903, -1.064089540930359, 0.0]","[3.5377653192307204, 5.374709207680374, 0.6329811298599635, 3.963472862973305, -0.9387757698545421, -0.19215752007194944]","[3.5377653192307204, 5.374709207680374, 0.6329811298599635, 3.963472862973305, -0.9387757698545421, -0.19215752007194944]",COBYLA,240,240,240,241,3.0,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.4106578895336557,1.2288602412802407,0.1817976482534149,1.2288602412802407,0.0195200674763006,1.0938438036608542,0.1154963701430861,1.209340173803939,0.0015544190558251,0.0015544190558251,1.0,6.36690045265967,0.8039280596646008,0.1,1.0665271089639936,1.0833333333333333,False,0.0015544190558251,0.0945844350309767,True,True,1.0000000000000009,1.0447801845148206,128.2578125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
