size_m,base_index,attempt,attempt_seed,layer_widths,n_candidate_routes,n_distinct_thresholds,rejection_reason,qaoa_outcome_used
12,1,0,1454452859,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,1,1,682899931,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,1,2,3291039013,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,1,3,2397742191,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,0,3945026635,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,1,2357012477,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,2,2306945328,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,3,2241167449,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,4,1517165038,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,5,33288138,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,6,2354792069,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,7,505024014,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,8,2603040650,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,9,2513274327,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,10,2902154964,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,11,2150023621,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,12,2037310724,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,13,4027942119,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
12,4,14,1077893755,"[1, 2, 3, 2, 1]",5,5,FEWER_THAN_SIX_CANDIDATE_ROUTES;FEWER_THAN_SIX_DISTINCT_THRESHOLDS,False
