task_id,base_graph_id,split,size_m,dilution_score,p_feas,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_cutoff_energy
task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,development,12,2.9133899436317554,0.1374856995987859,True,0.1,0.0753768844221105
task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,development,12,3.612359947967774,0.0412226214014024,False,0.0412226214014023,1.082860991474203
task-p3-56c6c348117967f4,g-4baa18b9cb3958b8,development,12,3.010299956639812,0.1399192767245548,True,0.1,0.0753768844221105
task-p3-6d8c1ca8f1cd0b67,g-4baa18b9cb3958b8,development,12,3.311329952303793,0.0195461095040841,False,0.0195461095040842,1.0833333333333333
task-p3-6e4d1f9f9dd178d7,g-4baa18b9cb3958b8,development,12,2.8342086975841307,0.1456392710485638,True,0.1,0.0753768844221105
task-p3-71a0a608986a513a,g-4baa18b9cb3958b8,development,12,3.135238693248112,0.0375948379199445,False,0.0375948379199446,1.0833333333333333
task-p3-1d61a986ecef93ed,g-275f626d73d8e8bd,development,12,2.8342086975841307,0.0739381588087424,False,0.0739381588087423,1.1714126186487996
task-p3-27a1403f5392965d,g-275f626d73d8e8bd,development,12,3.010299956639812,0.0759502822065635,False,0.0759502822065634,1.1261864879955332
task-p3-a07c8b42ba6b3903,g-275f626d73d8e8bd,development,12,3.612359947967774,0.0262743293485715,False,0.0262743293485715,1.1312116136236738
task-p3-dd568553252d555a,g-275f626d73d8e8bd,development,12,2.9133899436317554,0.053932492830745,False,0.053932492830745,1.1714126186487996
task-p3-e8f743802f42a17f,g-275f626d73d8e8bd,development,12,3.135238693248112,0.0780224859013711,False,0.078022485901371,1.1111111111111112
task-p3-f7556266a069262a,g-275f626d73d8e8bd,development,12,3.311329952303793,0.0511912258614203,False,0.0511912258614203,1.1111111111111112
task-p3-17005ec889ac3a32,g-63a93cc8703f978f,development,12,2.8342086975841307,0.1356392711520708,True,0.1,0.0753768844221105
task-p3-6cba0807b5144d71,g-63a93cc8703f978f,development,12,3.010299956639812,0.1015500077593246,True,0.1,0.0854271356783919
task-p3-a4c941937da21328,g-63a93cc8703f978f,development,12,3.612359947967774,0.0399411454248824,False,0.0399411454248824,1.1150753768844222
task-p3-b14747e889207fd9,g-63a93cc8703f978f,development,12,3.311329952303793,0.0528290505764267,False,0.0528290505764268,1.1099312532362045
task-p3-b8e2da35bf423a1f,g-63a93cc8703f978f,development,12,3.135238693248112,0.0725268228094686,False,0.0725268228094685,1.1096412140776415
task-p3-bd261ddf18c10d04,g-63a93cc8703f978f,development,12,2.9133899436317554,0.1001147412558194,True,0.1,0.1055276381909547
task-p3-681084199b215be0,g-2fd196f1ec0acd82,development,12,3.135238693248112,0.1218650125061172,True,0.1,0.0351758793969849
task-p3-6afe15da00e4b23d,g-2fd196f1ec0acd82,development,12,3.010299956639812,0.1270600909955513,True,0.1,0.1055276381909547
task-p3-a1690ae1e63fd0cb,g-2fd196f1ec0acd82,development,12,2.9133899436317554,0.119361722936984,True,0.1,0.0351758793969849
task-p3-a16b2f751ccd76a6,g-2fd196f1ec0acd82,development,12,3.311329952303793,0.0924950117030282,False,0.0924950117030282,1.0769230769230769
task-p3-c81637288d27101d,g-2fd196f1ec0acd82,development,12,2.8342086975841307,0.1318269500658932,True,0.1,0.0854271356783919
task-p3-f49c3edc31c95c96,g-2fd196f1ec0acd82,development,12,3.612359947967774,0.0413435660280961,False,0.0413435660280961,1.0769230769230769
task-p3-07cdd1a1f394c642,g-3cf4bd3967c31b19,development,14,3.737298684576074,0.0899238165326478,False,0.0899238165326478,1.0626818302036498
task-p3-367975b35905d665,g-3cf4bd3967c31b19,development,14,3.515449934959718,0.0844733546888355,False,0.0844733546888354,1.0526315789473684
task-p3-3bf9aa998655c1d6,g-3cf4bd3967c31b19,development,14,3.311329952303793,0.1283076459370463,True,0.1,0.0804020100502512
task-p3-a5998f4aed640473,g-3cf4bd3967c31b19,development,14,3.612359947967774,0.0763027659880793,False,0.0763027659880793,1.0526315789473684
task-p3-aa18c0fe25b7a1f8,g-3cf4bd3967c31b19,development,14,4.214419939295737,0.0279917267908573,False,0.0279917267908574,1.0526315789473684
task-p3-ee4fc5c5e918e391,g-3cf4bd3967c31b19,development,14,3.9133899436317554,0.1038455165048377,True,0.1,0.0804020100502512
task-p3-2aa335d81a6c5b2a,g-8e75832e853cc6ea,development,14,3.612359947967774,0.0522028853172113,False,0.0522028853172113,1.1056460613368038
task-p3-72fdfc97535973f5,g-8e75832e853cc6ea,development,14,3.9133899436317554,0.04349997299448,False,0.04349997299448,1.0789240319243276
task-p3-87c2db0929de04c9,g-8e75832e853cc6ea,development,14,3.515449934959718,0.0251584707861269,False,0.0251584707861269,1.1477978125923736
