objective,model_id,cv_rmse,cv_mae,cv_rmse_se,aicc,n_rows,n_base_graphs,one_se_threshold,within_one_se,selected
O0,M1,0.3376916234050129,0.22418050572423773,0.04825982154289315,-212.805081774701,96,16,0.38595144494790606,True,True
O0,M2,0.35052221564436337,0.23384082078573334,0.049511666053849,-211.8180221500859,96,16,0.38595144494790606,True,False
O0,M3,0.3381498544399286,0.22661474814861968,0.048001685280288454,-211.11818794619353,96,16,0.38595144494790606,True,False
O0,M4,0.35109611983514316,0.23530863129133162,0.04914335805555728,-210.34893352832998,96,16,0.38595144494790606,True,False
O2,M1,0.16922269047434993,0.1271592468825057,0.019398802858179482,-344.89802116065465,96,16,0.18281580889342594,True,True
O2,M2,0.17347479009261818,0.1293398957509817,0.019838285361606603,-343.668835167447,96,16,0.18281580889342594,True,False
O2,M3,0.16427430306452073,0.12366103129001593,0.0185415058289052,-350.7679127215741,96,16,0.18281580889342594,True,False
O2,M4,0.1694632691069293,0.12787277624779803,0.019086024677826132,-348.8979010755106,96,16,0.18281580889342594,True,False
O3,M1,0.19390592635989706,0.1318500492682694,0.02831654428262172,-318.0900523637055,96,16,0.2222224706425188,True,True
O3,M2,0.19707774325317562,0.1349141142882325,0.027532110478084862,-318.60172619697005,96,16,0.2222224706425188,True,False
O3,M3,0.19480412985590742,0.13348532036753835,0.028435604394991824,-318.89385571550906,96,16,0.2222224706425188,True,False
O3,M4,0.19806291430328338,0.13603960367062434,0.02773573415224844,-320.52999450146933,96,16,0.2222224706425188,True,False
