run_id,phase,evidence_identity,matrix_role,split,task_id,base_graph_id,base_instance_id,size_m,n_nodes,n_edges,state_space_size,n_candidate_routes,n_feasible_routes,n_feasible_states,route_feasible_fraction,feasible_state_fraction,dilution_score,objective_id,objective_name,objective_role,depth,p2_initialization_seed_set,optimizer_seed,selected_p2_seed,selected_p2_run_id,p3_initial_parameters,initial_parameters,terminal_parameters,best_evaluated_parameters,optimizer,eval_budget,nfev,tracked_optimizer_evaluations,total_objective_evaluations,optimizer_status,optimizer_message,objective_start,objective_final,objective_improvement,expected_mean_energy,expected_routing_component,expected_flow_penalty,expected_resource_penalty,expected_total_penalty,p_feas,p_opt,p_opt_given_feasible,feasibility_amplification,log_feasibility_gain,cvar_alpha,cvar_value,cvar_cutoff_energy,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_fractional_cutoff_mass,strict_energy_class_separation,penalty_bound_pass,state_norm,runtime_s,peak_memory_mb,execution_status,failure_reason,resource_censored,config_sha256,manifest_sha256,raw_statevector_persisted,failure_lineage
phase3-a53b10d32c1cadf2e9a5d592,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-6e4d1f9f9dd178d7,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,6,6,1.0,0.00146484375,2.8342086975841307,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",1103.0,2207.0,phase3-5fdb2862bf7b784863f8fccf,,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[2.3038588697016693, 4.252756695115067, 2.306630289524521, 0.1140942403327584]","[2.3038588697016693, 4.252756695115067, 2.306630289524521, 0.1140942403327584]",COBYLA,120,120,120,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.400821737372908,1.7395110633954596,0.6613106739774486,1.7395110633954596,0.09195611277321375,1.2610654559596635,0.3864894946625824,1.647554950622246,0.0242477417687616,0.0017275994080883689,0.07124784751353784,16.553125047474584,1.2188799958612542,0.1,0.852666811882712,1.1285594639865997,False,0.024247741768761613,0.0029911756962678893,True,True,0.9999999999999992,0.41560817044228315,127.51953125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-5fdb2862bf7b784863f8fccf,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-6e4d1f9f9dd178d7,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,6,6,1.0,0.00146484375,2.8342086975841307,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",2207.0,2207.0,phase3-5fdb2862bf7b784863f8fccf,,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[5.009914222868665, 4.174082191940459, 2.4766197549994007, 0.13347886460460415]","[5.009914222868665, 4.174082191940459, 2.4766197549994007, 0.13347886460460415]",COBYLA,120,120,120,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.5120094683285923,1.5281040717515881,0.9839053965770042,1.5281040717515881,0.07795178697584962,1.1332969793607361,0.3168553054150023,1.4501522847757384,0.06438950733024504,0.010194606540946756,0.15832713998975026,43.95657033744728,1.6430237997289876,0.1,0.424281610457932,1.1084589614740368,False,0.06438950733024507,0.0030207859550093197,True,True,0.9999999999999998,0.4050138583406806,127.6328125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-d5c9b0e4ec4e47043a2e489a,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-6e4d1f9f9dd178d7,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,6,6,1.0,0.00146484375,2.8342086975841307,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",3301.0,2207.0,phase3-5fdb2862bf7b784863f8fccf,,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[2.2172947655864585, 1.9829964578831731, 2.1398319312720795, -0.1711098972966677]","[2.2172947655864585, 1.9829964578831731, 2.1398319312720795, -0.1711098972966677]",COBYLA,120,120,120,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.7065827203656756,1.6434360479730292,1.0631466723926464,1.6434360479730292,0.08510062926364703,1.2408107707203078,0.3175246479890744,1.5583354187093823,0.023361720075338783,0.001775539056266628,0.0760020687920549,15.948267571431275,1.2027135134100522,0.1,0.8658499885553922,1.1335845896147403,False,0.023361720075338797,0.0023226006729491627,True,True,0.9999999999999994,0.4049871424213052,127.75390625,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-991f93af23944efcbf7831f8,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-6e4d1f9f9dd178d7,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,6,6,1.0,0.00146484375,2.8342086975841307,O0,MEAN_ENERGY,STANDARD_BASELINE,3,"[1103, 2207, 3301]",,2207.0,phase3-5fdb2862bf7b784863f8fccf,"[5.009914222868665, 4.174082191940459, 0.0, 2.4766197549994007, 0.13347886460460415, 0.0]","[5.009914222868665, 4.174082191940459, 0.0, 2.4766197549994007, 0.13347886460460415, 0.0]","[6.292212485997125, 4.629377044644811, 0.22791382226703022, 2.5172903140200042, 0.30741106443571947, -0.17920255840754268]","[6.292212485997125, 4.629377044644811, 0.22791382226703022, 2.5172903140200042, 0.30741106443571947, -0.17920255840754268]",COBYLA,240,240,240,241,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.5281040717515881,1.1967820115016634,0.3313220602499247,1.1967820115016634,0.06259369084349617,1.0021632441769284,0.1320250764812387,1.134188320658167,0.1382409300288866,0.020968810130859238,0.151683080593263,94.37247489971992,1.9748453444858383,0.1,0.04584306548426531,0.07537688442211055,True,0.1,0.007076769893358578,True,True,0.999999999999998,1.0431613931432366,128.27734375,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-aa6f52421576fbb26dd0297a,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-6e4d1f9f9dd178d7,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,6,6,1.0,0.00146484375,2.8342086975841307,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,STATEVECTOR_MECHANISTIC_CAPACITY_CONTROL,3,"[1103, 2207, 3301]",,2207.0,phase3-5fdb2862bf7b784863f8fccf,"[5.009914222868665, 4.174082191940459, 0.0, 2.4766197549994007, 0.13347886460460415, 0.0]","[5.009914222868665, 4.174082191940459, 0.0, 2.4766197549994007, 0.13347886460460415, 0.0]","[6.434361970887238, 4.641305638517266, -0.33239632642349703, 2.5681922926718364, 0.09201825449904213, 0.10183497100999367]","[6.434361970887238, 4.641305638517266, -0.33239632642349703, 2.5681922926718364, 0.09201825449904213, 0.10183497100999367]",COBYLA,240,240,240,241,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.9356104926697549,0.8504043403325103,0.0852061523372446,1.2826895895588977,0.07102456378558591,0.9999353456972563,0.2117296800760556,1.211665025773312,0.1495956596674896,0.024882055907756953,0.16632872880846264,102.12397033300624,2.00912769077966,0.1,0.04356533266043537,0.07537688442211055,True,0.1,0.016673461679739682,True,True,0.9999999999999984,1.005900620482862,128.36328125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-89876af87f4aed71ce298ee4,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-6e4d1f9f9dd178d7,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,6,6,1.0,0.00146484375,2.8342086975841307,O3,CVAR_ENERGY,TAIL_FOCUSED_ROUTING_OBJECTIVE,3,"[1103, 2207, 3301]",,2207.0,phase3-5fdb2862bf7b784863f8fccf,"[5.009914222868665, 4.174082191940459, 0.0, 2.4766197549994007, 0.13347886460460415, 0.0]","[5.009914222868665, 4.174082191940459, 0.0, 2.4766197549994007, 0.13347886460460415, 0.0]","[6.339846976518224, 4.74285405264491, -0.3225893551343344, 2.5716367623845495, 0.10064806633793134, 0.07806831361126672]","[6.339846976518224, 4.74285405264491, -0.3225893551343344, 2.5716367623845495, 0.10064806633793134, 0.07806831361126672]",COBYLA,240,240,240,241,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.424281610457932,0.04373770693327134,0.38054390352466066,1.2737607530176909,0.07078802615725163,1.0026162838030404,0.20035644305739916,1.2029727268604393,0.14563927104856386,0.025580665043896025,0.17564400631589314,99.42307570248626,1.9974871941274255,0.1,0.04373770693327134,0.07537688442211055,True,0.1,0.01736309972284167,True,True,1.0000000000000002,1.03644347935915,128.36328125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-4f4fbc5192d54c88257d3ec1,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,5,5,0.8333333333333334,0.001220703125,2.9133899436317554,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",1103.0,2207.0,phase3-4af4112a590dbdb6cd56833a,,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[2.315187906851828, 4.333899099098093, 2.3075246179836992, 0.11402425894468904]","[2.315187906851828, 4.333899099098093, 2.3075246179836992, 0.11402425894468904]",COBYLA,120,120,120,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.4687803497345984,1.7545704191285783,0.7142099306060201,1.7545704191285783,0.09161863915505448,1.2600363917923452,0.4029153881811781,1.6629517799735232,0.023433190477422323,0.0018061461319817975,0.07707640723195604,19.196469639104368,1.283221366347722,0.1,0.8610387258303883,1.1285594639865997,False,0.023433190477422344,0.003770888405462497,True,True,0.9999999999999991,0.40959263034164906,127.33984375,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-4af4112a590dbdb6cd56833a,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,5,5,0.8333333333333334,0.001220703125,2.9133899436317554,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",2207.0,2207.0,phase3-4af4112a590dbdb6cd56833a,,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[5.4461367754194105, 4.137314860210014, 2.512553869923639, 0.137065205191352]","[5.4461367754194105, 4.137314860210014, 2.512553869923639, 0.137065205191352]",COBYLA,120,120,120,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.541593457744026,1.4056324948153853,1.1359609629286407,1.4056324948153853,0.07158878675745364,1.0826359878635452,0.25140772019438673,1.3340437080579317,0.07549866227430219,0.011606047377965077,0.15372520556454256,61.84850413510835,1.7913292002670924,0.1,0.30559495461514474,1.0984087102177553,False,0.0754986622743023,0.0035738276430811733,True,True,0.9999999999999984,0.4034021319821477,127.484375,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-916428f7e29ed39565085d9b,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,5,5,0.8333333333333334,0.001220703125,2.9133899436317554,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",3301.0,2207.0,phase3-4af4112a590dbdb6cd56833a,,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[2.3928771549726697, 3.9186218573158182, 2.315691974515589, 0.11399145666891572]","[2.3928771549726697, 3.9186218573158182, 2.315691974515589, 0.11399145666891572]",COBYLA,120,120,120,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.7309869294324947,1.762240664439629,0.9687462649928658,1.762240664439629,0.09079177299934478,1.2564875820351857,0.41496130940509823,1.671448891440284,0.021918641690753072,0.0011675186706593657,0.053266013794637315,17.955751273064916,1.2542035808305527,0.1,0.8751951494237731,1.1285594639865997,False,0.021918641690753086,0.0020573019058268,True,True,0.9999999999999992,0.40577542781829834,127.59375,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-eb8047350968acadd27e77b7,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PRIMARY_MATRIX,development,task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,5,5,0.8333333333333334,0.001220703125,2.9133899436317554,O0,MEAN_ENERGY,STANDARD_BASELINE,3,"[1103, 2207, 3301]",,2207.0,phase3-4af4112a590dbdb6cd56833a,"[5.4461367754194105, 4.137314860210014, 0.0, 2.512553869923639, 0.137065205191352, 0.0]","[5.4461367754194105, 4.137314860210014, 0.0, 2.512553869923639, 0.137065205191352, 0.0]","[6.556268215665754, 4.592698475031078, 0.23730286944078305, 2.5101404233372686, 0.3174224119513921, -0.19516903050952086]","[6.556268215665754, 4.592698475031078, 0.23730286944078305, 2.5101404233372686, 0.3174224119513921, -0.19516903050952086]",COBYLA,240,240,240,241,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.4056324948153853,1.1996583058972632,0.20597418891812214,1.1996583058972632,0.058987109697375945,0.9978212989861933,0.1428498972136937,1.1406711961998872,0.12663996934257774,0.019106476543097765,0.15087240341485111,103.74346288543968,2.0159607403506246,0.1,0.046310382032055196,0.08040201005025126,True,0.1,0.0008771488204618594,True,True,0.9999999999999976,1.0365098677575588,128.3671875,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
