split,size_m,depth,objective_id,execution_status,failure_reason,resource_censored,count
development,12,2,P2_O0,SUCCESS,,False,72
development,12,3,O0,SUCCESS,,False,24
development,12,3,O2,SUCCESS,,False,24
development,12,3,O3,SUCCESS,,False,24
development,14,2,P2_O0,SUCCESS,,False,72
development,14,3,O0,SUCCESS,,False,24
development,14,3,O2,SUCCESS,,False,24
development,14,3,O3,SUCCESS,,False,24
development,16,2,P2_O0,SUCCESS,,False,72
development,16,3,O0,SUCCESS,,False,24
development,16,3,O2,SUCCESS,,False,24
development,16,3,O3,SUCCESS,,False,24
development,18,2,P2_O0,SUCCESS,,False,72
development,18,3,O0,SUCCESS,,False,24
development,18,3,O2,SUCCESS,,False,24
development,18,3,O3,SUCCESS,,False,24
extrapolation_holdout,20,2,P2_O0,SUCCESS,,False,90
extrapolation_holdout,20,3,O0,SUCCESS,,False,30
extrapolation_holdout,20,3,O2,SUCCESS,,False,30
extrapolation_holdout,20,3,O3,SUCCESS,,False,30
extrapolation_holdout,22,2,P2_O0,RESOURCE_CENSORED,ALL_TASKS_AT_SIZE_CENSORED_BY_PROSPECTIVE_RESOURCE_GUARD,True,90
extrapolation_holdout,22,3,O0,RESOURCE_CENSORED,ALL_TASKS_AT_SIZE_CENSORED_BY_PROSPECTIVE_RESOURCE_GUARD,True,30
extrapolation_holdout,22,3,O2,RESOURCE_CENSORED,ALL_TASKS_AT_SIZE_CENSORED_BY_PROSPECTIVE_RESOURCE_GUARD,True,30
extrapolation_holdout,22,3,O3,RESOURCE_CENSORED,ALL_TASKS_AT_SIZE_CENSORED_BY_PROSPECTIVE_RESOURCE_GUARD,True,30
interpolation_holdout,12,2,P2_O0,SUCCESS,,False,18
interpolation_holdout,12,3,O0,SUCCESS,,False,6
interpolation_holdout,12,3,O2,SUCCESS,,False,6
interpolation_holdout,12,3,O3,SUCCESS,,False,6
interpolation_holdout,14,2,P2_O0,SUCCESS,,False,18
interpolation_holdout,14,3,O0,SUCCESS,,False,6
interpolation_holdout,14,3,O2,SUCCESS,,False,6
interpolation_holdout,14,3,O3,SUCCESS,,False,6
interpolation_holdout,16,2,P2_O0,SUCCESS,,False,18
interpolation_holdout,16,3,O0,SUCCESS,,False,6
interpolation_holdout,16,3,O2,SUCCESS,,False,6
interpolation_holdout,16,3,O3,SUCCESS,,False,6
interpolation_holdout,18,2,P2_O0,SUCCESS,,False,18
interpolation_holdout,18,3,O0,SUCCESS,,False,6
interpolation_holdout,18,3,O2,SUCCESS,,False,6
interpolation_holdout,18,3,O3,SUCCESS,,False,6
