task_id,base_graph_id,size_m,objective_id,B,two_B,G_feas_B,G_feas_2B,Delta_G_budget,objective_B,objective_2B,Delta_objective_budget,same_common_initialization,substantial_budget_sensitivity,optimizer_adequacy_flag
task-p3-71a0a608986a513a,g-4baa18b9cb3958b8,12,O0,240,480,0.9215611574901098,1.0628229846387145,0.1412618271486047,1.2207822916694286,1.211726446941009,0.009055844728419693,True,True,False
task-p3-71a0a608986a513a,g-4baa18b9cb3958b8,12,O2,240,480,2.0339695758972027,2.1951250962282223,0.16115552033101954,0.9207989603209285,0.885214665810379,0.03558429451054945,True,True,False
task-p3-71a0a608986a513a,g-4baa18b9cb3958b8,12,O3,240,480,1.7103669100696757,2.15280376910116,0.44243685903148444,0.6894587340215406,0.06352874659845385,0.6259299874230867,True,True,False
task-p3-07cdd1a1f394c642,g-3cf4bd3967c31b19,14,O0,240,480,2.485981770444599,2.512408098475591,0.026426328030991986,1.3762011103597145,1.3525959579977693,0.02360515236194516,True,False,False
task-p3-07cdd1a1f394c642,g-3cf4bd3967c31b19,14,O2,240,480,2.7326626828999574,2.8831630949670823,0.15050041206712494,0.9010618014991466,0.8600849569640294,0.040976844535117185,True,True,False
task-p3-07cdd1a1f394c642,g-3cf4bd3967c31b19,14,O3,240,480,2.691173415451136,2.8577077923230827,0.1665343768719465,0.147555720355868,0.03532350519836133,0.11223221515750667,True,True,False
task-p3-446eb3ddcbf65c5b,g-cd9098863d67a067,16,O0,240,480,2.290449752086152,2.3704587574050673,0.08000900531891508,1.110063826884891,1.1002646113840193,0.009799215500871705,True,False,False
task-p3-446eb3ddcbf65c5b,g-cd9098863d67a067,16,O2,240,480,2.986122598922217,2.998172867880478,0.01205026895826089,0.9556632430582476,0.9544158152596912,0.0012474277985563553,True,False,False
task-p3-446eb3ddcbf65c5b,g-cd9098863d67a067,16,O3,240,480,2.9950896319913465,2.9992608661234863,0.004171234132139823,0.5914270694993523,0.5869806969847968,0.0044463725145554855,True,False,False
task-p3-0bf148a8545bb3da,g-6561c85f253791c6,18,O0,240,480,2.6946302296946585,2.7004151107118326,0.005784881017174115,1.1465584286972352,1.1342752485955,0.012283180101735125,True,False,False
task-p3-0bf148a8545bb3da,g-6561c85f253791c6,18,O2,240,480,3.716064010405036,3.721282654857804,0.005218644452767762,0.9404824092008058,0.9397629094029181,0.0007194997978877682,True,False,False
task-p3-0bf148a8545bb3da,g-6561c85f253791c6,18,O3,240,480,3.283332313500836,3.31664879766687,0.033316484166034055,0.8134191688151223,0.7964259249252089,0.016993243889913412,True,False,False
