run_id,phase,evidence_identity,matrix_role,split,task_id,base_graph_id,base_instance_id,size_m,n_nodes,n_edges,state_space_size,n_candidate_routes,n_feasible_routes,n_feasible_states,route_feasible_fraction,feasible_state_fraction,dilution_score,objective_id,objective_name,objective_role,depth,p2_initialization_seed_set,optimizer_seed,selected_p2_seed,selected_p2_run_id,p3_initial_parameters,initial_parameters,terminal_parameters,best_evaluated_parameters,optimizer,eval_budget,nfev,tracked_optimizer_evaluations,total_objective_evaluations,optimizer_status,optimizer_message,objective_start,objective_final,objective_improvement,expected_mean_energy,expected_routing_component,expected_flow_penalty,expected_resource_penalty,expected_total_penalty,p_feas,p_opt,p_opt_given_feasible,feasibility_amplification,log_feasibility_gain,cvar_alpha,cvar_value,cvar_cutoff_energy,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_fractional_cutoff_mass,strict_energy_class_separation,penalty_bound_pass,state_norm,runtime_s,peak_memory_mb,execution_status,failure_reason,resource_censored,config_sha256,manifest_sha256,raw_statevector_persisted,failure_lineage
phase3-011878267eba586ef6f877b4,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PROTOCOL_PREFLIGHT,development,task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,1,1,0.1666666666666666,0.000244140625,3.612359947967774,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",2207.0,,,,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[5.12433258982033, 4.096739261021275, 2.3888272091103384, 0.16334995275824682]","[5.12433258982033, 4.096739261021275, 2.3888272091103384, 0.16334995275824682]",COBYLA,120,120,120,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.8555833232379215,1.6290919942766422,1.2264913289612793,1.6290919942766422,0.05484822229420292,1.0736985403427433,0.5005452316396959,1.5742437719824394,0.017480092206572373,0.017480092206572373,1.0,71.59845767812044,1.854903667152884,0.1,0.8948673817445059,1.0833333333333333,False,0.017480092206572383,0.026267252650351278,True,True,0.9999999999999993,0.23758979979902506,156.9765625,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-17aae397b3b5f8db8b68286c,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PROTOCOL_PREFLIGHT,development,task-p3-6d8c1ca8f1cd0b67,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,2,2,0.3333333333333333,0.00048828125,3.311329952303793,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,STATEVECTOR_MECHANISTIC_CAPACITY_CONTROL,3,"[1103, 2207, 3301]",,1103.0,phase3-afe3a38e09d1e0b961b22967,"[3.5832910560962365, 5.823471507134512, 0.0, 3.9438404678308663, -1.0095246498717858, 0.0]","[3.5832910560962365, 5.823471507134512, 0.0, 3.9438404678308663, -1.0095246498717858, 0.0]","[2.2448854575050157, 6.656234170800158, 0.6315357970519813, 4.395332948653925, -0.47239497566109867, -0.2058214044333648]","[2.2448854575050157, 6.656234170800158, 0.6315357970519813, 4.395332948653925, -0.47239497566109867, -0.2058214044333648]",COBYLA,240,240,240,241,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.9986310660112819,0.9783659964671055,0.020265069544176395,1.7387645659301887,0.06236236419862379,1.0984531138645368,0.5779490878670281,1.6764022017315652,0.021634003532894477,0.01121843942189438,0.5185558652995853,44.30643923536789,1.6464668485969514,0.1,0.8499216624015644,1.0833333333333333,False,0.021634003532894457,0.04115778773491752,True,True,1.000000000000001,0.5912784012034535,159.33203125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-1b31c23a540450bec4edc12a,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PROTOCOL_PREFLIGHT,development,task-p3-6d8c1ca8f1cd0b67,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,2,2,0.3333333333333333,0.00048828125,3.311329952303793,O3,CVAR_ENERGY,TAIL_FOCUSED_ROUTING_OBJECTIVE,3,"[1103, 2207, 3301]",,1103.0,phase3-afe3a38e09d1e0b961b22967,"[3.5832910560962365, 5.823471507134512, 0.0, 3.9438404678308663, -1.0095246498717858, 0.0]","[3.5832910560962365, 5.823471507134512, 0.0, 3.9438404678308663, -1.0095246498717858, 0.0]","[2.360744323387319, 6.399196218725894, 0.615978444418999, 4.3566377994226615, -0.4905896376736586, -0.18976922214321038]","[2.360744323387319, 6.399196218725894, 0.615978444418999, 4.3566377994226615, -0.4905896376736586, -0.18976922214321038]",COBYLA,240,240,240,241,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0672966944818134,0.8727887978429212,0.19450789663889223,1.751629939197853,0.06226929394374166,1.1067194253045154,0.5826412199495952,1.6893606452541108,0.01954610950408418,0.010174969435960315,0.5205623878160636,40.0304322643644,1.6023902798131888,0.1,0.8727887978429212,1.0833333333333333,False,0.019546109504084218,0.04763538045058198,True,True,0.999999999999998,0.6009748186916113,159.33984375,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-258d50319f49bf6499aa8151,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PROTOCOL_PREFLIGHT,development,task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,1,1,0.1666666666666666,0.000244140625,3.612359947967774,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",1103.0,,,,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[2.855300918594794, 4.67335830831147, 3.787718308811903, -1.064089540930359]","[2.855300918594794, 4.67335830831147, 3.787718308811903, -1.064089540930359]",COBYLA,120,120,120,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,3.1099632652799594,1.4106578895336557,1.6993053757463037,1.4106578895336557,0.025527798345480433,1.1147240011369175,0.2704060900512586,1.3851300911881748,0.001699167770113435,0.001699167770113435,1.0,6.95979118638463,0.8425962097310626,0.1,1.0657728608297652,1.0833333333333333,False,0.001699167770113433,0.0960502326538477,True,True,1.000000000000001,0.2664851052686572,156.9765625,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-26b7e02126c039e043974b38,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PROTOCOL_PREFLIGHT,development,task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,1,1,0.1666666666666666,0.000244140625,3.612359947967774,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",3301.0,,,,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[4.667584443646077, 3.796433604588867, 2.386319787131551, 0.14671554735992262]","[4.667584443646077, 3.796433604588867, 2.386319787131551, 0.14671554735992262]",COBYLA,120,120,120,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,3.0740511887191593,1.7170612805480086,1.3569899081711507,1.7170612805480086,0.05806802849379418,1.1010222655902537,0.5579709864639598,1.6589932520542139,0.009258421469347276,0.009258421469347276,1.0,37.92249433844644,1.5788968951690987,0.1,0.9793493142732043,1.0833333333333333,False,0.009258421469347284,0.042535464480811115,True,True,0.9999999999999991,0.2392987972125411,156.9765625,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-321025c7674c88efe6b17d5a,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PROTOCOL_PREFLIGHT,development,task-p3-6d8c1ca8f1cd0b67,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,2,2,0.3333333333333333,0.00048828125,3.311329952303793,P2_O0,MEAN_ENERGY_PREPARATION,COMMON_INITIALIZATION_PREPARATION,2,"[1103, 2207, 3301]",3301.0,,,,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[4.4275384628304595, 1.8645139828332358, 2.349520409875131, -0.16960414418053682]","[4.4275384628304595, 1.8645139828332358, 2.349520409875131, -0.16960414418053682]",COBYLA,120,120,120,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.9277821486386864,1.6598818318998956,1.2679003167387908,1.6598818318998956,0.059238388938474766,1.1795722220094704,0.42107122095195015,1.6006434429614207,0.012619035047997804,0.0037859908200656702,0.30002221292398845,25.843783778299503,1.4123560988638666,0.1,0.9515693900463075,1.0833333333333333,False,0.012619035047997822,0.07564529239708105,True,True,0.9999999999999987,0.2399341305717826,157.578125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-49cff3aa54983febccb7dd2a,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PROTOCOL_PREFLIGHT,development,task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,1,1,0.1666666666666666,0.000244140625,3.612359947967774,O0,MEAN_ENERGY,STANDARD_BASELINE,3,"[1103, 2207, 3301]",,1103.0,phase3-258d50319f49bf6499aa8151,"[2.855300918594794, 4.67335830831147, 0.0, 3.787718308811903, -1.064089540930359, 0.0]","[2.855300918594794, 4.67335830831147, 0.0, 3.787718308811903, -1.064089540930359, 0.0]","[3.5377653192307204, 5.374709207680374, 0.6329811298599635, 3.963472862973305, -0.9387757698545421, -0.19215752007194944]","[3.5377653192307204, 5.374709207680374, 0.6329811298599635, 3.963472862973305, -0.9387757698545421, -0.19215752007194944]",COBYLA,240,240,240,241,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.4106578895336557,1.2288602412802407,0.18179764825341493,1.2288602412802407,0.01952006747630067,1.0938438036608542,0.11549637014308617,1.2093401738039393,0.0015544190558251147,0.0015544190558251147,1.0,6.36690045265967,0.8039280596646008,0.1,1.0665271089639936,1.0833333333333333,False,0.0015544190558251134,0.09458443503097677,True,True,1.0000000000000009,0.6105241645127535,159.3125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-4ac4b7574edabb133c06cbe3,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PROTOCOL_PREFLIGHT,development,task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,1,1,0.1666666666666666,0.000244140625,3.612359947967774,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,STATEVECTOR_MECHANISTIC_CAPACITY_CONTROL,3,"[1103, 2207, 3301]",,1103.0,phase3-258d50319f49bf6499aa8151,"[2.855300918594794, 4.67335830831147, 0.0, 3.787718308811903, -1.064089540930359, 0.0]","[2.855300918594794, 4.67335830831147, 0.0, 3.787718308811903, -1.064089540930359, 0.0]","[2.348971555998765, 4.326880588726423, 0.8398831491945782, 3.6817935142533154, -0.5935923898703159, -0.22652989117279088]","[2.348971555998765, 4.326880588726423, 0.8398831491945782, 3.6817935142533154, -0.5935923898703159, -0.22652989117279088]",COBYLA,240,240,240,241,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.9983008322298865,0.9823551790352028,0.015945653194683773,1.5568572028290109,0.036077222899719485,1.0472229519592662,0.4735570279700248,1.5207799799292907,0.017644820964797237,0.017644820964797237,1.0,72.27318667180948,1.8589772040672707,0.1,0.8971574127135142,1.0833333333333333,False,0.017644820964797265,0.042863272810660866,True,True,0.9999999999999984,0.6131175458431244,159.3125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-5a821ac1c06ef8d1efdff89f,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PROTOCOL_PREFLIGHT,development,task-p3-49c4d5dae6a8f92a,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,1,1,0.1666666666666666,0.000244140625,3.612359947967774,O3,CVAR_ENERGY,TAIL_FOCUSED_ROUTING_OBJECTIVE,3,"[1103, 2207, 3301]",,1103.0,phase3-258d50319f49bf6499aa8151,"[2.855300918594794, 4.67335830831147, 0.0, 3.787718308811903, -1.064089540930359, 0.0]","[2.855300918594794, 4.67335830831147, 0.0, 3.787718308811903, -1.064089540930359, 0.0]","[2.291945517117535, 4.052873207356518, -1.52487011365929, 3.449798363626767, -0.7016301539715505, 0.2625655942422156]","[2.291945517117535, 4.052873207356518, -1.52487011365929, 3.449798363626767, -0.7016301539715505, 0.2625655942422156]",COBYLA,240,240,240,241,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0657728608297652,0.6541379589779618,0.4116349018518034,1.8423905323059846,0.0659635314218773,1.0553250237618048,0.7211019771223025,1.7764270008841074,0.041222621401402405,0.041222621401402405,1.0,168.84785726014425,2.2274955536536916,0.1,0.6541379589779618,1.082860991474203,False,0.04122262140140236,0.006703235466628557,True,True,1.000000000000001,0.6250010430812836,159.3203125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
phase3-65d6a65b8af829fc6ed7c299,PHASE_3_EMPIRICAL_DILUTION_SCALING,PREREGISTERED_EMPIRICAL_DILUTION_SCALING,PROTOCOL_PREFLIGHT,development,task-p3-6d8c1ca8f1cd0b67,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,12,8,12,4096,6,2,2,0.3333333333333333,0.00048828125,3.311329952303793,O0,MEAN_ENERGY,STANDARD_BASELINE,3,"[1103, 2207, 3301]",,1103.0,phase3-afe3a38e09d1e0b961b22967,"[3.5832910560962365, 5.823471507134512, 0.0, 3.9438404678308663, -1.0095246498717858, 0.0]","[3.5832910560962365, 5.823471507134512, 0.0, 3.9438404678308663, -1.0095246498717858, 0.0]","[4.315918838586769, 6.4068733067853545, 0.11203870096668804, 3.9805003132066106, -0.9952964334682644, -0.08806215124606362]","[4.315918838586769, 6.4068733067853545, 0.11203870096668804, 3.9805003132066106, -0.9952964334682644, -0.08806215124606362]",COBYLA,240,240,240,241,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.2524279379771301,1.2244700370259223,0.02795790095120787,1.2244700370259223,0.020733127653309473,1.1002920716558249,0.10344483771678686,1.2037369093726122,0.0002605385623577482,0.000167507355045405,0.6429273023138852,0.5335829757086683,-0.2727980353016468,0.1,1.07660667024298,1.0833333333333333,False,0.00026053856235774787,0.09008592713943155,True,True,1.000000000000001,0.580314171500504,159.33203125,SUCCESS,,False,d7edcf4ca084e975b0b8d916d003c9c772e9c801b06175ee7112ef86cdea99f3,018e499280521e6e6764118d14af76ed4cee74fd501addf4dd69087da5bcc557,False,
