task_id,base_graph_id,base_instance_id,split,size_m,target_n_edges,actual_n_edges,n_nodes,n_edges,state_space_size,n_candidate_routes,n_feasible_routes,route_feasible_fraction,n_feasible_states,feasible_state_fraction,phi_state,dilution_score,D,log10_n_feasible,m_log10_2,log10_phi_reconstructed,identity_error,budget,n_optimal_states,optimal_cost,optimal_state_ids,raw_energy_min,raw_energy_max,raw_energy_span,normalized_energy_min,normalized_energy_max,normalized_energy_span,min_infeasible_energy_raw,max_feasible_energy_raw,penalty_separation_raw,strict_energy_separation,penalty_ground_state_valid,penalty_ground_state_resource_feasible,penalty_ground_state_exact_original_optimal,penalty_contract_pass,route_enumeration_feasible_count,edge_bit_validator_feasible_count,feasible_count_agreement,flow_scale,resource_scale,global_penalty_coefficient,global_normalization_factor,path_redundancy,average_out_degree,maximum_out_degree,bottleneck_score,source_target_hop_min,source_target_hop_max,graph_density
task-p3-047cd6484381c411,g-31c1e4ae69d6af03,phase3-m22-b02-g-31c1e4ae69d6af03,extrapolation_holdout,22,22,22,13,22,4194304,17,5,0.29411764705882354,5,1.1920928955078125e-06,1.1920928955078125e-06,5.923689900271567,5.923689900271567,0.6989700043360189,6.622659904607587,-5.923689900271568,8.881784197001252e-16,1980.0,1,12.0,[131332],12.0,732.0377870207212,720.0377870207212,0.06030150753768844,3.6785818443252323,3.618280336787544,207.3657036724938,25.0,182.3657036724938,True,True,True,True,True,5,5,True,46.0,11337.0,199.0,199.0,1.5454545454545454,1.6923076923076923,3,0.5882352941176471,3,5,0.28205128205128205
task-p3-04f5724e5817ad06,g-bb12128d9b6a7786,phase3-m22-b00-g-bb12128d9b6a7786,extrapolation_holdout,22,22,22,10,22,4194304,14,8,0.5714285714285714,8,1.9073486328125e-06,1.9073486328125e-06,5.719569917615643,5.719569917615643,0.9030899869919435,6.622659904607587,-5.719569917615643,0.0,1565.0,1,4.0,[262160],4.0,856.4874095756369,852.4874095756369,0.020100502512562814,4.303956832038376,4.283856329525814,202.75471698113208,21.0,181.75471698113208,True,True,True,True,True,8,8,True,106.0,13484.0,199.0,199.0,1.75,2.2,8,0.2857142857142857,2,3,0.4888888888888889
task-p3-070f8dd818901b71,g-afad664ce9d18d68,phase3-m22-b01-g-afad664ce9d18d68,extrapolation_holdout,22,22,22,12,22,4194304,14,5,0.35714285714285715,5,1.1920928955078125e-06,1.1920928955078125e-06,5.923689900271567,5.923689900271567,0.6989700043360189,6.622659904607587,-5.923689900271568,8.881784197001252e-16,1391.0,1,6.0,[16392],6.0,842.0548986292408,836.0548986292408,0.03015075376884422,4.23143165140322,4.201280897634375,206.1071428571429,22.0,184.1071428571429,True,True,True,True,True,5,5,True,56.0,12284.0,199.0,199.0,1.4,1.8333333333333333,5,0.42857142857142855,2,4,0.3333333333333333
task-p3-07cdd1a1f394c642,g-3cf4bd3967c31b19,phase3-m14-b00-g-3cf4bd3967c31b19,development,14,14,14,8,14,16384,8,3,0.375,3,0.00018310546875,0.00018310546875,3.737298684576074,3.737298684576074,0.47712125471966244,4.214419939295737,-3.737298684576074,0.0,1427.0,1,4.0,[2056],4.0,781.6065059440268,777.6065059440268,0.020100502512562814,3.9276708841408383,3.9075703816282754,209.4736842105263,16.0,193.4736842105263,True,True,True,True,True,3,3,True,38.0,8618.0,199.0,199.0,1.3333333333333333,1.75,4,0.5,2,3,0.5
task-p3-0a4af485d18a0ad5,g-cd9098863d67a067,phase3-m16-b00-g-cd9098863d67a067,development,16,16,16,9,16,65536,9,9,1.0,9,0.0001373291015625,0.0001373291015625,3.8622374211843744,3.8622374211843744,0.9542425094393249,4.816479930623699,-3.8622374211843744,0.0,2452.0,1,6.0,[8200],6.0,784.6812270122399,778.6812270122399,0.03015075376884422,3.9431217437801,3.9129709900112557,206.1071428571429,21.0,185.1071428571429,True,True,True,True,True,9,9,True,56.0,8493.0,199.0,199.0,1.2857142857142858,1.7777777777777777,5,0.4444444444444444,2,3,0.4444444444444444
task-p3-0aba913814f5b408,g-5017fd274a1c10ec,phase3-m16-b02-g-5017fd274a1c10ec,development,16,16,16,10,16,65536,10,5,0.5,5,7.62939453125e-05,7.62939453125e-05,4.11750992628768,4.11750992628768,0.6989700043360189,4.816479930623699,-4.11750992628768,0.0,1735.0,1,14.0,[33028],14.0,739.5841787855884,725.5841787855884,0.07035175879396985,3.716503410982856,3.646151652188886,210.05555555555557,33.0,177.05555555555557,True,True,True,True,True,5,5,True,36.0,7875.0,199.0,199.0,1.25,1.6,4,0.6,3,4,0.35555555555555557
task-p3-0bf148a8545bb3da,g-6561c85f253791c6,phase3-m18-b00-g-6561c85f253791c6,development,18,18,18,9,18,262144,11,3,0.2727272727272727,3,1.1444091796875e-05,1.1444091796875e-05,4.941418667231999,4.941418667231999,0.47712125471966244,5.418539921951662,-4.941418667231999,0.0,1264.0,2,10.0,"[8196, 16392]",10.0,853.6672721207071,843.6672721207071,0.05025125628140704,4.289785287038729,4.239534030757322,204.23684210526318,15.0,189.23684210526318,True,True,True,True,True,3,3,True,76.0,11487.0,199.0,199.0,1.5714285714285714,2.0,4,0.36363636363636365,2,3,0.5
task-p3-0f72e3876456b999,g-65a5f4b07fa94104,phase3-m20-b04-g-65a5f4b07fa94104,extrapolation_holdout,20,20,20,11,20,1048576,11,2,0.18181818181818182,2,1.9073486328125e-06,1.9073486328125e-06,5.719569917615643,5.719569917615643,0.3010299956639812,6.020599913279624,-5.719569917615643,0.0,783.0,1,22.0,[327696],22.0,841.3950874192994,819.3950874192994,0.11055276381909548,4.228116017182409,4.117563253363314,204.52777777777777,25.0,179.52777777777777,True,True,True,True,True,2,2,True,72.0,9692.0,199.0,199.0,1.2222222222222223,1.8181818181818181,5,0.6363636363636364,3,4,0.36363636363636365
task-p3-1293cd49b2f7317f,g-4baa18b9cb3958b8,phase3-m12-b00-g-4baa18b9cb3958b8,development,12,12,12,8,12,4096,6,5,0.8333333333333334,5,0.001220703125,0.001220703125,2.9133899436317554,2.9133899436317554,0.6989700043360189,3.612359947967774,-2.9133899436317554,0.0,1750.0,1,6.0,[1090],6.0,734.4754575614343,728.4754575614343,0.03015075376884422,3.690831445032333,3.660680691263489,214.03351008932577,16.0,198.03351008932577,True,True,True,True,True,5,5,True,24.0,6242.0,199.0,199.0,1.0,1.5,4,0.3333333333333333,2,3,0.42857142857142855
task-p3-14b69330da9fb6a4,g-afad664ce9d18d68,phase3-m22-b01-g-afad664ce9d18d68,extrapolation_holdout,22,22,22,12,22,4194304,14,3,0.21428571428571427,3,7.152557373046875e-07,7.152557373046875e-07,6.145538649887924,6.145538649887924,0.47712125471966244,6.622659904607587,-6.145538649887924,0.0,1362.0,1,15.0,[2105352],15.0,842.8892071443348,827.8892071443348,0.07537688442211055,4.235624156504195,4.160247272082085,205.0005275133466,22.0,183.0005275133466,True,True,True,True,True,3,3,True,56.0,12284.0,199.0,199.0,1.4,1.8333333333333333,5,0.42857142857142855,2,4,0.3333333333333333
