task_id,graph_id,optimizer,objective,seed,embedded_p2_objective,terminal_p3_objective,signed_nested_regret,embedding_identity_error,embedding_identity_pass,nested_pass,nested_failure,embedded_p2_mean_energy,embedded_p2_P_feas,embedded_p2_G_feas,terminal_p3_mean_energy,terminal_p3_P_feas,terminal_p3_G_feas,actual_nfev,scipy_reported_nfev,nit,termination_reason,wall_time_s
task-v2-ac528a9510be,g-a712031e7959d564,SLSQP,O3,2207,0.22140535811253667,0.524425871842417,0.30302051372988026,0.0,True,False,True,1.5368477132359282,0.08337358505704365,2.2323584288280087,1.7790701475563782,0.052938452497190036,2.0351011941094317,120,,15,EVALUATION_BUDGET_EXHAUSTED,0.45610316284000874
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,SLSQP,O0,3301,1.401299712414365,1.577419451539145,0.17611973912478018,0.0,True,False,True,1.401299712414365,0.10272950030502045,1.1189051452797754,1.577419451539145,0.02287263843948206,0.46652623454389863,120,,16,EVALUATION_BUDGET_EXHAUSTED,0.04259680397808552
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,COBYLA,O0,3301,1.8761645090792167,1.687708994698113,-0.18845551438110375,0.0,True,True,False,1.8761645090792167,0.0017991423100590647,2.0715454475150956,1.687708994698113,0.0036590135346008463,2.379843946557858,120,120.0,95,EVALUATION_BUDGET_EXHAUSTED,8.148667883127928
task-v2-c5ed7c8b71f4,g-a712031e7959d564,COBYLA,O3,3301,0.8094577904293737,0.12961176969735344,-0.6798460207320203,0.0,True,True,False,1.918558396373133,0.028707349630213458,1.5932317919060297,1.681565736079886,0.09147764726246513,2.096553679593094,120,120.0,92,EVALUATION_BUDGET_EXHAUSTED,0.6256206212565303
task-v2-6996479d6302,g-60667963f6db3f1b,Nelder-Mead,O3,3301,0.9157158008582853,0.2164436753664962,-0.6992721254917891,0.0,True,True,False,2.078687847781194,0.03146743635852259,0.9061013278406038,1.7134185855105972,0.08878957936972688,1.3566019638856537,120,120.0,73,EVALUATION_BUDGET_EXHAUSTED,0.11032229661941528
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,COBYLA,O0,2207,1.6428014144477499,1.2828260233087379,-0.359975391139012,2.220446049250313e-16,True,True,False,1.6428014144477499,0.010037632236341791,2.039959959984851,1.2828260233087379,0.0032872178479081853,1.5551571664967287,120,120.0,94,EVALUATION_BUDGET_EXHAUSTED,5.797325358726084
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,Nelder-Mead,O0,2207,1.7294086715830712,1.5520116850355736,-0.17739698654749758,0.0,True,True,False,1.7294086715830712,0.008784771232992462,0.6530004173543688,1.5520116850355736,0.0009370098775545808,-0.3189858699668727,120,120.0,77,EVALUATION_BUDGET_EXHAUSTED,0.12229665741324425
task-v2-5d31ef4af595,g-bd62d2d752385cc7,Nelder-Mead,O3,2207,0.9301986692285104,0.8349309362299243,-0.09526773299858604,0.0,True,True,False,1.6670059828375108,0.016267042681320204,2.4257285454641395,1.6265446949041515,0.0248403022362073,2.609576814967692,120,120.0,77,EVALUATION_BUDGET_EXHAUSTED,7.338253146037459
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,SLSQP,O3,2207,0.0668882661423326,0.10733999769486187,0.04045173155252926,0.0,True,False,True,1.733989180535021,0.09997602205458336,2.2143157919152183,1.7346359771490816,0.09575705592408397,2.1955907244010686,120,,15,EVALUATION_BUDGET_EXHAUSTED,0.43537696450948715
task-v2-a2561503b5d0,g-bd62d2d752385cc7,COBYLA,O0,1103,1.561137212194425,1.3944291463627754,-0.16670806583164954,6.661338147750939e-16,True,True,False,1.561137212194425,0.004029410375384715,2.120691435331263,1.3944291463627754,0.0017515801087237056,1.758879939577212,120,120.0,91,EVALUATION_BUDGET_EXHAUSTED,5.888374704867601
