task_id,graph_id,optimizer,objective,depth,seed_count,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,median_nfev,median_nit,median_wall_time_s
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,COBYLA,O0,2,3,1.8662344697546636,1.8662344697546636,0.004380760063019188,0.0014801496112083132,0.34402949032319513,1.554939410879696,120.0,94.0,4.175384069792926
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,COBYLA,O0,3,3,1.409716826497513,1.409716826497513,0.0024811563038918006,0.0013060832337971563,0.48676523548309614,1.3080440677506016,120.0,91.0,5.900087423622608
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,COBYLA,O3,2,3,0.9024479810922912,1.5380665284538586,0.01583884790984427,0.005994467965136555,0.37846616112847653,2.113113532211366,120.0,94.0,4.33748051058501
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,COBYLA,O3,3,3,0.8738656683238305,1.6695005028685062,0.019035422044778948,0.006958586812717743,0.3779940033690872,2.192952453869962,120.0,88.0,6.4911265932023525
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,Nelder-Mead,O0,2,3,1.8588548445790685,1.8588548445790685,0.004499054242789622,0.0015081117387674057,0.33830765454659817,1.5665111728947232,120.0,67.0,4.462604439817369
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,Nelder-Mead,O0,3,3,1.3869555422048427,1.3869555422048427,0.0032897641028743286,0.001552075773714988,0.4717893822109951,1.4305547010063482,120.0,76.0,5.635520375333726
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,Nelder-Mead,O3,2,3,1.0500213251120698,1.9819746346426956,0.007348013585222373,0.0020258992830308313,0.2757070682483668,1.7795598942026054,120.0,69.0,3.8097701352089643
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,Nelder-Mead,O3,3,3,0.8797168965644655,1.5145870366614491,0.02057773015018538,0.007751746922236,0.3831008471107696,2.22678741135573,120.0,74.0,5.747942739166319
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,SLSQP,O0,2,3,1.3870697561892846,1.3870697561892846,0.008408834636253021,0.0033410061538446363,0.38698591500098206,1.8381257555873887,104.0,20.0,3.408140756189823
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,SLSQP,O0,3,3,1.2974962186172612,1.2974962186172612,0.004268711982478703,0.0027320769879560112,0.40066846880129375,1.5436867968100454,120.0,16.0,5.391913328319788
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,SLSQP,O3,2,3,1.058764416510045,1.9028268145891172,0.002872906629412275,0.0009547957937264916,0.33234487468248103,1.3717114551127512,120.0,22.0,3.900203294120729
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,SLSQP,O3,3,3,0.8900023855356329,1.5217853661532321,0.016676787481363,0.0060791851072446775,0.3660835396073178,2.135502338045706,120.0,16.0,5.599661919288337
