split,alpha,reference_alpha,n_graphs,delta_G_vs_alpha1_mean,delta_G_vs_alpha1_median,delta_G_vs_alpha1_ci_lower,delta_G_vs_alpha1_ci_upper,delta_G_vs_alpha1_bootstrap_se
discovery,0.02,1.0,10,0.21146058422509234,0.23229722048210122,0.08434482219966968,0.3174971349359882,0.059969073381446865
discovery,0.05,1.0,10,0.26360593469782134,0.27888974890732166,0.134457939299254,0.38637315939495664,0.06417048914359365
discovery,0.1,1.0,10,0.3022043306213321,0.280637022713663,0.20119397159755673,0.40227511375006486,0.05063854147928386
discovery,0.25,1.0,10,0.2693353718063546,0.2731334159175546,0.17713642449732148,0.3659185060581222,0.047943901309726596
discovery,0.5,1.0,10,0.1578252409210299,0.13151927325408974,0.07819982783559136,0.2450407546342212,0.042702212342485946
discovery,1.0,1.0,10,0.0,0.0,0.0,0.0,0.0
heldout,0.05,1.0,15,0.2934685592744797,0.30363899055692656,0.1601888610302199,0.4338339211350535,0.06984734737748612
heldout,0.25,1.0,15,0.2919086350154539,0.2406674855515396,0.19431210424808001,0.4007246373249252,0.05283122235783915
heldout,0.5,1.0,15,0.12336878990208709,0.09675041625388303,-0.0031101523277433166,0.23696233520304366,0.06100628134645228
heldout,1.0,1.0,15,0.0,0.0,0.0,0.0,0.0
