split,alpha,reference_alpha,comparison,metric,n_graphs,positive_graphs,zero_graphs,negative_graphs,graph_delta_mean,graph_delta_median,graph_delta_ci_lower,graph_delta_ci_upper,graph_delta_bootstrap_se
discovery,0.02,0.1,alpha_0.02_minus_alpha_0.1,G_feas,10,3,0,7,-0.09074374639623987,-0.05622530405280535,-0.1570908786135294,-0.0285888187559445,0.03302957722056727
discovery,0.02,0.1,alpha_0.02_minus_alpha_0.1,P_feas,10,2,0,8,-0.017496457618907096,-0.004079728403361049,-0.03243532143681088,-0.004859068485292216,0.007082373889073387
discovery,0.02,0.1,alpha_0.02_minus_alpha_0.1,P_opt,10,2,0,8,-0.009314135269444721,-0.0013323640700899989,-0.0188505849915074,-0.0012975323707265774,0.004489780381815353
discovery,0.02,0.1,alpha_0.02_minus_alpha_0.1,P_opt_given_feas,10,5,0,5,0.020268863676077407,0.004128813599111214,-0.0004460547868932463,0.045115200671381445,0.011691517879298311
discovery,0.05,0.1,alpha_0.05_minus_alpha_0.1,G_feas,10,3,0,7,-0.03859839592351087,-0.02197997995291523,-0.08509492540743635,0.0016675379222696558,0.02230289071121772
discovery,0.05,0.1,alpha_0.05_minus_alpha_0.1,P_feas,10,3,0,7,-0.008482917117292188,-0.0009955313359667987,-0.021686179885838763,0.0012972443267571549,0.006050162483337148
discovery,0.05,0.1,alpha_0.05_minus_alpha_0.1,P_opt,10,3,0,7,-0.005588919200820151,-0.0003753158981883997,-0.01427102291757167,0.0008529566565809393,0.003857103042753392
discovery,0.05,0.1,alpha_0.05_minus_alpha_0.1,P_opt_given_feas,10,5,0,5,0.012003436345970137,0.001219876088671773,-0.0007124264251301463,0.026933492998110924,0.007183282421509774
discovery,0.1,0.1,alpha_0.1_minus_alpha_0.1,G_feas,10,0,10,0,0.0,0.0,0.0,0.0,0.0
discovery,0.1,0.1,alpha_0.1_minus_alpha_0.1,P_feas,10,0,10,0,0.0,0.0,0.0,0.0,0.0
discovery,0.1,0.1,alpha_0.1_minus_alpha_0.1,P_opt,10,0,10,0,0.0,0.0,0.0,0.0,0.0
discovery,0.1,0.1,alpha_0.1_minus_alpha_0.1,P_opt_given_feas,10,0,10,0,0.0,0.0,0.0,0.0,0.0
discovery,0.25,0.1,alpha_0.25_minus_alpha_0.1,G_feas,10,2,0,8,-0.0328689588149776,-0.04283488776290034,-0.07392637461608437,0.013871152397291258,0.02262396367067275
discovery,0.25,0.1,alpha_0.25_minus_alpha_0.1,P_feas,10,3,0,7,0.0034017015354535544,-0.0021868037817949493,-0.004283016877733727,0.012874485332746264,0.004429416035113879
discovery,0.25,0.1,alpha_0.25_minus_alpha_0.1,P_opt,10,4,0,6,-0.00011379766363088048,-0.0009043762864648502,-0.003451055116623642,0.003252655349827521,0.0017068249856025963
discovery,0.25,0.1,alpha_0.25_minus_alpha_0.1,P_opt_given_feas,10,5,0,5,-0.008657073015724593,-0.0012077751372700507,-0.020969807624777185,0.0023019148407448452,0.005975576635390668
discovery,0.5,0.1,alpha_0.5_minus_alpha_0.1,G_feas,10,2,0,8,-0.14437908970030228,-0.14922386852665548,-0.22024155829274467,-0.06964019403835456,0.038392291367620186
discovery,0.5,0.1,alpha_0.5_minus_alpha_0.1,P_feas,10,1,0,9,-0.005607420275707676,-0.004873274415435249,-0.01055140388445174,-0.0005215791178340728,0.0025391058461049993
discovery,0.5,0.1,alpha_0.5_minus_alpha_0.1,P_opt,10,1,0,9,-0.004998047664261011,-0.003435749989866849,-0.008560364183282279,-0.0020611051119904613,0.0016722219865629726
discovery,0.5,0.1,alpha_0.5_minus_alpha_0.1,P_opt_given_feas,10,5,0,5,-0.00368659603847038,-0.0003534250379864379,-0.01284909825075811,0.00500431699329682,0.0045718225488133105
discovery,1.0,0.1,alpha_1_minus_alpha_0.1,G_feas,10,1,0,9,-0.30220433062133223,-0.280637022713663,-0.40236244247651737,-0.2032096453927788,0.050370447350822044
discovery,1.0,0.1,alpha_1_minus_alpha_0.1,P_feas,10,1,0,9,-0.015359073188814649,-0.01302367758693795,-0.024490565419153988,-0.00653002449367666,0.004573290492185143
discovery,1.0,0.1,alpha_1_minus_alpha_0.1,P_opt,10,1,0,9,-0.008808338068151431,-0.0051175756601809,-0.014977724614336739,-0.0034565527895399563,0.0029530295821237904
discovery,1.0,0.1,alpha_1_minus_alpha_0.1,P_opt_given_feas,10,5,0,5,-0.002001745766534535,-0.001565145509241278,-0.01208468000875974,0.008148796242410616,0.005144124039163273
