run_id,split,result_label,task_id,graph_id,size_stratum,m,dilution_score,alpha,seed,optimizer,depth,nfev_budget,actual_nfev,scipy_reported_nfev,nit,termination_reason,wall_time_s,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction,tail_fully_feasible,alpha1_minus_mean_endpoint_error
a2-015a3625737d29b0e3f5,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,S1,7,2.1072099696478683,0.25,1103,COBYLA,3,120,120,120,89,EVALUATION_BUDGET_EXHAUSTED,0.24805767368525267,0.7991584383930337,1.802681980098228,0.08728330470430352,0.08728330470430352,1.0,1.0481411507166172,0.3491332188172141,False,-1.0035235417051944
a2-019543d42f2a1ce165a1,heldout,POST_HOC_SENSITIVITY,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,S4,16,3.816479930623699,1.0,2207,COBYLA,3,120,120,120,93,EVALUATION_BUDGET_EXHAUSTED,4.792688577435911,1.2035336348192824,1.2035336348192707,0.04449878512565288,0.007805290978316306,0.17540458590669866,2.4648280849658137,0.044498785125652876,False,1.176836406102666e-14
a2-01c4803874686e0b5342,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-5b5a3995de2b,g-bd62d2d752385cc7,S4,16,4.11750992628768,1.0,2207,COBYLA,3,120,120,120,91,EVALUATION_BUDGET_EXHAUSTED,5.480604836717248,1.362312107272587,1.3623121072725817,0.024161527359644035,0.007878069637536851,0.32605842835479243,2.5006343108269644,0.024161527359644032,False,5.329070518200751e-15
a2-01cc96d4783abfb71b84,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-5b5a3995de2b,g-bd62d2d752385cc7,S4,16,4.11750992628768,0.25,1103,COBYLA,3,120,120,120,87,EVALUATION_BUDGET_EXHAUSTED,5.568016525357962,1.1122193492036112,2.062327374364037,0.006527461501769458,0.0014401830182344567,0.22063447143181977,1.932254245370423,0.02610984600707783,False,-0.9501080251604257
a2-01dcb421deade8e58912,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-5d31ef4af595,g-bd62d2d752385cc7,S4,16,4.214419939295737,0.5,3301,COBYLA,3,120,120,120,87,EVALUATION_BUDGET_EXHAUSTED,5.994222521781921,1.0622183635730251,1.4001396882679615,0.015334539956487724,0.004431898359522541,0.2890141062006557,2.4000906907680886,0.030669079912975447,False,-0.3379213246949364
a2-022644ab16af27eadfa9,heldout,POST_HOC_SENSITIVITY,task-v2-66ecfca58e61,g-b9a8415aa1799cc5,S5,19,4.719569917615643,1.0,1103,COBYLA,3,120,120,120,93,EVALUATION_BUDGET_EXHAUSTED,133.27601589635015,1.8885566920167465,1.8885566920165877,0.0015529596964755812,0.0004121968264515969,0.26542660919473404,1.9107301023684204,0.0015529596964755808,False,1.5876189252139739e-13
a2-029909ef837cb25489fc,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,3.010299956639812,0.1,1103,COBYLA,3,120,120,120,84,EVALUATION_BUDGET_EXHAUSTED,0.3182040499523282,1.0080837293637976,2.1173579881335662,0.014288273403633823,0.014288273403633823,1.0,1.1652797084133901,0.14288273403633822,False,-1.1092742587697686
a2-02ab56797f729723f3a1,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-e243a3cd3e64,g-bd62d2d752385cc7,S4,16,3.9133899436317554,0.1,1103,COBYLA,3,120,120,120,94,EVALUATION_BUDGET_EXHAUSTED,5.603349165059626,1.0614100663675088,2.178621680821515,0.00129912614320562,0.000143658361712693,0.1105807642037078,1.0270412660968975,0.012991261432056199,False,-1.117211614454006
a2-02c43bdf19c153f85703,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,16,4.515449934959718,0.02,3301,COBYLA,3,120,120,120,92,EVALUATION_BUDGET_EXHAUSTED,5.263034255243838,0.4299714048806446,1.7831409395741487,0.013112523563637783,0.004560562536403501,0.34780204697212935,2.633136216603557,0.6556261781818892,False,-1.353169534693504
a2-035884e96abdf009fc48,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-c95d7e1ff6e7,g-a87f1b9ac089cc45,S5,19,4.816479930623699,0.02,3301,COBYLA,3,120,120,120,89,EVALUATION_BUDGET_EXHAUSTED,104.78795629087836,0.7963713855859257,1.9315840970265081,0.005527916728759385,0.0017477585071845588,0.31616947087710623,2.559041422928936,0.2763958364379693,False,-1.1352127114405826
