endpoint_objective,alpha,shots,n_tasks,n_estimates,bias,mae,rmse,standard_deviation,empirical_error_p025,empirical_error_p975,relative_bias,relative_mae,relative_rmse,n_comparisons,ordering_n_tasks,ordering_preservation_probability
O0,0.02,1000,18,900,0.0034261887699194972,0.046237865294107006,0.08806475050535546,0.08804700535021168,-0.20426430456784367,0.20876238527833857,0.12615506725837933,0.21734732826597564,0.9362385551864033,600,12,0.895
O0,0.02,10000,18,900,0.0011857939640089687,0.014554736035700159,0.029059175565498467,0.029051115618622815,-0.06716244890461535,0.06831800215618643,0.041999744139552764,0.0723921315586307,0.29077379092916383,600,12,0.9683333333333334
O0,0.02,100000,18,900,0.000669959690103778,0.004673442429252494,0.008592368415151349,0.008570972696566474,-0.0171378632081204,0.024324947442873193,0.008493731183793745,0.02128790601637042,0.0765473998537872,600,12,0.9566666666666667
O0,0.05,1000,18,900,0.003736740418867842,0.025180634244117095,0.04555506398951854,0.04542679284086066,-0.10147815458799399,0.1174209891550911,0.04849523682501429,0.08281748024985065,0.2973958502599667,700,14,0.8971428571428571
O0,0.05,10000,18,900,0.0006466967843057149,0.006835153438374628,0.013061175267977457,0.013052408877824008,-0.030480842520737475,0.031012791066866833,0.005664999274126961,0.015910987134457447,0.056231330223484116,700,14,0.9585714285714285
O0,0.05,100000,18,900,0.0001320320087255208,0.0021846850788009454,0.003943099857673911,0.00394307994566174,-0.008593160841876753,0.009911336558907023,0.0007608892204259632,0.003945798044650032,0.01156337144280782,700,14,0.9771428571428571
O0,0.1,1000,18,900,-0.001637965862310634,0.028578389104851203,0.045255934225577416,0.04525142940997027,-0.10661669070893788,0.09835584267278438,0.0006613720650292376,0.06919563532265613,0.1507473444018677,850,17,0.9011764705882352
O0,0.1,10000,18,900,0.00029107961659527524,0.008840166744494797,0.014730381222562667,0.014735693775017392,-0.03606988840866002,0.030970264137214598,0.0019232289222454785,0.022030929323047788,0.05108355395695873,850,17,0.9670588235294117
O0,0.1,100000,18,900,-1.2043527608096008e-05,0.0027251780428211533,0.004461197882991419,0.004463662128016259,-0.010314961211350287,0.00938746207466471,9.36703636662271e-06,0.006445901061346239,0.014839051810180288,850,17,0.991764705882353
O0,0.25,1000,18,900,-0.001559790182874531,0.01657055216085581,0.025307487382823516,0.025273418637970693,-0.06134140211382009,0.05006651766225052,-0.002351555078426292,0.023111532496959408,0.036879775820090915,900,18,0.8455555555555555
O0,0.25,10000,18,900,0.0002800584729614887,0.00535154589481595,0.008800607281257339,0.008801040879991236,-0.01913641772999746,0.020005194581502853,0.0003927795228652805,0.007561028116013953,0.01341637323297967,900,18,0.9211111111111111
O0,0.25,100000,18,900,-4.416656042569396e-05,0.0015828647340470577,0.0024956648233822694,0.002496661397676167,-0.005644612383858233,0.005036619703033554,-7.148291123783728e-05,0.0022170926483760095,0.0037479805602302686,900,18,0.9866666666666667
O0,0.5,1000,18,900,-0.0008713162112317968,0.01159007917452739,0.016963382684485273,0.016950410042398875,-0.038721605757204694,0.03612591356804991,-0.0008934323540912486,0.013795321367565474,0.02322623692307621,900,18,0.8477777777777777
O0,0.5,10000,18,900,0.00016736917110605714,0.003692145698899844,0.0057292474526337445,0.005729986453874599,-0.012466900283956778,0.014205988124166222,0.00016585310902198237,0.004366634855985235,0.007733123387589204,900,18,0.9588888888888889
O0,0.5,100000,18,900,-1.7492533041102185e-05,0.001161596189921144,0.0017496346420729143,0.0017505199776760689,-0.004091618270829264,0.0036538814014734043,-1.4935263168980267e-05,0.0014128414623621212,0.0024853433447586345,900,18,1.0
O3,0.02,1000,18,900,7.697401278992531e-05,0.031186779478829738,0.0762654433995482,0.07630780956493494,-0.2262580412463432,0.19681421443143343,0.023526627714552877,0.10511416582538445,0.3238197444185812,600,12,0.895
O3,0.02,10000,18,900,-0.0006689018941158617,0.009662841689455711,0.02529911503110385,0.025304332560477046,-0.0663904287832943,0.05529272139173439,0.0005532407439173401,0.02683158457716481,0.06662361855349272,600,12,0.9683333333333334
O3,0.02,100000,18,900,8.089521657246423e-05,0.002857987438529857,0.007666956909258665,0.0076707928645899605,-0.01796286503706741,0.019259600286473142,0.000400091016546237,0.00795259585540504,0.0203249660086253,600,12,0.9566666666666667
O3,0.05,1000,18,900,-0.0006864599187569366,0.025550745532905476,0.05066181155917705,0.050685326972563116,-0.12789004747996102,0.1074200011530152,0.005714035381625316,0.053700881976006656,0.12344960647831482,700,14,0.8971428571428571
O3,0.05,10000,18,900,0.0003993393802541561,0.008216852696632998,0.016505048172098087,0.016509390892864056,-0.03952285072814167,0.04136991273116628,0.0010720083374860616,0.015722731672616834,0.03243018086905631,700,14,0.9585714285714285
O3,0.05,100000,18,900,-3.6488954514413195e-05,0.002484545878832496,0.005060559215462474,0.005063241356361591,-0.012482908655659847,0.012308891731481305,-0.0001773822471101288,0.004790317199355165,0.010194535725475384,700,14,0.9771428571428571
