regime,shots_per_evaluation,graph_id,graph_delta,n_tasks
EXACT_CANONICAL,0,g-28cd30a80498cca2,0.6391203843190407,1
EXACT_CANONICAL,0,g-4a80ed839b63ddd7,0.37019605453224314,1
EXACT_CANONICAL,0,g-64377640089a831f,0.07567593940758499,1
EXACT_CANONICAL,0,g-686fdbb6f8f550f1,0.9914321263251906,1
EXACT_CANONICAL,0,g-8c950d2bd101a5de,0.01520890655968854,1
EXACT_CANONICAL,0,g-a529fbde22ed09f4,-0.05400592453311681,1
EXACT_CANONICAL,0,g-b9a8415aa1799cc5,0.6956600531869652,1
EXACT_CANONICAL,0,g-c45ecbe0242c6377,0.11553439776768193,1
EXACT_CANONICAL,0,g-f0c91af33253395a,0.556784543548178,1
EXACT_CANONICAL,0,g-f6afb3a3727100d3,0.19313163140972422,1
SHOT_1000,1000,g-28cd30a80498cca2,0.0656595142028582,1
SHOT_1000,1000,g-4a80ed839b63ddd7,-0.05336442135537611,1
SHOT_1000,1000,g-64377640089a831f,-0.0008752510414831161,1
SHOT_1000,1000,g-686fdbb6f8f550f1,1.0045133292550064,1
SHOT_1000,1000,g-8c950d2bd101a5de,-0.011808981011467878,1
SHOT_1000,1000,g-a529fbde22ed09f4,-0.06549466041143226,1
SHOT_1000,1000,g-b9a8415aa1799cc5,0.08648429952450254,1
SHOT_1000,1000,g-c45ecbe0242c6377,0.0002361945868012416,1
SHOT_1000,1000,g-f0c91af33253395a,0.17618767055803275,1
SHOT_1000,1000,g-f6afb3a3727100d3,0.044132975738325975,1
SHOT_10000,10000,g-28cd30a80498cca2,0.018601732080735456,1
SHOT_10000,10000,g-4a80ed839b63ddd7,0.3115678451201651,1
SHOT_10000,10000,g-64377640089a831f,0.050011138609085126,1
SHOT_10000,10000,g-686fdbb6f8f550f1,0.9487843424556892,1
SHOT_10000,10000,g-8c950d2bd101a5de,0.0021111165540033117,1
SHOT_10000,10000,g-a529fbde22ed09f4,-0.002503266269324289,1
SHOT_10000,10000,g-b9a8415aa1799cc5,-0.31634910185591325,1
SHOT_10000,10000,g-c45ecbe0242c6377,0.13035582608659102,1
SHOT_10000,10000,g-f0c91af33253395a,0.435696259594605,1
SHOT_10000,10000,g-f6afb3a3727100d3,0.1278975600516561,1
