run_id,training_regime,task_id,graph_id,size_stratum,m,dilution_score,objective,alpha,shots_per_evaluation,seed,nfev_budget,actual_nfev,scipy_reported_nfev,nit,termination_reason,optimizer_status,optimizer_success,wall_time_s,total_sampled_bitstrings,sampled_objective_terminal,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,terminal_parameters
a3train-00e315e1c4cf80a7f860,SHOT_1000,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,S4,16,3.816479930623699,O3,0.1,1000,7304,240,52,52,26,EARLY_CONVERGENCE,0,True,2.24661232996732,52000,0.34529069767441867,1.258100565319297,0.058344499100125465,0.010587427669988343,0.18146402545712445,2.582479846307931,"[6.5342505797580515, 7.574893062137805, 0.029005638916019795, 2.6589734312828526, -0.23660177762759613, 0.003657422067486086]"
a3train-05b586a74b43b44c6480,SHOT_1000,task-v2-07632e755d52,g-a529fbde22ed09f4,S1,7,1.630088714928206,O0,0.1,1000,7302,240,50,50,24,EARLY_CONVERGENCE,0,True,0.080922263674438,50000,1.1790763858122006,1.2414901853020033,0.2538150337002495,0.10124185235425458,0.39888044013113577,1.034606057114379,"[2.2893673754099595, 4.2682834329584685, -0.0004222830049803397, 3.178304153961202, -0.49319582284815233, 0.0018590226897673948]"
a3train-079861abbd26e93f92f7,SHOT_1000,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O3,0.1,1000,7301,240,53,53,26,EARLY_CONVERGENCE,0,True,0.1372991017997265,53000,1.0884302325581394,1.7854598679662292,0.0010773525628211067,0.0010773525628211067,1.0,0.042657805742282756,"[2.38463975406501, 4.166016232600538, 0.5010032669251085, 3.755828624290574, -1.0187781157462874, 0.0027142272833108596]"
a3train-08c4469c60700e7ed98f,SHOT_1000,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,2.4082399653118496,O0,0.1,1000,7303,240,48,48,23,EARLY_CONVERGENCE,0,True,0.11422310769557953,48000,1.3660513001592698,1.4200357218300175,0.15842943505842969,0.042422062216185004,0.26776629103385685,1.6080758388774263,"[6.042586230205549, 4.3715704806504, 0.0002375855227901779, 2.6163389972960167, 0.13058589827294392, -5.490665997039384e-05]"
a3train-0cb97aadac9f51b786ef,SHOT_10000,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,2.4082399653118496,O3,0.1,10000,7302,240,46,46,23,EARLY_CONVERGENCE,0,True,0.16176802292466164,460000,0.09999999999999998,1.4157224995496693,0.15405784230241815,0.04541441382011941,0.29478806882787667,1.5959237762541723,"[6.542175273622504, 4.371943687019119, -0.027478531606949765, 2.6157204088543557, 0.13080404929750636, 3.6915090469232686e-05]"
a3train-0e59c361018080b93451,SHOT_1000,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,2.4082399653118496,O3,0.1,1000,7305,240,46,46,23,EARLY_CONVERGENCE,0,True,0.13782425690442324,46000,0.09860465116279066,1.4229215822256944,0.15779737793907836,0.04200488266298877,0.26619506110681895,1.6063397477337271,"[6.017374650580962, 4.372050977444406, -5.862324083020862e-05, 2.61589647574229, 0.1309839977622125, -0.00010198747139183081]"
a3train-0e5d2695ef2eb3c6fe15,SHOT_10000,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O0,0.1,10000,7304,240,69,69,39,EARLY_CONVERGENCE,0,True,0.226628297008574,690000,1.6245059039448937,1.6379269950731308,0.0015830570387303773,0.0015830570387303773,1.0,0.2097965197394278,"[2.3236557609264255, 4.618087496763224, 0.5900307522991283, 3.8756282072547665, -0.992560323522638, -0.16597324952176348]"
a3train-0f995407d3dc2c1a2a95,SHOT_10000,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O3,0.1,10000,7301,240,54,54,27,EARLY_CONVERGENCE,0,True,0.37024236749857664,540000,0.16502616279069768,1.4412591904663083,0.0888447979116903,0.013631378717474859,0.1534291150172252,2.0169239074595726,"[6.045286941820132, 4.776914908096857, -0.002768244706377032, 2.532892488277876, 0.1985752828574823, -0.005653952784781928]"
a3train-10143c1ad55164f5a1a1,SHOT_10000,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,4.640388671568018,O0,0.1,10000,7303,240,47,47,23,EARLY_CONVERGENCE,0,True,63.04431834537536,470000,1.56216455572369,1.575683012793126,0.006908253330342374,0.0022403092628335425,0.32429460179082814,2.4797569266291184,"[4.095248557243267, 4.103248728566759, 0.009119740934875362, 3.407497530697008, -0.8831786239302636, 0.010197333341883835]"
a3train-111e0129c03f32fb8d80,SHOT_1000,task-v2-8b88de51ba21,g-f0c91af33253395a,S3,13,3.9133899436317554,O0,0.1,1000,7301,240,50,50,24,EARLY_CONVERGENCE,0,True,0.3218780504539609,50000,1.564777648966659,1.609417469861903,0.024713319454204123,0.024713319454204123,1.0,2.3063210267036585,"[5.827708367884347, 4.132969780089255, -4.3822432568214194e-05, 2.41205505917881, 0.1594865155907157, -0.002671306066071662]"
