training_regime,shots_per_evaluation,graph_id,objective,n_tasks,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
EXACT_CANONICAL,0,g-28cd30a80498cca2,O0,1,1.402244576899763,0.0022335843770246,0.0022335843770246,1.0,2.1654822938716976
EXACT_CANONICAL,0,g-28cd30a80498cca2,O3,1,1.579375574796824,0.0097302219671669,0.0097302219671669,1.0,2.8046026781907383
EXACT_CANONICAL,0,g-4a80ed839b63ddd7,O0,1,1.251501781845878,0.0157054974347305,0.0037254278882773,0.2372053418721428,2.8364403677777013
EXACT_CANONICAL,0,g-4a80ed839b63ddd7,O3,1,1.4338314453854597,0.0368339039046541,0.0054388822625492,0.1476596745386541,3.2066364223099444
EXACT_CANONICAL,0,g-64377640089a831f,O0,1,1.2517198000817418,0.0925268041383781,0.0147203687033617,0.159093020022033,2.0345594655792265
EXACT_CANONICAL,0,g-64377640089a831f,O3,1,1.3588494457575409,0.1101396016413802,0.0171826009709854,0.1560074733784926,2.1102354049868115
EXACT_CANONICAL,0,g-686fdbb6f8f550f1,O0,1,1.5161276199986684,0.0057796247532504,0.0057796247532504,1.0,0.7721995990598289
EXACT_CANONICAL,0,g-686fdbb6f8f550f1,O3,1,1.950013037474416,0.056667201908723,0.056667201908723,1.0,1.7636317253850196
EXACT_CANONICAL,0,g-8c950d2bd101a5de,O0,1,1.4042821325737649,0.1592180757948998,0.0452542741930849,0.284228244608233,1.610232336328778
EXACT_CANONICAL,0,g-8c950d2bd101a5de,O3,1,1.408031376102623,0.1648926423838169,0.0458311644047467,0.2779454785985331,1.6254412428884666
EXACT_CANONICAL,0,g-a529fbde22ed09f4,O0,1,1.1858802504577264,0.2865874380282492,0.1084897193116616,0.3785571344580974,1.087345865000073
EXACT_CANONICAL,0,g-a529fbde22ed09f4,O3,1,1.2373877527038526,0.2530761538121439,0.1024087301309312,0.4046557867595393,1.033339940466956
EXACT_CANONICAL,0,g-b9a8415aa1799cc5,O0,1,1.4733837852881788,0.001198725611245,0.001198725611245,1.0,2.798289701915776
EXACT_CANONICAL,0,g-b9a8415aa1799cc5,O3,1,1.7071998725480655,0.0059481215873741,0.0059481215873741,1.0,3.4939497551027414
EXACT_CANONICAL,0,g-c45ecbe0242c6377,O0,1,1.6905861842243344,0.0774452607328261,0.0774452607328261,1.0,0.9962048158805032
EXACT_CANONICAL,0,g-c45ecbe0242c6377,O3,1,1.7691957204418498,0.1010483540964656,0.1010483540964656,1.0,1.1117392136481852
EXACT_CANONICAL,0,g-f0c91af33253395a,O0,1,1.5970289288938828,0.0199141116849507,0.0199141116849507,1.0,2.212550882098493
EXACT_CANONICAL,0,g-f0c91af33253395a,O3,1,1.9080745986019192,0.071770419055862,0.071770419055862,1.0,2.769335425646671
EXACT_CANONICAL,0,g-f6afb3a3727100d3,O0,1,1.192381782683375,0.0509013476776637,0.0089816439600971,0.1764519874203346,2.5232092116092697
EXACT_CANONICAL,0,g-f6afb3a3727100d3,O3,1,1.2370592521778825,0.0794073883065223,0.0142815405666145,0.179851533606496,2.716340843018994
SHOT_1000,1000,g-28cd30a80498cca2,O0,1,1.515729115533631,0.0018788994592420008,0.0018788994592420008,1.0,2.0903834720522543
SHOT_1000,1000,g-28cd30a80498cca2,O3,1,1.5150306835276153,0.0021855616204011956,0.0021855616204011956,1.0,2.1560429862551125
SHOT_1000,1000,g-4a80ed839b63ddd7,O0,1,1.5792296007390505,0.006016863891673238,0.0017365048105453104,0.2991044360645328,2.419758858934058
SHOT_1000,1000,g-4a80ed839b63ddd7,O3,1,1.6056179458853053,0.00532115323971488,0.0015889621911949405,0.2521506191712692,2.366394437578682
SHOT_1000,1000,g-64377640089a831f,O0,1,1.3496979181389672,0.0777736804996966,0.012157179155437457,0.15567804130352786,1.959124555265012
SHOT_1000,1000,g-64377640089a831f,O3,1,1.3522319352213414,0.07761709792693935,0.012120160458273896,0.15615322888885322,1.958249304223529
SHOT_1000,1000,g-686fdbb6f8f550f1,O0,1,1.7759701362718776,0.0007227058877227663,0.0007227058877227663,1.0,-0.1307384505280371
SHOT_1000,1000,g-686fdbb6f8f550f1,O3,1,2.187681159979031,0.007302556437533288,0.007302556437533288,1.0,0.8737748787269692
SHOT_1000,1000,g-8c950d2bd101a5de,O0,1,1.4284301216580952,0.15638133612222394,0.041798505904989895,0.26776629103385685,1.6024248847338465
SHOT_1000,1000,g-8c950d2bd101a5de,O3,1,1.4420953602406423,0.1521864331413721,0.040695740853539164,0.26619506110681895,1.5906159037223786
SHOT_1000,1000,g-a529fbde22ed09f4,O0,1,1.2676590144854483,0.24587625782505146,0.09839141550293165,0.39940961743320585,1.0208053095742846
