contrast_type,objective,budget,depth,comparison,metric,n_graphs,positive_graphs,zero_graphs,negative_graphs,graph_delta_mean,graph_delta_median,graph_delta_ci_lower,graph_delta_ci_upper,graph_delta_bootstrap_se
DEPTH,O0,120,3,p3_minus_p2,objective_value,10,1,0,9,-0.20835834945537018,-0.22256750097050348,-0.276524830871513,-0.13474943151820667,0.0362703302587567
DEPTH,O0,120,3,p3_minus_p2,G_feas,10,1,0,9,-0.3596263412428399,-0.39674489133611335,-0.5257486025077218,-0.1950689854495458,0.08447713220517215
DEPTH,O0,120,3,p3_minus_p2,P_feas,10,4,0,6,0.0013235878278287801,-0.0022960001686670502,-0.009765957077354797,0.014924444134628217,0.0063330687708826145
DEPTH,O0,120,3,p3_minus_p2,P_opt,10,4,0,6,-0.00335853128688435,-0.00035103755844165,-0.009806501563859298,0.0013271904149815385,0.002918927858914534
DEPTH,O0,120,3,p3_minus_p2,P_opt_given_feas,10,8,0,2,0.10439558318116098,0.06380312631139051,0.038293161592931814,0.17603629803357504,0.03526119622010622
DEPTH,O0,120,4,p4_minus_p3,objective_value,10,5,0,5,-0.022969173278976983,-0.003285077399740044,-0.061229222009660335,0.012831351389886165,0.01918881752461872
DEPTH,O0,120,4,p4_minus_p3,G_feas,10,10,0,0,0.7206341346315394,0.7399794481661688,0.5784721027677907,0.8623451612367286,0.07276524802484063
DEPTH,O0,120,4,p4_minus_p3,P_feas,10,9,0,1,0.030054531528343427,0.013665859853251399,0.011052935293029205,0.053575256268558406,0.011069126194696624
DEPTH,O0,120,4,p4_minus_p3,P_opt,10,10,0,0,0.01640492819178569,0.006931246593371201,0.0059908181396104805,0.0288498803500191,0.00584872842172271
DEPTH,O0,120,4,p4_minus_p3,P_opt_given_feas,10,3,0,7,-0.07178087486164841,-0.03720187498668065,-0.13203320913371833,-0.01980425026432526,0.02858466452734153
DEPTH,O0,240,3,p3_minus_p2,objective_value,10,1,0,9,-0.16789851415120585,-0.1916469430292359,-0.2306879868074408,-0.10187426813996205,0.03288604249922458
