graph_id,size_stratum,objective,depth,budget,n_tasks,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
g-3ff7063ef9ea5cfb,S4,O0,2,120,3,1.819094793445701,1.819094793445701,0.0037951426836533345,0.001542555575103119,0.5380993961992306,1.8346081109735868
g-3ff7063ef9ea5cfb,S4,O0,2,240,3,1.7613927399016607,1.7613927399016607,0.0051872095755788805,0.00203259776060601,0.5551527631605145,1.9242648389943593
g-3ff7063ef9ea5cfb,S4,O0,2,480,3,1.7357289608234465,1.7357289608234465,0.0058727331002327715,0.002267784796100474,0.550223824005239,1.9556673430070655
g-3ff7063ef9ea5cfb,S4,O0,3,120,3,1.5354791508901922,1.5354791508901922,0.0016927851251999904,0.0009676397006436662,0.670626189855061,1.401907660275364
g-3ff7063ef9ea5cfb,S4,O0,3,240,3,1.5175029591503497,1.5175029591503497,0.0019973533834146974,0.0011851772626098568,0.6998720654928275,1.432437323103474
g-3ff7063ef9ea5cfb,S4,O0,3,480,3,1.4888217874976668,1.4888217874976668,0.00260716906941639,0.0013748689274027902,0.7394892361696348,1.4910606019726877
g-3ff7063ef9ea5cfb,S4,O0,4,120,3,1.4945247410174158,1.4945247410174158,0.012472824333759869,0.005787499564032526,0.5649223493177444,2.321673913460968
g-3ff7063ef9ea5cfb,S4,O0,4,240,3,1.457191040151116,1.457191040151116,0.012993240136745498,0.005882587280640314,0.562355906318409,2.333636064765964
g-3ff7063ef9ea5cfb,S4,O0,4,480,3,1.4387609637879921,1.4387609637879921,0.013559158746786676,0.0060959530733776844,0.5569963565877504,2.3564061621514942
g-3ff7063ef9ea5cfb,S4,O3,2,120,3,1.0515030675050776,2.0647049486356037,0.003763178288531011,0.001795350404123571,0.4347072907938734,1.8629218488054542
g-3ff7063ef9ea5cfb,S4,O3,2,240,3,1.0297490198231498,2.02910141764085,0.005522259741430623,0.002438691099439783,0.45013946833734725,1.9814454072761738
g-3ff7063ef9ea5cfb,S4,O3,2,480,3,0.9991663720449165,1.9745780904160126,0.0074281402278569,0.003538726924630959,0.46745642977271556,2.047297538056951
g-3ff7063ef9ea5cfb,S4,O3,3,120,3,0.9316986913417499,1.765881849904634,0.012863947096248786,0.005649832114798452,0.5821598733928718,2.3324838870800813
g-3ff7063ef9ea5cfb,S4,O3,3,240,3,0.9263739631828978,1.7646146957155275,0.013476731071666434,0.005864068593250465,0.5832112040238936,2.351739012770796
g-3ff7063ef9ea5cfb,S4,O3,3,480,3,0.9101745270400753,1.7365451038413144,0.014908152560982185,0.0064169043101550026,0.5865312786250761,2.388797646939774
g-3ff7063ef9ea5cfb,S4,O3,4,120,3,0.8326927104826597,1.709481525287977,0.02321882254913669,0.009882013555359425,0.5976142345372267,2.579392203469261
