task_id,graph_id,size_stratum,m,objective,depth,budget,seed_count,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,median_actual_nfev,median_nit,median_wall_time_s
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O0,2,120,3,1.4826812389545612,1.4826812389545612,0.028031606450380244,0.017217718415186947,0.6808578329714144,0.9808266891754022,440.0,364.0,0.9226512033492327
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O0,2,240,3,1.4826736068406765,1.4826736068406765,0.026760766618885025,0.01650429791822343,0.6792507938932227,0.960677252480157,440.0,364.0,0.9226512033492327
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O0,2,480,3,1.4826736068406765,1.4826736068406765,0.014995299623767718,0.010268346393058665,0.684771004960996,0.7091338498182251,440.0,364.0,0.9226512033492327
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O0,3,120,3,1.439017327653732,1.439017327653732,0.005974626107299255,0.005150305091011025,0.8620296899782316,0.30948943419848124,480.0,386.0,1.1840188708156347
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O0,3,240,3,1.4342701491355365,1.4342701491355365,0.003126849686939769,0.0029111805777790947,0.9310267103463651,0.028285706379694405,480.0,386.0,1.1840188708156347
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O0,3,480,3,1.4325762530622967,1.4325762530622967,0.0013295366765793517,0.0012514231865824329,0.9412475854386431,-0.3431209758057775,480.0,386.0,1.1840188708156347
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O0,4,120,3,1.599803939882955,1.599803939882955,0.04572798629600376,0.029412776424466682,0.7480814512874271,1.1933607788794591,480.0,395.0,1.414671684615314
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O0,4,240,3,1.5165144789161833,1.5165144789161833,0.0515612586326216,0.0327882758799453,0.7615116241246179,1.2455022120470283,480.0,395.0,1.414671684615314
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O0,4,480,3,1.4880470296298614,1.4880470296298614,0.05425654369794914,0.037119361830236744,0.7374580228646237,1.2676308263859366,480.0,395.0,1.414671684615314
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O3,2,120,3,0.8134327529818054,1.7022156567684164,0.0316043607346482,0.019115676957662125,0.6048430189162283,1.032925712144046,480.0,401.0,1.0540300672873855
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O3,2,240,3,0.8130026750198013,1.7054030943891432,0.03162032147857167,0.019088297657903715,0.6036718403017943,1.033144982938857,480.0,401.0,1.0540300672873855
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O3,2,480,3,0.8125962847851476,1.7096195817300806,0.03165795705933914,0.019099747314956953,0.6033158513405243,1.0336615876049604,480.0,401.0,1.0540300672873855
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O3,3,120,3,0.6403386201636824,1.716894517586389,0.048046048916903714,0.03898366091437314,0.7226961026141253,1.214836381039396,480.0,396.0,1.2419093316420913
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O3,3,240,3,0.6388354633364275,1.7185494157955623,0.04817828098156637,0.03909861923585434,0.7221363584414416,1.2160300020752381,480.0,396.0,1.2419093316420913
