depth,budget,graph_id,graph_delta,n_tasks
2,120,g-3ff7063ef9ea5cfb,0.02831373783186734,3
2,120,g-548c8c6335dd2a2e,-0.09267858387914463,2
2,120,g-553bb3c5ba0f2136,0.5951880266089915,2
2,120,g-60667963f6db3f1b,-0.07479012971822807,2
2,120,g-6aa6775bed3bc2cc,0.38302770814797976,3
2,120,g-8a16a856f5377a40,0.16042849973119222,2
2,120,g-a712031e7959d564,0.3857966240283788,2
2,120,g-a87f1b9ac089cc45,0.049829336153688564,3
2,120,g-bd62d2d752385cc7,0.16477815415956476,3
2,120,g-e0c69f84d376b633,0.1477889223780553,2
2,240,g-3ff7063ef9ea5cfb,0.0571805682818145,3
2,240,g-548c8c6335dd2a2e,-0.11447705081282494,2
2,240,g-553bb3c5ba0f2136,0.5684422852136626,2
2,240,g-60667963f6db3f1b,0.011882449419767849,2
2,240,g-6aa6775bed3bc2cc,0.5804507363002763,3
2,240,g-8a16a856f5377a40,0.11428243481016376,2
2,240,g-a712031e7959d564,0.3737369774618333,2
2,240,g-a87f1b9ac089cc45,0.28850809004090266,3
2,240,g-bd62d2d752385cc7,0.14328772524797037,3
2,240,g-e0c69f84d376b633,0.1648366736892155,2
2,480,g-3ff7063ef9ea5cfb,0.09163019504988568,3
2,480,g-548c8c6335dd2a2e,-0.11280729970100467,2
2,480,g-553bb3c5ba0f2136,0.014993295984814248,2
2,480,g-60667963f6db3f1b,0.15249988283025484,2
2,480,g-6aa6775bed3bc2cc,0.6356921848237929,3
2,480,g-8a16a856f5377a40,0.18362932787246777,2
2,480,g-a712031e7959d564,0.33442610059173494,2
2,480,g-a87f1b9ac089cc45,0.6469285456076181,3
2,480,g-bd62d2d752385cc7,0.1904778791790697,3
2,480,g-e0c69f84d376b633,0.3286812165017161,2
3,120,g-3ff7063ef9ea5cfb,0.9305762268047172,3
3,120,g-548c8c6335dd2a2e,0.22215583610367978,2
3,120,g-553bb3c5ba0f2136,0.5386975700765451,2
3,120,g-60667963f6db3f1b,1.1626387707166368,2
3,120,g-6aa6775bed3bc2cc,0.9911039731145624,3
3,120,g-8a16a856f5377a40,0.9271438347262404,2
3,120,g-a712031e7959d564,1.1565431095041458,2
3,120,g-a87f1b9ac089cc45,0.6843516799266505,3
3,120,g-bd62d2d752385cc7,0.5438570673063811,3
3,120,g-e0c69f84d376b633,0.8734676921691462,2
3,240,g-3ff7063ef9ea5cfb,0.919301689667322,3
3,240,g-548c8c6335dd2a2e,0.21047715900349906,2
3,240,g-553bb3c5ba0f2136,0.3197383339601506,2
3,240,g-60667963f6db3f1b,1.1585474247835117,2
3,240,g-6aa6775bed3bc2cc,1.320168604866958,3
3,240,g-8a16a856f5377a40,1.1579229395690231,2
3,240,g-a712031e7959d564,1.2268527127201772,2
3,240,g-a87f1b9ac089cc45,0.9468463315878198,3
3,240,g-bd62d2d752385cc7,0.5413866492346758,3
3,240,g-e0c69f84d376b633,1.0263912330946954,2
3,480,g-3ff7063ef9ea5cfb,0.8977370449670863,3
3,480,g-548c8c6335dd2a2e,0.14746770702530626,2
3,480,g-553bb3c5ba0f2136,0.3046345973809044,2
3,480,g-60667963f6db3f1b,1.1967160338924523,2
3,480,g-6aa6775bed3bc2cc,1.35329082532039,3
3,480,g-8a16a856f5377a40,1.4061052886069387,2
3,480,g-a712031e7959d564,1.0469277771878067,2
3,480,g-a87f1b9ac089cc45,1.196499362609342,3
3,480,g-bd62d2d752385cc7,0.754036620359368,3
3,480,g-e0c69f84d376b633,1.222227632059559,2
4,120,g-3ff7063ef9ea5cfb,0.2577182900082933,3
4,120,g-548c8c6335dd2a2e,-0.04895858095049155,2
4,120,g-553bb3c5ba0f2136,0.030800417617644182,2
4,120,g-60667963f6db3f1b,0.39232521503662354,2
4,120,g-6aa6775bed3bc2cc,0.4744745839692186,3
4,120,g-8a16a856f5377a40,0.5052344898574243,2
4,120,g-a712031e7959d564,0.278811637403962,2
4,120,g-a87f1b9ac089cc45,0.3479389858936111,3
4,120,g-bd62d2d752385cc7,0.3167558346373596,3
4,120,g-e0c69f84d376b633,0.28969664962943775,2
4,240,g-3ff7063ef9ea5cfb,0.3129955678026614,3
4,240,g-548c8c6335dd2a2e,-0.029353549801155454,2
4,240,g-553bb3c5ba0f2136,-0.003098733156969735,2
4,240,g-60667963f6db3f1b,0.4047033321480962,2
4,240,g-6aa6775bed3bc2cc,0.5058799926547064,3
4,240,g-8a16a856f5377a40,0.4990785337843433,2
4,240,g-a712031e7959d564,0.2804073003672404,2
4,240,g-a87f1b9ac089cc45,0.42835232705578524,3
4,240,g-bd62d2d752385cc7,0.335815552536656,3
4,240,g-e0c69f84d376b633,0.32341907260352887,2
4,480,g-3ff7063ef9ea5cfb,0.3414127946937103,3
4,480,g-548c8c6335dd2a2e,-0.04346807867893543,2
4,480,g-553bb3c5ba0f2136,-0.009632245640150361,2
4,480,g-60667963f6db3f1b,0.32357497736133933,2
4,480,g-6aa6775bed3bc2cc,0.45792039650088984,3
4,480,g-8a16a856f5377a40,0.2910347972978148,2
4,480,g-a712031e7959d564,0.2948950111953611,2
4,480,g-a87f1b9ac089cc45,0.3209569486645341,3
4,480,g-bd62d2d752385cc7,0.3937579476751276,3
4,480,g-e0c69f84d376b633,0.4421623507477279,2
