transition,budget,objective,nested_failure_count,nested_comparison_count,median_signed_nested_regret,nested_failure_rate
p2->p3,120,O0,16,72,-0.16492734992386548,0.2222222222222222
p2->p3,120,O3,14,72,-0.03610505970433936,0.19444444444444445
p2->p3,240,O0,14,72,-0.10628617147930686,0.19444444444444445
p2->p3,240,O3,17,72,-0.03022851852444275,0.2361111111111111
p2->p3,480,O0,16,72,-0.10800823693554296,0.2222222222222222
p2->p3,480,O3,22,72,-0.011261774984054614,0.3055555555555556
p3->p4,120,O0,32,72,-0.04141618893095378,0.4444444444444444
p3->p4,120,O3,13,72,-0.07419825026365523,0.18055555555555555
p3->p4,240,O0,37,72,0.003783956580898251,0.5138888888888888
p3->p4,240,O3,8,72,-0.07329245818651264,0.1111111111111111
p3->p4,480,O0,39,72,0.00962386373031332,0.5416666666666666
p3->p4,480,O3,8,72,-0.07547299067463509,0.1111111111111111
