task_id,graph_id,objective,seed,transition,shallower_depth,deeper_depth,budget,deeper_terminal_objective,embedded_shallower_objective,signed_nested_regret,embedding_identity_error,embedding_identity_pass,nested_pass,nested_failure,actual_nfev,nit,termination_reason,wall_time_s
task-v2-4968f3a685c2,g-8a16a856f5377a40,O3,3301,p3->p4,3,4,120,0.871106966652847,1.022600759029512,-0.15149379237666505,0.0,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,3.0761296674609184
task-v2-4968f3a685c2,g-8a16a856f5377a40,O3,3301,p3->p4,3,4,240,0.8539624278086716,1.022600759029512,-0.1686383312208405,0.0,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,3.0761296674609184
task-v2-4968f3a685c2,g-8a16a856f5377a40,O3,3301,p3->p4,3,4,480,0.8474477185027829,1.022600759029512,-0.1751530405267292,0.0,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,3.0761296674609184
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O3,2207,p3->p4,3,4,120,0.06976744186046512,0.5758430827714295,-0.5060756409109644,0.0,True,True,False,128,97,EARLY_CONVERGENCE,0.2723474595695734
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O3,2207,p3->p4,3,4,240,0.06976744186046512,0.5549556071439685,-0.4851881652835034,0.0,True,True,False,128,97,EARLY_CONVERGENCE,0.2723474595695734
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O3,2207,p3->p4,3,4,480,0.06976744186046512,0.5231610383718529,-0.4533935965113878,0.0,True,True,False,128,97,EARLY_CONVERGENCE,0.2723474595695734
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,O3,2207,p2->p3,2,3,120,0.023255813953488372,0.023255813953488372,0.0,0.0,True,True,False,60,46,EARLY_CONVERGENCE,0.10842113196849823
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,O3,2207,p2->p3,2,3,240,0.023255813953488372,0.023255813953488372,0.0,0.0,True,True,False,60,46,EARLY_CONVERGENCE,0.10842113196849823
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,O3,2207,p2->p3,2,3,480,0.023255813953488372,0.023255813953488372,0.0,0.0,True,True,False,60,46,EARLY_CONVERGENCE,0.10842113196849823
task-v2-6996479d6302,g-60667963f6db3f1b,O0,2207,p3->p4,3,4,120,1.7655095141345838,1.8923871728673287,-0.12687765873274492,0.0,True,True,False,480,400,EVALUATION_BUDGET_EXHAUSTED,1.4060247400775552
task-v2-6996479d6302,g-60667963f6db3f1b,O0,2207,p3->p4,3,4,240,1.7419027001782972,1.8423893844533277,-0.10048668427503049,0.0,True,True,False,480,400,EVALUATION_BUDGET_EXHAUSTED,1.4060247400775552
task-v2-6996479d6302,g-60667963f6db3f1b,O0,2207,p3->p4,3,4,480,1.724634706747322,1.4152126968305512,0.3094220099167708,0.0,True,False,True,480,400,EVALUATION_BUDGET_EXHAUSTED,1.4060247400775552
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,O3,1103,p2->p3,2,3,120,0.922600459565483,1.079634887739199,-0.15703442817371605,0.0,True,True,False,480,398,EVALUATION_BUDGET_EXHAUSTED,22.939046879298985
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,O3,1103,p2->p3,2,3,240,0.9037711997191006,1.0743825316880313,-0.17061133196893075,0.0,True,True,False,480,398,EVALUATION_BUDGET_EXHAUSTED,22.939046879298985
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,O3,1103,p2->p3,2,3,480,0.8855867124899021,1.074105799943434,-0.18851908745353196,0.0,True,True,False,480,398,EVALUATION_BUDGET_EXHAUSTED,22.939046879298985
task-v2-73f419868dc6,g-553bb3c5ba0f2136,O0,3301,p3->p4,3,4,120,1.2228692588432992,1.3251717992922463,-0.10230254044894704,0.0,True,True,False,480,391,EVALUATION_BUDGET_EXHAUSTED,1.0979071566835046
task-v2-73f419868dc6,g-553bb3c5ba0f2136,O0,3301,p3->p4,3,4,240,1.1573060079778754,1.2646859034540303,-0.1073798954761549,0.0,True,True,False,480,391,EVALUATION_BUDGET_EXHAUSTED,1.0979071566835046
task-v2-73f419868dc6,g-553bb3c5ba0f2136,O0,3301,p3->p4,3,4,480,1.127962150659593,1.2435509068194623,-0.11558875615986941,0.0,True,True,False,480,391,EVALUATION_BUDGET_EXHAUSTED,1.0979071566835046
task-v2-59a464f36e13,g-bd62d2d752385cc7,O3,3301,p3->p4,3,4,120,0.9547515791311912,1.000841845888385,-0.04609026675719374,0.0,True,True,False,480,385,EVALUATION_BUDGET_EXHAUSTED,26.006199673749506
task-v2-59a464f36e13,g-bd62d2d752385cc7,O3,3301,p3->p4,3,4,240,0.9378283032524898,0.9961277864717122,-0.0582994832192224,0.0,True,True,False,480,385,EVALUATION_BUDGET_EXHAUSTED,26.006199673749506
task-v2-59a464f36e13,g-bd62d2d752385cc7,O3,3301,p3->p4,3,4,480,0.926875394074166,0.9914943956824096,-0.06461900160824363,0.0,True,True,False,480,385,EVALUATION_BUDGET_EXHAUSTED,26.006199673749506
task-v2-73f419868dc6,g-553bb3c5ba0f2136,O0,2207,p3->p4,3,4,120,1.3549506333194856,1.4488393896342606,-0.093888756314775,0.0,True,True,False,480,395,EVALUATION_BUDGET_EXHAUSTED,1.091323927976191
task-v2-73f419868dc6,g-553bb3c5ba0f2136,O0,2207,p3->p4,3,4,240,1.2024358778699913,1.4267012835279065,-0.2242654056579152,0.0,True,True,False,480,395,EVALUATION_BUDGET_EXHAUSTED,1.091323927976191
task-v2-73f419868dc6,g-553bb3c5ba0f2136,O0,2207,p3->p4,3,4,480,1.1231291678506232,1.4259346094167573,-0.3028054415661341,0.0,True,True,False,480,395,EVALUATION_BUDGET_EXHAUSTED,1.091323927976191
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O0,2207,p2->p3,2,3,120,1.6268266183446116,1.6874314518760114,-0.06060483353139978,0.0,True,True,False,480,391,EVALUATION_BUDGET_EXHAUSTED,0.9491520589217544
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O0,2207,p2->p3,2,3,240,1.6199873152304538,1.6841288342590808,-0.06414151902862697,0.0,True,True,False,480,391,EVALUATION_BUDGET_EXHAUSTED,0.9491520589217544
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O0,2207,p2->p3,2,3,480,1.6198826043073131,1.4386971506408415,0.18118545366647165,0.0,True,False,True,480,391,EVALUATION_BUDGET_EXHAUSTED,0.9491520589217544
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,O0,2207,p2->p3,2,3,120,1.2835095463477546,1.2614824753121243,0.022027071035630286,0.0,True,False,True,480,395,EVALUATION_BUDGET_EXHAUSTED,0.9996166732162237
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,O0,2207,p2->p3,2,3,240,1.2747131345822236,1.2601427286013052,0.01457040598091841,0.0,True,False,True,480,395,EVALUATION_BUDGET_EXHAUSTED,0.9996166732162237
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,O0,2207,p2->p3,2,3,480,1.2629978567095217,1.2601127216926467,0.00288513501687504,0.0,True,False,True,480,395,EVALUATION_BUDGET_EXHAUSTED,0.9996166732162237
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,O0,3301,p2->p3,2,3,120,1.7079828469948795,1.6526899601361071,0.05529288685877232,0.0,True,False,True,480,394,EVALUATION_BUDGET_EXHAUSTED,1.2685336153954268
