task_id,graph_id,seed,alpha1_run_id,matched_o0_run_id,same_task,same_depth,same_seed,same_initialization,initial_theta_max_abs_difference,same_optimizer_name,same_nfev_budget,same_cobyla_rhobeg,same_cobyla_catol,same_optimizer_implementation,alpha1_scipy_version,matched_o0_scipy_version,same_scipy_version,alpha1_actual_nfev,matched_o0_actual_nfev,same_actual_nfev,objective_trajectory_available,initial_objective_alpha1_minus_o0,terminal_theta_max_abs_difference,terminal_objective_alpha1_minus_o0,P_feas_alpha1_minus_o0,G_feas_alpha1_minus_o0,P_opt_alpha1_minus_o0,alpha1_terminal_cvar_minus_mean,audit_classification
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,1103,a2-b942a55738a79a14dc96,diag-run-2e1a25bb43408795091e,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-7.105427357601002e-15,0.04497342276849858,0.0008196385317431609,-2.2523939580999797e-06,-0.00022502221695042124,-2.7362775151000204e-06,-3.552713678800501e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,2207,a2-29b24ab4264ef9d67fe7,diag-run-ece12c7ce95f3f0a5fef,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.220446049250313e-16,0.09083250497924165,0.00509981547453453,-0.0018609579181421004,-0.03694978930514603,-0.0006953499848465997,5.639932965095795e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,3301,a2-c47428da68782b2b4aea,diag-run-4f719ba34ccb40eb929c,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.554312234475219e-14,0.014368777537943103,0.00017017834602639503,1.705201808029945e-05,0.0016956788255908517,3.455504226399864e-06,5.81756864903582e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-095187356858,g-3ff7063ef9ea5cfb,1103,a2-f0ee729eadc10a201833,diag-run-4822770ed1a82e6fc736,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.021405182655144e-14,0.05756233708817354,0.008134909889258246,-0.0005257568991494,-0.07354944519434414,-0.0003775164910619997,-4.39648317751562e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-095187356858,g-3ff7063ef9ea5cfb,2207,a2-1e0a547be7778d7dc4af,diag-run-2c24ade01d6279f0a87e,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,6.8833827526759706e-15,0.5685852637684934,-0.04417055704803463,0.0028620140212240004,0.21287942721238862,0.0022042615807039995,6.8833827526759706e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-095187356858,g-3ff7063ef9ea5cfb,3301,a2-f0aa89beaad4e71a9883,diag-run-6ff97e7c9cf07fec6c71,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.5543122344752192e-15,3.024289549347081e-07,2.123484410532228e-08,-2.2339243200067416e-08,-1.3635821725088704e-06,-1.4982096500047726e-08,-1.532107773982716e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,1103,a2-fdd80a024b46c5ce1ab1,diag-run-f4c04b69c2ede3b64116,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.021405182655144e-14,1.3194043853671136,0.017334092679173185,0.00014071467497399999,0.03451244805064957,0.0001491756413052,-1.1102230246251563e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,2207,a2-3219a2d1a79e6c450ef4,diag-run-af526d3fd1c47e6dc05a,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-8.659739592076221e-15,0.14328903470227328,0.016996791577980064,-0.0005477816737177003,-0.03172521045247212,-0.0001825355947646999,3.3306690738754696e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,3301,a2-a94b6d6b304a2a8076f2,diag-run-f767c252ed61c3c9d9ca,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,4.929390229335695e-14,0.25129286685002317,0.041871964588141575,-0.0005897858990769004,-0.04605344109593901,-0.00020590229753400004,2.242650509742816e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,1103,a2-c7793a9c7a00a6d25ed5,diag-run-5432e37cbdbed43724e6,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,2.1760371282653068e-14,0.2201907595599275,0.011734812852116416,8.576136219289997e-05,0.008411850007413957,8.576136219289997e-05,1.532107773982716e-14,PROTOCOL_NOT_FULLY_IDENTICAL
