experiment,run_id,task_id,graph_id,objective,optimizer,depth,alpha,nfev_budget,actual_nfev,shots,seed,status,started_at,finished_at,runtime_s,output_path,error_message,git_commit,dirty_state_fingerprint
A1_OPTIMIZER_ROBUSTNESS,a1-0099a0b41a9041b46f08,task-v2-59a464f36e13,g-bd62d2d752385cc7,O3,COBYLA,2.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T04:34:18+02:00,2026-09-04T04:34:23+02:00,5.335924670100212,results/reviewer_robustness/A1_optimizer/runs/a1-0099a0b41a9041b46f08.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-00c681b4411d2d97aa7f,task-v2-ac528a9510be,g-a712031e7959d564,O3,SLSQP,3.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T05:40:35+02:00,2026-09-04T05:40:36+02:00,0.46060593519359827,results/reviewer_robustness/A1_optimizer/runs/a1-00c681b4411d2d97aa7f.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-00e73b97e8c86895c095,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O0,SLSQP,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T04:33:19+02:00,2026-09-04T04:33:19+02:00,0.04598214942961931,results/reviewer_robustness/A1_optimizer/runs/a1-00e73b97e8c86895c095.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0118fdeef3b5ba98ff5c,task-v2-ac528a9510be,g-a712031e7959d564,O3,COBYLA,2.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T05:40:24+02:00,2026-09-04T05:40:24+02:00,0.5057583339512348,results/reviewer_robustness/A1_optimizer/runs/a1-0118fdeef3b5ba98ff5c.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-013477fb934c6a545499,task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,O0,COBYLA,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T04:33:51+02:00,2026-09-04T04:33:59+02:00,8.216951418668032,results/reviewer_robustness/A1_optimizer/runs/a1-013477fb934c6a545499.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-01396398eb96f5e6656e,task-v2-c5ed7c8b71f4,g-a712031e7959d564,O3,Nelder-Mead,2.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T05:40:32+02:00,2026-09-04T05:40:32+02:00,0.30095789954066277,results/reviewer_robustness/A1_optimizer/runs/a1-01396398eb96f5e6656e.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-014c433986853e6908d7,task-v2-c5ed7c8b71f4,g-a712031e7959d564,O3,COBYLA,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T05:40:29+02:00,2026-09-04T05:40:29+02:00,0.6296632327139378,results/reviewer_robustness/A1_optimizer/runs/a1-014c433986853e6908d7.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0156beef18a45242fa09,task-v2-6996479d6302,g-60667963f6db3f1b,O3,Nelder-Mead,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T04:33:20+02:00,2026-09-04T04:33:21+02:00,0.11291563045233488,results/reviewer_robustness/A1_optimizer/runs/a1-0156beef18a45242fa09.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-016ef7c2e6f63065e43e,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,O0,COBYLA,3.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T05:40:52+02:00,2026-09-04T05:40:58+02:00,5.843330535106361,results/reviewer_robustness/A1_optimizer/runs/a1-016ef7c2e6f63065e43e.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-01735e2cfbac124dda2a,task-v2-5b5a3995de2b,g-bd62d2d752385cc7,O0,SLSQP,2.0,0.1,120.0,106.0,,1103.0,COMPLETE,2026-09-04T05:45:03+02:00,2026-09-04T05:45:07+02:00,3.2520874133333564,results/reviewer_robustness/A1_optimizer/runs/a1-01735e2cfbac124dda2a.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-01c5381d0ca92b8c5f2c,task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,O0,Nelder-Mead,3.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T05:40:05+02:00,2026-09-04T05:40:05+02:00,0.124895378947258,results/reviewer_robustness/A1_optimizer/runs/a1-01c5381d0ca92b8c5f2c.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-01cf40b965ad73674a0b,task-v2-ac528a9510be,g-a712031e7959d564,O0,COBYLA,2.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T05:40:22+02:00,2026-09-04T05:40:22+02:00,0.4349000044167042,results/reviewer_robustness/A1_optimizer/runs/a1-01cf40b965ad73674a0b.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-01e7c170e0ccce47ab53,task-v2-c95d7e1ff6e7,g-a87f1b9ac089cc45,O0,Nelder-Mead,2.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T06:04:43+02:00,2026-09-04T06:06:09+02:00,85.42708787787706,results/reviewer_robustness/A1_optimizer/runs/a1-01e7c170e0ccce47ab53.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0238ba2f554ff1cb994c,task-v2-5b0627539151,g-a712031e7959d564,O3,SLSQP,2.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T05:40:36+02:00,2026-09-04T05:40:36+02:00,0.33610978443175554,results/reviewer_robustness/A1_optimizer/runs/a1-0238ba2f554ff1cb994c.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-024dd98ff0118866576a,task-v2-89b7591232ff,g-e0c69f84d376b633,O0,Nelder-Mead,2.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T07:01:00+02:00,2026-09-04T07:02:31+02:00,91.1290731690824,results/reviewer_robustness/A1_optimizer/runs/a1-024dd98ff0118866576a.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-02730a1debe07c3d3ed7,task-v2-5d31ef4af595,g-bd62d2d752385cc7,O3,Nelder-Mead,3.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T04:35:55+02:00,2026-09-04T04:36:03+02:00,7.397126720286906,results/reviewer_robustness/A1_optimizer/runs/a1-02730a1debe07c3d3ed7.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0276ef65a4c7002feb9c,task-v2-8792ce3c54d5,g-a712031e7959d564,O0,COBYLA,2.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T04:33:22+02:00,2026-09-04T04:33:22+02:00,0.4857289055362344,results/reviewer_robustness/A1_optimizer/runs/a1-0276ef65a4c7002feb9c.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-02807144f8c5b3746217,task-v2-ef23e17da545,g-a712031e7959d564,O0,SLSQP,2.0,0.1,120.0,98.0,,2207.0,COMPLETE,2026-09-04T05:40:29+02:00,2026-09-04T05:40:29+02:00,0.23766943346709013,results/reviewer_robustness/A1_optimizer/runs/a1-02807144f8c5b3746217.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
