run_id,task_id,graph_id,base_instance_id,size_stratum,tightness_level,seed,algorithm,depth,n_nodes,n_edges,n_qubits,resource_count,budget,n_candidate_routes,n_feasible_routes,route_feasible_fraction,state_space_size,n_feasible_states,feasible_state_fraction,n_optimal_states,optimal_cost,flow_penalty_strength,resource_penalty_strength,optimizer,eval_budget,initial_parameters,optimized_parameters,nfev,status,optimizer_message,objective_initial,objective_final,expected_energy,p_feas,p_opt,p_opt_given_feasible,feasibility_amplification,uniform_p_feas,uniform_p_opt,uniform_feasibility_amplification,task_build_time_s,exact_reference_time_s,energy_build_time_s,optimization_time_s,optimizer_runtime_s,total_time_s,peak_memory_mb,execution_status,failure_reason,zero_feasible,zero_optimal_probability,resource_censored
run-636d2d958cbb9091,task-b9af4e74fe83,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T1,0,Uniform,0,6,7,7,1,13.0,3,3,1.0,128,3,0.0234375,1,4.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.0234375,0.0078125,0.3333333333333333,1.0,0.0234375,0.0078125,1.0,0.0004408983513712,0.000668654218316,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-7bc621963bb2904f,task-b9af4e74fe83,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T1,1103,Penalty-X,1,6,7,7,1,13.0,3,3,1.0,128,3,0.0234375,1,4.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[-0.6910853533224329, 4.148646149275556]",38,0,Return from COBYLA because the trust region radius reaches its lower bound.,777.8196219327256,316.1498383969739,316.1498383969739,0.0082882810775113,0.0028492214665988,0.3437650629790665,0.3536333259738182,0.0234375,0.0078125,1.0,0.0004408983513712,0.000668654218316,0.0001777615398168,0.0455602006986737,0.0455602006986737,0.0460150120779871,198.4765625,SUCCESS,,False,False,False
run-3ea0a43f0a669770,task-b9af4e74fe83,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T1,2207,Penalty-X,1,6,7,7,1,13.0,3,3,1.0,128,3,0.0234375,1,4.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.576180179356482, 2.571576481437706]",24,0,Return from COBYLA because the trust region radius reaches its lower bound.,656.6691527248336,538.9530173184799,538.9530173184799,0.0170744041357739,0.0001960123134821,0.0114798918851541,0.7285079097930232,0.0234375,0.0078125,1.0,0.0004408983513712,0.000668654218316,0.0001777615398168,0.0201106695458292,0.0201106695458292,0.0204617539420723,198.4765625,SUCCESS,,False,False,False
run-dca1ebdb57c534fc,task-994084fbcff0,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T4,0,Uniform,0,6,7,7,1,10.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.015625,0.0078125,0.5,1.0,0.015625,0.0078125,1.0,0.0004408983513712,0.0005536684766411,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-ce4f7de5bdbb9703,task-994084fbcff0,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T4,1103,Penalty-X,1,6,7,7,1,10.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[1.7055324414863025, 2.920774183358618]",29,0,Return from COBYLA because the trust region radius reaches its lower bound.,1352.2645075351347,968.5088007308068,968.5088007308068,0.012426561054759,0.0058560477301539,0.4712524812253839,0.7952999075045821,0.015625,0.0078125,1.0,0.0004408983513712,0.0005536684766411,0.0001161806285381,0.0241769328713417,0.0241769328713417,0.0245374953374266,198.4765625,SUCCESS,,False,False,False
run-a4f13c2676f8454d,task-994084fbcff0,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T4,2207,Penalty-X,1,6,7,7,1,10.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.599771824943858, 2.51975561273382]",28,0,Return from COBYLA because the trust region radius reaches its lower bound.,1116.786235483392,822.2032558672634,822.2032558672634,0.0188213030701223,0.0003460041983346,0.0183836473513836,1.2045633964878275,0.015625,0.0078125,1.0,0.0004408983513712,0.0005536684766411,0.0001161806285381,0.0228891614824533,0.0228891614824533,0.0232142359018325,198.4765625,SUCCESS,,False,False,False
run-04807ebf98cf20f4,task-bb1ce826122e,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T7,0,Uniform,0,6,7,7,1,10.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.015625,0.0078125,0.5,1.0,0.015625,0.0078125,1.0,0.0004408983513712,0.0005434527993202,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-690e85912d2271b4,task-bb1ce826122e,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T7,1103,Penalty-X,1,6,7,7,1,10.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[1.7055324414863025, 2.920774183358618]",29,0,Return from COBYLA because the trust region radius reaches its lower bound.,1352.2645075351347,968.5088007308068,968.5088007308068,0.012426561054759,0.0058560477301539,0.4712524812253839,0.7952999075045821,0.015625,0.0078125,1.0,0.0004408983513712,0.0005434527993202,0.0001120194792747,0.0241619516164064,0.0241619516164064,0.0245146742090582,198.4765625,SUCCESS,,False,False,False
run-fb20164241ca8a08,task-bb1ce826122e,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T7,2207,Penalty-X,1,6,7,7,1,10.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.599771824943858, 2.51975561273382]",28,0,Return from COBYLA because the trust region radius reaches its lower bound.,1116.786235483392,822.2032558672634,822.2032558672634,0.0188213030701223,0.0003460041983346,0.0183836473513836,1.2045633964878275,0.015625,0.0078125,1.0,0.0004408983513712,0.0005434527993202,0.0001120194792747,0.0227275546640157,0.0227275546640157,0.0230449829250574,198.4765625,SUCCESS,,False,False,False
run-24c160e368794270,task-7b49bba79406,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T1,0,Uniform,0,6,7,7,1,20.0,3,3,1.0,128,3,0.0234375,1,8.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.0234375,0.0078125,0.3333333333333333,1.0,0.0234375,0.0078125,1.0,0.0002794293686747,0.0005909651517868,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-7d195d5351453879,task-7b49bba79406,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T1,1103,Penalty-X,1,6,7,7,1,20.0,3,3,1.0,128,3,0.0234375,1,8.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[1.885250846329429, 2.3280386580750467]",29,0,Return from COBYLA because the trust region radius reaches its lower bound.,610.7917872546036,199.71215858347475,199.71215858347475,0.0237762391593131,1.2523657286335011e-05,0.0005267299509573,1.0144528707973612,0.0234375,0.0078125,1.0,0.0002794293686747,0.0005909651517868,0.0001131678000092,0.0272179534658789,0.0272179534658789,0.0275657065212726,198.4765625,SUCCESS,,False,False,False
run-9a270ea2ee4412ea,task-7b49bba79406,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T1,2207,Penalty-X,1,6,7,7,1,20.0,3,3,1.0,128,3,0.0234375,1,8.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.56639684808494, 2.5422143154458015]",24,0,Return from COBYLA because the trust region radius reaches its lower bound.,617.8560681572008,470.94317141302105,470.94317141302105,0.0206623913585053,0.005216618297191,0.25246924262925,0.8815953646295623,0.0234375,0.0078125,1.0,0.0002794293686747,0.0005909651517868,0.0001131678000092,0.0201665237545967,0.0201665237545967,0.0204968927428126,198.4765625,SUCCESS,,False,False,False
run-0ca9b2ea88c37ee3,task-b7456ec5dd73,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T4,0,Uniform,0,6,7,7,1,13.0,3,2,0.6666666666666666,128,2,0.015625,1,8.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.015625,0.0078125,0.5,1.0,0.015625,0.0078125,1.0,0.0002794293686747,0.0005266591906547,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-8bb21b8682603896,task-b7456ec5dd73,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T4,1103,Penalty-X,1,6,7,7,1,13.0,3,2,0.6666666666666666,128,2,0.015625,1,8.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[1.8848537598233468, 2.348895484918441]",31,0,Return from COBYLA because the trust region radius reaches its lower bound.,1746.0422578382431,510.2603400340447,510.2603400340447,0.0006647030770209,4.070360336368744e-05,0.0612357679252958,0.0425409969293434,0.015625,0.0078125,1.0,0.0002794293686747,0.0005266591906547,0.0001167794689536,0.0278585227206349,0.0278585227206349,0.028200352564454,198.4765625,SUCCESS,,False,False,False
run-ceb333775051fa11,task-b7456ec5dd73,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T4,2207,Penalty-X,1,6,7,7,1,13.0,3,2,0.6666666666666666,128,2,0.015625,1,8.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.119298711909907, 2.5239008065144626]",25,0,Return from COBYLA because the trust region radius reaches its lower bound.,1464.9393193351264,1263.55939171221,1263.55939171221,0.0104760159410358,0.0003847784951407,0.0367294682736728,0.6704650202262971,0.015625,0.0078125,1.0,0.0002794293686747,0.0005266591906547,0.0001167794689536,0.0201435657218098,0.0201435657218098,0.020451390184462,198.4765625,SUCCESS,,False,False,False
run-1578ba39b0752d65,task-873e9cfcf181,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T7,0,Uniform,0,6,7,7,1,9.0,3,1,0.3333333333333333,128,1,0.0078125,1,12.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,1.0,0.0002794293686747,0.0005190689116716,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-51c7cabd022c2fa2,task-873e9cfcf181,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T7,1103,Penalty-X,1,6,7,7,1,9.0,3,1,0.3333333333333333,128,1,0.0078125,1,12.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[2.420136490216507, 2.282017447460336]",27,0,Return from COBYLA because the trust region radius reaches its lower bound.,3799.4431050045832,2264.475553398254,2264.475553398254,0.0202759767381963,0.0202759767381963,1.0,2.595325022489132,0.0078125,0.0078125,1.0,0.0002794293686747,0.0005190689116716,0.0001136548817157,0.0234520323574543,0.0234520323574543,0.0237995600327849,198.4765625,SUCCESS,,False,False,False
run-35d82b6f69f83d0d,task-873e9cfcf181,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T7,2207,Penalty-X,1,6,7,7,1,9.0,3,1,0.3333333333333333,128,1,0.0078125,1,12.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.619404003214427, 2.5234856452543077]",27,0,Return from COBYLA because the trust region radius reaches its lower bound.,3135.3099001092,1954.5587424169053,1954.5587424169053,0.0143777313831256,0.0143777313831256,1.0,1.840349617040085,0.0078125,0.0078125,1.0,0.0002794293686747,0.0005190689116716,0.0001136548817157,0.0223665675148367,0.0223665675148367,0.0226816339418292,198.4765625,SUCCESS,,False,False,False
run-c198ab64e558af65,task-ee5e2ea8e960,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T1,0,Uniform,0,8,10,10,1,27.0,4,4,1.0,1024,4,0.00390625,1,9.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.00390625,0.0009765625,0.25,1.0,0.00390625,0.0009765625,1.0,0.0002865931019186,0.0043213004246354,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-79bb5cb5b72c88c8,task-ee5e2ea8e960,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T1,1103,Penalty-X,1,8,10,10,1,27.0,4,4,1.0,1024,4,0.00390625,1,9.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[2.3893354002019302, 2.126030549733483]",27,0,Return from COBYLA because the trust region radius reaches its lower bound.,1722.196391360845,927.6117626823068,927.6117626823068,0.0031658430238012,0.0003618838990804,0.1143088575017162,0.8104558140931098,0.00390625,0.0009765625,1.0,0.0002865931019186,0.0043213004246354,0.0002284599468111,0.0268898904323577,0.0268898904323577,0.0274603581055998,198.4765625,SUCCESS,,False,False,False
run-99a6719e6f5ebaa2,task-ee5e2ea8e960,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T1,2207,Penalty-X,1,8,10,10,1,27.0,4,4,1.0,1024,4,0.00390625,1,9.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.712642281794903, 2.595216842984805]",27,0,Return from COBYLA because the trust region radius reaches its lower bound.,1383.3262461257082,380.4610476876218,380.4610476876218,0.0098657672899888,0.0085225092213906,0.8638465687345711,2.5256364262371425,0.00390625,0.0009765625,1.0,0.0002865931019186,0.0043213004246354,0.0002284599468111,0.0258519770577549,0.0258519770577549,0.0263845436275005,198.4765625,SUCCESS,,False,False,False
run-07e2c7987d39096b,task-3055188b40aa,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T4,0,Uniform,0,8,10,10,1,18.0,4,3,0.75,1024,3,0.0029296875,1,9.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.0029296875,0.0009765625,0.3333333333333333,1.0,0.0029296875,0.0009765625,1.0,0.0002865931019186,0.004290398210287,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-9d81093d4843392c,task-3055188b40aa,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T4,1103,Penalty-X,1,8,10,10,1,18.0,4,3,0.75,1024,3,0.0029296875,1,9.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[1.9370511483385506, 2.339015192510568]",30,0,Return from COBYLA because the trust region radius reaches its lower bound.,4204.11454379006,2670.850236859987,2670.850236859987,0.0036806045625665,0.0030078749288255,0.817223061509248,1.2563130240227298,0.0029296875,0.0009765625,1.0,0.0002865931019186,0.004290398210287,0.0002344334498047,0.0297163650393486,0.0297163650393486,0.0303049851208925,198.4765625,SUCCESS,,False,False,False
run-232141d8710722a4,task-3055188b40aa,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T4,2207,Penalty-X,1,8,10,10,1,18.0,4,3,0.75,1024,3,0.0029296875,1,9.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.715172700647582, 2.395863700862629]",26,0,Return from COBYLA because the trust region radius reaches its lower bound.,4112.526810667004,3509.7988941451003,3509.7988941451003,0.0032106196278271,0.00316758050752,0.9865947619786388,1.095891499631671,0.0029296875,0.0009765625,1.0,0.0002865931019186,0.004290398210287,0.0002344334498047,0.0239829057827591,0.0239829057827591,0.0245149722322821,198.4765625,SUCCESS,,False,False,False
