task_id,graph_id,base_instance_id,size_stratum,tightness_level,target_n_edges,actual_n_edges,n_nodes,n_edges,n_qubits,resource_count,budget,budget_quantile,duplicate_budget,duplicate_feasible_set,n_candidate_routes,n_feasible_routes,route_feasible_fraction,state_space_size,n_feasible_states,feasible_state_fraction,n_optimal_states,optimal_cost,zero_feasible,task_build_time_s,exact_reference_time_s,representation_enumeration_time_s,structural_path_state_count
task-b9af4e74fe83,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T1,7,7,6,7,7,1,13.0,1.0,False,False,3,3,1.0,128,3,0.0234375,1,4.0,False,0.0004408983513712883,0.0006686542183160782,0.0005038892850279808,3
task-994084fbcff0,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T4,7,7,6,7,7,1,10.0,0.5,False,False,3,2,0.6666666666666666,128,2,0.015625,1,4.0,False,0.0004408983513712883,0.0005536684766411781,0.0005038892850279808,3
task-bb1ce826122e,g-030e22a4b8e64e77,S1-b000-g-030e22a4b8e64e77,S1,T7,7,7,6,7,7,1,10.0,0.0,True,True,3,2,0.6666666666666666,128,2,0.015625,1,4.0,False,0.0004408983513712883,0.000543452799320221,0.0005038892850279808,3
task-7b49bba79406,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T1,7,7,6,7,7,1,20.0,1.0,False,False,3,3,1.0,128,3,0.0234375,1,8.0,False,0.0002794293686747551,0.0005909651517868042,0.00048268213868141174,3
task-b7456ec5dd73,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T4,7,7,6,7,7,1,13.0,0.5,False,False,3,2,0.6666666666666666,128,2,0.015625,1,8.0,False,0.0002794293686747551,0.0005266591906547546,0.00048268213868141174,3
task-873e9cfcf181,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T7,7,7,6,7,7,1,9.0,0.0,False,False,3,1,0.3333333333333333,128,1,0.0078125,1,12.0,False,0.0002794293686747551,0.0005190689116716385,0.00048268213868141174,3
task-ee5e2ea8e960,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T1,10,10,8,10,10,1,27.0,1.0,False,False,4,4,1.0,1024,4,0.00390625,1,9.0,False,0.00028659310191869736,0.00432130042463541,0.004215613007545471,4
task-3055188b40aa,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T4,10,10,8,10,10,1,18.0,0.5,False,False,4,3,0.75,1024,3,0.0029296875,1,9.0,False,0.00028659310191869736,0.004290398210287094,0.004215613007545471,4
task-f81feb5c73a8,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T7,10,10,8,10,10,1,17.0,0.0,False,False,4,1,0.25,1024,1,0.0009765625,1,23.0,False,0.00028659310191869736,0.004256115294992924,0.004215613007545471,4
task-da525fcc95dc,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T1,10,10,8,10,10,1,26.0,1.0,False,False,4,4,1.0,1024,4,0.00390625,2,13.0,False,0.0002991817891597748,0.004305611364543438,0.004206488840281963,4
task-8c3c093f9a2e,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T4,10,10,8,10,10,1,15.0,0.5,False,False,4,2,0.5,1024,2,0.001953125,1,13.0,False,0.0002991817891597748,0.00424819253385067,0.004206488840281963,4
task-52c1f8aedc9f,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T7,10,10,8,10,10,1,13.0,0.0,False,False,4,1,0.25,1024,1,0.0009765625,1,13.0,False,0.0002991817891597748,0.004244193434715271,0.004206488840281963,4
