claim_id,number_id,value,units,source_file,source_field_or_row,evidence_status,verification,notes
C-E0-UNIVERSE,N001,175,tasks,results/phase0/summary.json,task_count,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E0-UNIVERSE,N002,53,duplicate feasible sets,results/phase0/summary.json,duplicate_feasible_set_count,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E0-UNIVERSE,N003,140,tasks,results/phase0_v2_dilution_stress/summary.json,task_count,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E0-UNIVERSE,N004,0,duplicate feasible sets,results/phase0_v2_dilution_stress/summary.json,duplicate_feasible_set_count,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E0-UNIVERSE,N005,1.9073486328125e-06,phi,results/phase0_v2_dilution_stress/summary.json,feasible_state_fraction_min,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E0-UNIVERSE,N006,0.0234375,phi,results/phase0_v2_dilution_stress/summary.json,feasible_state_fraction_max,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E2-PILOT,N007,56,tasks,results/phase1_pilot_v1/pilot_summary.json,frozen_execution_identity.task_count,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E2-PILOT,N008,504,optimized rows,results/phase1_pilot_v1/pilot_summary.json,frozen_execution_identity.completed_optimized_row_count,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E2-PILOT,N009,-0.5399946195590973,kappa,results/phase1_pilot_v1/pilot_summary.json,dilution_response[depth=3].kappa_median,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E3-OPT,N010,29,runs,results/phase1_1_optimization_diagnostic/summary.json,original_p3_optimizer_adequacy.worse_than_embedded_count,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E3-OPT,N011,168,runs,results/phase1_1_optimization_diagnostic/summary.json,validation.nested_identity_rows,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E4-OBJDISC,N012,0.21929835458021296,decades,results/phase1_2_objective_alignment/summary.json,capacity_gaps.median_O2_minus_O0_G,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E4-OBJDISC,N013,0.006897021383468704,decades,results/phase1_2_objective_alignment/summary.json,capacity_gaps.median_O2_minus_O3_G,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E5-H1,N014,0.3547149490180106,decades,results/phase2_confirmatory_v1/confirmatory_statistics.json,H1.effect_mean,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E5-H1,N015,0.07472582111285479,bootstrap SE,results/phase2_confirmatory_v1/confirmatory_statistics.json,H1.bootstrap_standard_error,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E5-H1,N016,0.23737853648218638,one-sided 95% lower,results/phase2_confirmatory_v1/confirmatory_statistics.json,H1.one_sided_95_lower_bound,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E5-H1,N017,0.000244140625,Holm p,results/phase2_confirmatory_v1/confirmatory_statistics.json,H1.holm_adjusted_p_value,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E5-H2,N018,-0.008595149938274194,decades,results/phase2_confirmatory_v1/confirmatory_statistics.json,H2.effect_mean,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E5-H2,N019,-0.03604874990402986,one-sided 95% lower,results/phase2_confirmatory_v1/confirmatory_statistics.json,H2.one_sided_95_lower_bound,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E5-POPT,N020,80,task wins,results/phase2_confirmatory_v1/summary.json,routing_quality.O3_vs_O0_P_opt_wins,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E5-POPT,N021,0.006399681964961,probability,results/phase2_confirmatory_v1/summary.json,routing_quality.paired_median_P_opt_difference,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E6-SCALING,N022,180,tasks,results/phase3_scaling_v1/summary.json,task_universe.tasks,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E6-SCALING,N023,20,qubits/edges,results/phase3_scaling_v1/summary.json,task_universe.completed_size_ceiling,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E6-SCALING,N024,22,qubits/edges,results/phase3_scaling_v1/summary.json,resource_preflight.resource_censored_sizes[0],CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E6-SCALING,N025,0.6149865942,eta,results/phase3_scaling_v1/summary.json,"heldout_validation.extrapolation[O0,B_FLAT].eta_MAE",CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-E6-SCALING,N026,1.2821385529,eta,results/phase3_scaling_v1/summary.json,"heldout_validation.extrapolation[O3,B_FLAT].eta_MAE",CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-THEORY-VALIDATION,N027,0,violations,results/theory_validation_v3/summary.json,posterior_violations,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
C-THEORY-VALIDATION,N028,80860,subset evaluations,results/theory_validation_v3/summary.json,posterior_subset_evaluations,CANONICAL_REPORTED,INTEGRITY_RECOMPUTATION,Read-only extraction/identity check; no inferential pooling or new optimization.
